20151101
67         BAS RHIN                      
RUE        DE LA FORET                
RUE        NEUVE                      
           LOTISSEMENT LA FORET       
RUE        DES POTIERS                
RUE        PRINCIPALE                 
RUE        DU MOULIN                  
RUE        DE REXINGEN                
           FERME TOTENBERG            
RUE        DES PRES                   
           commune :     ALBE                           departement : BAS RHIN                      
LIEU-DIT   AFFENBERG                  
LIEU-DIT   ALTENBERG                  
LIEU-DIT   AUF DEM SATTEL             
LIEU-DIT   AUF DER SOHLE              
LIEU-DIT   AUGENBUEHL                 
LIEU-DIT   AUGENBUEHLGREUTER          
LIEU-DIT   AUGENBUEHLGRUND            
LIEU-DIT   BAERENBERG                 
LIEU-DIT   BLUTROS                    
LIEU-DIT   BUEHL                      
LIEU-DIT   DAS FELD                   
LIEU-DIT   DAS GRUEBEL                
LIEU-DIT   DER GROSSE LANGELBACH      
LIEU-DIT   DER HOTSCHENBUSCH          
LIEU-DIT   DER KLEINE LANGELBACH      
LIEU-DIT   DIE WALDGRUB               
LIEU-DIT   FRAUENMATTEN               
LIEU-DIT   FROEN                      
LIEU-DIT   FROEN HAUSS KLEINEN MATTEN 
LIEU-DIT   GALGENRAIN                 
LIEU-DIT   GROSS GEISTEG              
LIEU-DIT   GROSS GIEZIG               
LIEU-DIT   HARTSBACH                  
LIEU-DIT   HARTSBACHGREUTER           
LIEU-DIT   HARTSBUEHL                 
LIEU-DIT   HANS KLEINE MATTEN         
LIEU-DIT   HIRT                       
LIEU-DIT   BAECHLING                  
LIEU-DIT   IM BAECHLING AUF DER SOHLE 
LIEU-DIT   DINGACKER                  
LIEU-DIT   IM MAEDERSBACH             
LIEU-DIT   IM TAL                     
LIEU-DIT   VOLOTAL                    
LIEU-DIT   IN DER GRUB                
LIEU-DIT   IN DER HAGEL               
LIEU-DIT   KAPPELFELD                 
LIEU-DIT   KETSCHPFAD                 
LIEU-DIT   KINZELBACH                 
LIEU-DIT   KLEIN GEISTEG              
LIEU-DIT   KOENIGSHECK                
LIEU-DIT   KOHLBAECHEL                
LIEU-DIT   KUHKOPF                    
LIEU-DIT   LANGE FURCH                
LIEU-DIT   LANGLITT                   
LIEU-DIT   LANGTAL                    
LIEU-DIT   LITTELSBACH                
LIEU-DIT   MAETTELSCHEUER             
LIEU-DIT   MEISENBUCKEL               
LIEU-DIT   MUCKENBACH                 
LIEU-DIT   MUEHLMATTEN                
LIEU-DIT   NEUGESETZ                  
LIEU-DIT   PETERSBACH                 
LIEU-DIT   REHFAN                     
LIEU-DIT   RIESBAECHEL                
LIEU-DIT   SAULOCH                    
LIEU-DIT   SCHANZGREUTER              
LIEU-DIT   SCHANZMATTEN               
LIEU-DIT   SCHEIBENBERG               
LIEU-DIT   SCHNURRENBERG              
LIEU-DIT   SCHRANN                    
LIEU-DIT   SCHULZENBERG               
LIEU-DIT   SELZ                       
LIEU-DIT   SELZGREUTER                
LIEU-DIT   SOMMERRAIN                 
LIEU-DIT   SONNENBACH                 
LIEU-DIT   SPAETZELGRUB               
LIEU-DIT   STEINACKER                 
LIEU-DIT   TRUTTENTAL                 
LIEU-DIT   TURCK                      
LIEU-DIT   UNGERSBERG                 
LIEU-DIT   UNTEN AM DORF              
LIEU-DIT   VILLAGE                    
LIEU-DIT   ZEITLAENG                  
LIEU-DIT   DORFMATTEN                 
LIEU-DIT   KIRCHBERG                  
LIEU-DIT   SELZRAIN                   
LIEU-DIT   LANGELBACH                 
LIEU-DIT   ALBEVILLE                  
RUE        D ALBEVILLE                
RUE        DE L ALTENBERG             
RUE        DU BAECHLING               
RUE        DE LA CHAPELLE             
