20151101
52         HAUTE MARNE                   
LIEU-DIT   COMBE CHARLEMAGNE          
LIEU-DIT   LA COMBE DELIA             
LIEU-DIT   LA COMBE DES ROYERS        
LIEU-DIT   COMBE DES VEAUX            
LIEU-DIT   SUR LA COMBE DES VEAUX     
LIEU-DIT   LA COMBE LA DAME           
LIEU-DIT   LA COMBE LA FRAIE          
LIEU-DIT   COMBE LEMALE               
LIEU-DIT   COMBE RENARD               
LIEU-DIT   LA COMBE VORION            
LIEU-DIT   LE CROISON                 
LIEU-DIT   DEVANT L ECHELLE AU BOIS   
LIEU-DIT   LA DEVISE                  
LIEU-DIT   AUX DIX GERBES             
LIEU-DIT   L ECHELLE AU BOIS          
LIEU-DIT   AU FOURCHI                 
LIEU-DIT   LA FRAYE                   
LIEU-DIT   LES GENIEVRES EST          
LIEU-DIT   LES GENIEVRES OUEST        
LIEU-DIT   LA GOULOTTE                
LIEU-DIT   LA GRANDE COMBE            
LIEU-DIT   LA GRANDE MARIE            
LIEU-DIT   LA GRANDE VOIE             
LIEU-DIT   A LA HAIE DE LA PEREE      
LIEU-DIT   LA HAIE HORDIN EST         
LIEU-DIT   LA HAIE HORDIN OUEST       
LIEU-DIT   LA HAIE L EVEQUE EST       
LIEU-DIT   LA HAIE L EVEQUE OUEST     
LIEU-DIT   LE HOEMOND                 
LIEU-DIT   LE JOINVAU                 
LIEU-DIT   LES LAVOTTES               
LIEU-DIT   LA LISIERE EST             
LIEU-DIT   LA LISIERE OUEST           
LIEU-DIT   LE MORCHIEN                
LIEU-DIT   AUX ONZE PIEDS             
LIEU-DIT   LES PACHENOTTES            
LIEU-DIT   LE PARVAUT                 
LIEU-DIT   SUR LES POMMIERS           
LIEU-DIT   LE PRA                     
LIEU-DIT   LA RESERVE                 
LIEU-DIT   LA RIVIERE MALDITE         
LIEU-DIT   LA SAINFOINIERE            
LIEU-DIT   AU SOISSE                  
LIEU-DIT   SOUS LES CHENES            
LIEU-DIT   SOUS LES POMMIERS          
LIEU-DIT   LES TREMBLES               
LIEU-DIT   LA VALLEE DU PARVAUT       
LIEU-DIT   VILLAGE                    
LIEU-DIT   LA RUELLE                  
RUE        DU CENTRE                  
RUE        DU CUL DE SAC              
RUE        DE L EGLISE                
RUE        DU FOUR                    
RUE        DU GATIS                   
RUE        DU GENERAL SALME           
ROUTE      DE GRAND                   
RUE        DU GUET                    
RUE        DU 19 MARS 1962            
RUE        DU ONZE NOVEMBRE           
RUE        DES ORMEAUX                
ROUTE      D ORQUEVAUX                
RUE        DE LA PEPINIERE            
CHEMIN     DES PROMENEURS             
RUE        DU PUITS                   
CHEMIN     DE REYNEL                  
           commune :     AINGOULAINCOURT                departement : HAUTE MARNE                   
LIEU-DIT   LA CHAMPAGNE               
LIEU-DIT   LE CHENOY                  
LIEU-DIT   COMBE ARNOUX               
LIEU-DIT   LA CROIX                   
LIEU-DIT   DEVANT LE CHENOY           
LIEU-DIT   GIBETATOT                  
LIEU-DIT   IRVAL                      
LIEU-DIT   SON JARNOU                 
LIEU-DIT   SUR MORE                   
LIEU-DIT   PETONVAL                   
LIEU-DIT   SOUS GILAUMONT             
LIEU-DIT   VILLAGE                    
RUE        DE L EGLISE                
CHEMIN     D IRVAL                    
PLACE      ANDRE JEANRONT             
CHEMIN     DES PRES                   
RUE        OLIVIER DE VEZIN           
           commune :     AIZANVILLE                     departement : HAUTE MARNE                   
LIEU-DIT   BOSSELIN                   
LIEU-DIT   CHAMP DES GRILLOTTES       
LIEU-DIT   CHAPLU                     
LIEU-DIT   CHOPINEL                   
LIEU-DIT   CORNE DE MADAME PICARD     
LIEU-DIT   DEVANT LA MAISON MEROT     
LIEU-DIT   FRICHES DE LA FOURTELLE    
LIEU-DIT   LES ESSARTS                
LIEU-DIT   LA FOURTELLE               
LIEU-DIT   FRICHE DE MARSEMONT        
LIEU-DIT   MARSEMONT                  
LIEU-DIT   LES NOVALLES               
LIEU-DIT   LES POMEROTS               
LIEU-DIT   LES POUILLEUX              
LIEU-DIT   LA RESERVE                 
LIEU-DIT   SAINTE LIBERE              
LIEU-DIT   LA TRASSIERE               
LIEU-DIT   VAL D ARGEVILLE            
LIEU-DIT   VARENNE AUX CHENES         
LIEU-DIT   LES VARENNES               
LIEU-DIT   LES VARENNES DE SAINTE-LIB 
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES ZIELLES                
RUE        DE L EGLISE                
RUE        DU MOULIN                  
RUE        DU PONT                    
RUE        SAINT THOMAS               
           commune :     ALLICHAMPS                     departement : HAUTE MARNE                   
LIEU-DIT   LE CLOS                    
LIEU-DIT   LES CLOS                   
LIEU-DIT   CORNEE FONTAINE            
LIEU-DIT   LA COUR                    
LIEU-DIT   DERRIERE LE NOEL           
LIEU-DIT   LES DIX JOURNELS           
LIEU-DIT   LES ECLUSES                
LIEU-DIT   L EPINEUX                  
LIEU-DIT   LA FIN                     
LIEU-DIT   HAIE JEAN RAILLOT          
LIEU-DIT   LA D HEUE                  
LIEU-DIT   LES MORAMBERTS             
LIEU-DIT   L ORGERE                   
LIEU-DIT   LE PALLON                  
LIEU-DIT   LES PASSENELLES            
LIEU-DIT   PETIT CLOS                 
LIEU-DIT   LE POIRILLON               
LIEU-DIT   LE POMMIER                 
LIEU-DIT   PRE NICOLE                 
LIEU-DIT   PRE ROI                    
LIEU-DIT   LE TERRIER                 
LIEU-DIT   VILLAGE                    
LIEU-DIT   LES USAGES                 
IMPASSE    DES BOUVREUILS             
RUE        DU CAVEE                   
RUE        DES DAMES                  
IMPASSE    DE LA FONTAINE             
RUE        DU FOURNEAU                
RUE        FREDERIC CHOPIN            
RUE        DU GUE                     
ROUTE      D HUMBECOURT               
RUE        DES LILAS                  
ROUTE      DE LOUVEMONT               
ROUTE      DES MORAMBERTS             
CHEMIN     DU MOULIN                  
RUE        NICOLAS DESETANGTS         
ALLEE      DU PETIT CLOS              
RUE        DE LA REPUBLIQUE           
RUE        DES ROSES                  
CHEMIN     DES TOURNIERES             
RUE        DU VIEUX MOULIN            
RUE        DES VIOLETTES              
           commune :     AMBONVILLE                     departement : HAUTE MARNE                   
LIEU-DIT   BARBIEMONT                 
LIEU-DIT   CHANOT                     
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   COTE DE MONTGIMONT         
LIEU-DIT   COTE TABOURIN              
LIEU-DIT   FORET D AMBONVILLE OUEST   
LIEU-DIT   FOURCHELLE                 
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   HAUT DE ROUGINVAUX         
LIEU-DIT   MEROT                      
LIEU-DIT   MONTGIMONT                 
LIEU-DIT   LA PIQUE                   
LIEU-DIT   LES PLANTES                
LIEU-DIT   SOUS MONTGIMONT SUD        
LIEU-DIT   VAL MARTIN                 
LIEU-DIT   SUR LA VALLEE BARONNIER    
LIEU-DIT   VALOTTE                    
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   FORET D AMBONVILLE EST     
LIEU-DIT   SOUS MONGIMONT NORD        
IMPASSE    DE BOURGOGNE               
RUE        DE L'EGLISE                
PLACE      DE LA FONTAINE             
GR         GRANDE RUE                 
RUE        DE GUINDRECOURT            
CHEMIN     DU MOULIN                  
RUE        DU MOUTIER                 
RUE        DU PATIS                   
RUE        DES PRES                   
RUE        DU TERME                   
RUE        DES VAUX DE CIREY          
           commune :     ANDELOT-BLANCHEVILLE           departement : HAUTE MARNE                   
LIEU-DIT   SUR L ABIME                
LIEU-DIT   L ALOUETTE                 
LIEU-DIT   L ANCIEN ETANG             
LIEU-DIT   AU DSO DE LA COTE DES VIGN 
LIEU-DIT   AU DSU DE LA CBE JEAN ANTO 
LIEU-DIT   AU-DSU DE LA CROIX STE BAR 
LIEU-DIT   LES AUGES                  
LIEU-DIT   LA BARAQUE                 
LIEU-DIT   BAS DES VIGNES MARCHAND    
LIEU-DIT   SUR BEAUREGARD             
LIEU-DIT   LA BELLE EPINE             
LIEU-DIT   BELLE FONTAINE             
LIEU-DIT   LA BERGERE                 
LIEU-DIT   LA BERGERIE                
LIEU-DIT   BOIS BRULE                 
LIEU-DIT   LES BOIS COMMUNAUX         
LIEU-DIT   LE BOURBOU                 
LIEU-DIT   SUR BOUTIVAUX EST          
LIEU-DIT   SUR BOUTIVAUX OUEST        
LIEU-DIT   LES BOUTONNIERS            
LIEU-DIT   LE BRIGION                 
LIEU-DIT   LA BUXIERE                 
LIEU-DIT   LE CALICE                  
LIEU-DIT   CHAMP BROCHAT              
LIEU-DIT   AU CHAMP JACQUERON         
LIEU-DIT   CHAMP THIEBAUT             
LIEU-DIT   LES CHAMPS DE LA GRANDE CO 
LIEU-DIT   CHAMPS DU MONTIGNY         
LIEU-DIT   CHAMPS GIRAMCIEN           
LIEU-DIT   CHAMPS SAINT LOUVENT       
LIEU-DIT   LA CHANLATTE               
LIEU-DIT   LE CHARMOIS                
LIEU-DIT   SUR LE CHEMIN DE CIREY     
LIEU-DIT   SUR LE CHEMIN DE SIGNEVILL 
