20151101
11         AUDE                          
PLACE      DE LA HALLE                
RUE        DU MARCHE COUVERT          
PLACE      DE LA RENAISSANCE          
ROUTE      DES MELIX                  
RUE        MILHES                     
ROUTE      DE MONTMAUR                
RUE        DU MOULIN                  
CHEMIN     DES PAGES                  
RUE        PRINCIPALE                 
RUE        DES PYRENEES               
CHEMIN     DES QUATRE VENTS           
PLACE      DE LA RENAISSANCE          
ROUTE      DE SOUPEX                  
RUE        DES JARDINS                
           commune :     AJAC                           departement : AUDE                          
LIEU-DIT   AL GARRIC                  
LIEU-DIT   ARAGNOU                    
LIEU-DIT   LA BENE                    
LIEU-DIT   BETEY                      
LIEU-DIT   BOIS DE L AUZINE           
LIEU-DIT   LE BOSC                    
LIEU-DIT   LA BOULBENE                
LIEU-DIT   BOURNES                    
LIEU-DIT   BUSCAIL                    
LIEU-DIT   LE CAMMAS                  
LIEU-DIT   CARRIES                    
LIEU-DIT   LE CHAMP DE LA ROQUE       
LIEU-DIT   LE CHAMP DU MOULIN         
LIEU-DIT   COL D AJAC                 
LIEU-DIT   LA COUME                   
LIEU-DIT   LA COUME DES FAURES        
LIEU-DIT   COUME DOULINE              
LIEU-DIT   COUMELHABOU                
LIEU-DIT   LA COUNDOUMINO             
LIEU-DIT   LES COUSTALS               
LIEU-DIT   LA FURANO                  
LIEU-DIT   LES GARRIGUES              
LIEU-DIT   LA GLACIERE                
LIEU-DIT   LA GOURGOTE                
LIEU-DIT   LA JEANNETOUNO             
LIEU-DIT   LAMOURIE                   
LIEU-DIT   LAS BORDES                 
LIEU-DIT   LAS MOUNTADOS              
LIEU-DIT   LAURIOLE                   
LIEU-DIT   MAZARDES                   
LIEU-DIT   METAIRIE REVEL             
LIEU-DIT   LES OLIVETTES              
LIEU-DIT   PECH REDON                 
LIEU-DIT   PECH COUYOUL               
LIEU-DIT   PECH MARGOU                
LIEU-DIT   PECH REDON                 
LIEU-DIT   A PELETIER                 
LIEU-DIT   LA PLAINE                  
LIEU-DIT   PLANTAREL                  
LIEU-DIT   PRAT DE CERS               
LIEU-DIT   LE PUJAL                   
LIEU-DIT   LA SALADOU                 
LIEU-DIT   LES SAUZETTES              
LIEU-DIT   LA SERRE                   
LIEU-DIT   VERDAUX                    
LIEU-DIT   LE VILLAGE                 
PLACE      D ANIS                     
CHEMIN     DES BORDES                 
ROUTE      DE CHALABRE                
RUE        DU CHATEAU                 
PLACE      DUJARDIN BEAUMETZ          
PLACE      DE L EGLISE                
RUE        DE LA FORGE                
IMPASSE    DE LA GLACIERE             
GR         GRAND RUE                  
RUE        DES GRENADIERS             
ROUTE      DE LIMOUX                  
RUE        DE LA MAIRIE               
RUE        DU MARECHAL DE LEVIS       
CHEMIN     DU MOULIN                  
IMPASSE    DU MURIER                  
RUE        DES REMPARTS               
CHEMIN     DU RIETOU                  
           commune :     ALAIGNE                        departement : AUDE                          
LOT        LE RUISSEAU DE PEPY        
LOT        LES FINETTES               
LOT        DE LA GARRIGUETTE          
LIEU-DIT   BACO NEGRO                 
LIEU-DIT   BARATE                     
LIEU-DIT   BARTHE                     
LIEU-DIT   LE BOIS                    
LIEU-DIT   LE BOIS DE SERNY           
LIEU-DIT   BONNAC                     
LIEU-DIT   BONNAREL                   
LIEU-DIT   BONNEL                     
LIEU-DIT   BORDERE                    
LIEU-DIT   LA BOUSIGUE                
LIEU-DIT   LES BOUTES                 
LIEU-DIT   LES BRUNETS                
LIEU-DIT   LES BULLES                 
LIEU-DIT   LE CAMMAS BLANC            
LIEU-DIT   LE CAMMAS VIEUX            
LIEU-DIT   LE CAMPARROU               
LIEU-DIT   LES CANALS                 
LIEU-DIT   CANTAUQUO                  
LIEU-DIT   CAZES                      
LIEU-DIT   LE CHAMP D ARRES           
LIEU-DIT   LE CHAMP DU MILIEU         
LIEU-DIT   LE CHAMP DU NOYER          
LIEU-DIT   LES CHAMPS DE NOUGAYROL    
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LE CHEMIN DE BELLEGARDE    
LIEU-DIT   CHEVALIER                  
LIEU-DIT   LES CLAUSES                
LIEU-DIT   LA CLOTTE SUD              
LIEU-DIT   LA CLOTTE NORD             
LIEU-DIT   LA CLOTTE SUD              
LIEU-DIT   LA CONDOMINE               
LIEU-DIT   LA CONSIGNE                
LIEU-DIT   COTE HAUTE                 
LIEU-DIT   LE COUSTAL D EN PEYRE      
LIEU-DIT   LE COUSTAL DE BOURDET      
LIEU-DIT   LA CROIX DE CALVET         
LIEU-DIT   LA CROIX DE PEPY           
LIEU-DIT   DARDANELLE                 
LIEU-DIT   FIANCETTE                  
LIEU-DIT   LES FINETTES               
LIEU-DIT   FONT CAILHAU               
LIEU-DIT   FONT ORBE                  
LIEU-DIT   LES FONTETTES              
LIEU-DIT   LA GARRIGUE DE BARTHE      
LIEU-DIT   LA GARRIGUETTE             
LIEU-DIT   LE GARRO                   
LIEU-DIT   LA GIRBE                   
LIEU-DIT   LA GLACIERE                
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LES GRAVES                 
LIEU-DIT   LE GRIOU                   
LIEU-DIT   L HOPITAL                  
LIEU-DIT   ITEL                       
LIEU-DIT   LABASSOU                   
LIEU-DIT   LAS AGOS                   
LIEU-DIT   LAS TAICHOUNIEROS          
LIEU-DIT   LA LECUNE                  
LIEU-DIT   MANEQUE                    
LIEU-DIT   MARFAX                     
LIEU-DIT   LES MARIONNES              
LIEU-DIT   MARMAJES                   
LIEU-DIT   LES MARSOLS                
LIEU-DIT   MATER DEI                  
LIEU-DIT   LA MAUVIEILLE              
LIEU-DIT   LE MAZENC                  
LIEU-DIT   LA MEDECINE                
LIEU-DIT   LE MIRAUDOU                
LIEU-DIT   LE MOTTY                   
LIEU-DIT   LE MOULIN                  
LIEU-DIT   NOUGAYROL                  
LIEU-DIT   LES NOYERS                 
LIEU-DIT   L OURMETIS                 
LIEU-DIT   LE PAS DE LA GATO          
LIEU-DIT   PECH AGOUST                
LIEU-DIT   PECH AGRE                  
LIEU-DIT   PECH CALVEL                
LIEU-DIT   LE PECH DE BARBETE         
LIEU-DIT   PECH MARTY                 
LIEU-DIT   PEPY                       
LIEU-DIT   LE PESQUIE                 
LIEU-DIT   PEYROUNET                  
LIEU-DIT   LES PEYROUS                
LIEU-DIT   LA PIECE DE DERRIERE       
LIEU-DIT   LA PIECE DE DEVANT         
LIEU-DIT   LA PIECE DE FANJEAUX       
LIEU-DIT   LA PIECE DE PASQUART       
LIEU-DIT   LA PIECE DU PRE            
LIEU-DIT   PIGNOLS                    
LIEU-DIT   PINCARD EST                
LIEU-DIT   PINCARD OUEST              
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LES PLATES BANDES          
LIEU-DIT   LE POULET                  
LIEU-DIT   LA PRADE                   
LIEU-DIT   LA PRADETTE                
LIEU-DIT   PRAT MAJOU                 
LIEU-DIT   PRAT NALBY                 
LIEU-DIT   LA REINE                   
LIEU-DIT   LA RESERVE                 
LIEU-DIT   LE RUISSEAU DE PEPY        
LIEU-DIT   SAINT-ESTEVE               
LIEU-DIT   SAINT PIERRE               
LIEU-DIT   SAINTE ANNE                
LIEU-DIT   SALAVY                     
LIEU-DIT   SARGUET                    
LIEU-DIT   LE SARRAT                  
LIEU-DIT   LA SERRE                   
LIEU-DIT   SOUS LES HORTS             
LIEU-DIT   LE TECH                    
LIEU-DIT   TERALBE EST                
LIEU-DIT   TERALBE-OUEST              
LIEU-DIT   LA TREILLE                 
LIEU-DIT   LES TROIS LOUIS            
LIEU-DIT   LA TUILERIE                
LIEU-DIT   TURONIS                    
LIEU-DIT   VENTO FARINO               
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES QUATRE VENTS           
PLACE      DE L'ANCIEN CHATEAU        
CHEMIN     DU BARRY                   
IMPASSE    DU BARRY                   
ROUTE      DE BELLEGARDE              
ROUTE      DE BELVEZE                 
CHEMIN     DU BONNAREL                
PLACE      LE CANON                   
IMPASSE    CANTAUQUE                  
CHEMIN     DE LA CANTAUQUE            
IMPASSE    DE LA CHAPELLE             
RUE        DE LA CHAPELLE             
ROUTE      COTE MALEPERE              
RUE        DROITE                     
RUE        ETROITE                    
RUE        DE LA FONTAINE             
PROMENADE  DES FOSSES                 
RUE        DU FOUR BARNIER            
CHEMIN     DE LA GARRIGUETTE          
PLACE      HOTEL DE LA MAIRIE         
ROUTE      DE LIMOUX                  
PLACE      DE MALBOURGUET             
RUE        MALBOURGUET                
PLACE      DE L'OURMEAU               
PORTE      DE PEPY                    
RUE        DE LA PORTE D'ARRES        
PROMENADE  PORTE D'ARRES              
RUE        DES REMPARTS               
CHEMIN     DE RONDE                   
PROMENADE  DU VIEUX PRESSOIR          
ROUTE      DE VILLELONGUE             
           commune :     ALAIRAC                        departement : AUDE                          
LOT        LA MALEPERE                
LOT        AYROLES                    
LOT        LA PEUPLERAIE              
RESIDENCE  L'AUZINA                   
RESIDENCE  LABOUAL                    
LOT        ELOI CASTEL                
LOT        LE GOUTAL                  
LOT        LABOUAL                    
LOT        LES MARRONNIERS            
LOT        REC DE LA FONT             
LOT        LES TERRASSES SAINT MICHEL 
LIEU-DIT   LES AUZIS                  
LIEU-DIT   AYROLES                    
LIEU-DIT   BARRIERE                   
LIEU-DIT   BONNEMAIRE                 
LIEU-DIT   BORDE DE PASTRE            
LIEU-DIT   CANTALOUP                  
LIEU-DIT   CASTEL BOSC                
LIEU-DIT   LES CASTELLES              
LIEU-DIT   LA CAUNE                   
LIEU-DIT   CHEMIN D ARZENS            
LIEU-DIT   CHEMIN DE JOUVENES         
LIEU-DIT   CIMETIERE VIEUX            
LIEU-DIT   COMBE DE ROUBY             
LIEU-DIT   COURTADE                   
LIEU-DIT   ESCANDE                    
LIEU-DIT   FILLOL                     
LIEU-DIT   LA FONT D ESTEVE           
LIEU-DIT   FONT FRECH                 
LIEU-DIT   FONTVIEILLE                
LIEU-DIT   LA FOUNT BIEILLO           
LIEU-DIT   LES GALERES                
