20151101
21         COTE D OR                     
LIEU-DIT   VERS GISSEY                
LIEU-DIT   LA VIE AUX ANES            
LIEU-DIT   LES VIELLES CHENEVIERES    
LIEU-DIT   LA VIGNE AU PRETRE         
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE CHAMP ES HAUTS          
RUE        DE L'ABREUVOIR             
RUE        DU BANET                   
RUE        BASSE                      
RUE        BEAUFORT                   
RUE        DE BEAUMOTTE               
RUE        DES BROSSES                
IMPASSE    DES CHAMPS NAIGEOT         
RUE        DU CHATEAU                 
RUE        DE LA CROIX DE MOLPHEY     
CHEMIN     DE DAMERON                 
RUE        DE L'ECOLE                 
RUE        DE L'EGLISE                
ROUTE      DE PRALON                  
GR         RUE                        
RUE        GRIFFON                    
ROUTE      DE REMILLY                 
RUELLE     DES HUGUENOTS              
RUELLE     MONSAINGEON                
RUE        DE LA PEPINIERE            
RUELLE     DE LA PERRIERE             
RUE        DE LA REPUBLIQUE           
CHEMIN     DES RIOTS                  
RUE        DES RIOTS                  
RUE        DES ROCHES                 
CHEMIN     DES RUELLES                
RUE        DU VERGER                  
           commune :     AHUY                           departement : COTE D OR                     
LIEU-DIT   ADROIT DES COMBES          
LIEU-DIT   LE BOIS D AHUY             
LIEU-DIT   CHAMP AU FOURNEAU          
LIEU-DIT   EN CHAMP MARRA             
LIEU-DIT   CHAMPS A LA CHARME         
LIEU-DIT   CHAMPS A LA SUCHE          
LIEU-DIT   CHAMPS AUX CHATS           
LIEU-DIT   CHAMPS PICHARD             
LIEU-DIT   CHARMES AUX LIEVRES        
LIEU-DIT   CHARMES D ASNIERES         
LIEU-DIT   COMBE DU BOIS D AHUY       
LIEU-DIT   COMBE JEAN VERREAU         
LIEU-DIT   COTES ROGER                
LIEU-DIT   CROIX D OUZERAULES         
LIEU-DIT   DERRIERE L EGLISE          
LIEU-DIT   DESSUS DE PIERRE           
LIEU-DIT   AU DESSUS DES LAVOIRS      
LIEU-DIT   DESSUS DES PONTS D ASNIERE 
LIEU-DIT   AU DEVANT DES COMBES       
LIEU-DIT   DEVANT LA FERME            
LIEU-DIT   DSU DE LA COMBE DU BOIS D  
LIEU-DIT   DSU DE LA COMBE JEAN VERRE 
LIEU-DIT   DSU DE PIERRE DERRIERE EGL 
LIEU-DIT   DSU DES ISLES PONT D ASNIE 
LIEU-DIT   ENTRECHATEAUX              
LIEU-DIT   ES AIGES                   
LIEU-DIT   ES ARGILLIERES             
LIEU-DIT   ES BICHES                  
LIEU-DIT   ES BORDEES                 
LIEU-DIT   ES CHAMPS CREPPEY          
LIEU-DIT   ES CHAMPS DE LA CLEF       
LIEU-DIT   ES CHAMPS MILLOTS          
LIEU-DIT   ES CHAMPS PERDRIX          
LIEU-DIT   ES CHAMPS PHILIPPE         
LIEU-DIT   ES CHAMPS PICHARD          
