20151101
RUE        DES PERCHES                
RUE        DU POINT DU JOUR           
IMPASSE    DES 3 POMMIERS             
IMPASSE    DES POMMIERS               
IMPASSE    DE LA PORTE DU FORT        
RUE        DU POTAGER                 
IMPASSE    DES POTERIES               
RUE        DES POTERIES               
IMPASSE    DU PUITS                   
IMPASSE    DE L ECHALIER              
IMPASSE    DE LA REPUBLIQUE           
RUE        DE LA REPUBLIQUE           
AVENUE     DE LA RESIDENCE            
RUE        DES SAPINS                 
ROUTE      DE SOREL                   
AVENUE     DES TILLEULS               
IMPASSE    DES TROIS POMMIERS         
RUE        DES TROIS POMMIERS         
AVENUE     DE VERNAY                  
IMPASSE    DES GRAVIERS               
           commune :     ALLAINES-MERVILLIERS           departement : EURE ET LOIR                  
LIEU-DIT   LA BASCULE                 
LIEU-DIT   LE BERCEAU                 
LIEU-DIT   LA BERGERONNETTE           
LIEU-DIT   LE BISSAC                  
LIEU-DIT   BOINVILLE                  
LIEU-DIT   LES BOIS                   
LIEU-DIT   LE BOIS D ABLIS            
LIEU-DIT   LE BOIS D ALLAINES         
LIEU-DIT   LE BOIS DE MARRAY          
LIEU-DIT   LE BOIS DE NIBELLES        
LIEU-DIT   LE BOIS DU PUISET          
LIEU-DIT   LE BOIS REVEILLE           
LIEU-DIT   LA BOUVRERIE               
LIEU-DIT   LE CALVAIRE                
LIEU-DIT   LE CARREAU                 
LIEU-DIT   LA CARRIERE GASSELIN       
LIEU-DIT   CHAMPHOL                   
LIEU-DIT   CHAMPS LEVREAUX            
LIEU-DIT   LES CHAMPS PARTS           
LIEU-DIT   LE CHEMIN D ABLIS          
LIEU-DIT   LE CHEMIN DE MARRAY        
LIEU-DIT   LE CHEMIN DE VILLERMONT    
LIEU-DIT   LA CROIX DE VILLERMONT     
LIEU-DIT   LE DESERT                  
LIEU-DIT   L ENFER                    
LIEU-DIT   L ETANCON                  
LIEU-DIT   LES GANTS                  
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LA GROSSE PIERRE           
LIEU-DIT   HATE MORIN                 
LIEU-DIT   MIHARDOUIN                 
LIEU-DIT   LE MORTIER                 
LIEU-DIT   LE MOULIN D ALLAINES       
LIEU-DIT   MOULIN DU BUISSON MARGOT   
LIEU-DIT   LE MUID                    
LIEU-DIT   LE MUID AU ROI             
LIEU-DIT   LE MURGER                  
LIEU-DIT   L ORME                     
LIEU-DIT   L ORME SUD                 
LIEU-DIT   LES OUCHES                 
LIEU-DIT   LES OUCHES D ALLAINES      
LIEU-DIT   LES OUCHES DE LA GROSSE PI 
LIEU-DIT   LES OUCHES DE VILLERMONT E 
LIEU-DIT   LES OUCHES DE VILLERMONT N 
LIEU-DIT   LES OUCHES DE VILLERMONT S 
LIEU-DIT   LES OUCHES DU MURGER       
LIEU-DIT   OUTROUVILLE                
LIEU-DIT   PARTIE D ALLAINES          
