20151101
LIEU-DIT   SOULEILLA DE BISETS        
LIEU-DIT   SOULEILLA DE COUPETIS      
LIEU-DIT   SOULEILLA DE GUILLOU       
LIEU-DIT   SOULEILLA DE MOUNTEILLES   
LIEU-DIT   SOULEILLA DE THOMAS        
LIEU-DIT   SOULEILLA DES BACCARETS    
LIEU-DIT   TAILLADE                   
LIEU-DIT   TAILLEFER                  
LIEU-DIT   TARABEL                    
LIEU-DIT   TASSOUENT                  
LIEU-DIT   TERRE BLANQUE              
LIEU-DIT   THOMAS                     
LIEU-DIT   TISSEYRE                   
LIEU-DIT   LA TUILERIE                
LIEU-DIT   VALANCE                    
LIEU-DIT   LE VIGNE                   
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   PERRY                      
CHEMIN     DE L'AUTAN                 
RUE        DE L'AUTAN                 
RUE        DU CALVAIRE                
RUE        DU 19 MARS 1962            
PLACE      DE L'ECOLE                 
RUE        DE L'EGLISE                
RUE        DE LA FONTAINE             
CHEMIN     DE LA FONTAINE             
CHEMIN     DE FONTVIEILLE             
PLACE      DU HUIT MAI 1945           
RUE        DES JARDINS                
IMPASSE    DES JARDINS                
RUE        DU MOULIN PASTILLE         
PLACE      DU ONZE NOVEMBRE 1948      
AVENUE     DES PLATANES               
RUE        DES RUSCADES               
RUE        DE LA VILLASSE             
           commune :     AIGREFEUILLE                   departement : HAUTE GARONNE                 
LOT        LE CLOS DES ANDAINS        
LOT        LE BARRIC                  
           LA CLE DES CHAMPS          
LOT        LE CLOS DE FONT VILLANE    
LOT        LES COTEAUX D AIGREFEUILLE 
           L OREE DU BOIS             
LIEU-DIT   BELLEVUE                   
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   L EGLISE                   
LIEU-DIT   FONT VILLANE               
LIEU-DIT   GRANDE BORDE               
LIEU-DIT   GRANDE PLAINE              
LIEU-DIT   JAMMES                     
LIEU-DIT   MAURICE                    
LIEU-DIT   LA PLACE                   
LIEU-DIT   LA PRAIRIE                 
LIEU-DIT   LA ROQUE                   
LIEU-DIT   LA SAUNE                   
LIEU-DIT   SIPIERE                    
LIEU-DIT   BARRIC                     
CHEMIN     DES ANDAINS                
CHEMIN     D ARBANERE                 
CHEMIN     DE L AUTAN                 
CHEMIN     DU BARRIC                  
CHEMIN     DE BELLEVUE                
IMPASSE    DES CHENES                 
CLOS       BEAUSOLEIL                 
CHEMIN     DES BLES                   
CHEMIN     DES ECOLIERS               
ALLEE      DES FENAISONS              
IMPASSE    DES FRENES                 
PLACE      DE LA FONTAINE             
CHEMIN     DE FONTVILLANE             
CHEMIN     DE FRESCATI                
CHEMIN     DE GRAILHE                 
IMPASSE    DE GRANDE BORDE            
CHEMIN     D ISATIS                   
CHEMIN     DE LAFAGE                  
CHEMIN     DE LAUZERVILLE             
PLACE      DE LA MAIRIE               
ALLEE      DES MOISSONS               
CHEMIN     DE LA PASTOURELLE          
CHEMIN     DU PASTEL                  
CHEMIN     DU PETIT BOIS              
ALLEE      DES PYRENEES               
CHEMIN     DE QUINT                   
CHEMIN     DE ROQUETTE                
CHEMIN     DES ROSEAUX                
ROUTE      DE LA SAUNE                
CHEMIN     DES TERREFORTS             
CHEMIN     DES TOURNESOLS             
ALLEE      DU MONT VALLIER            
ALLEE      DES VENDANGES              
IMPASSE    DE LA FONTAINE BIERNEZE    
           commune :     AYGUESVIVES                    departement : HAUTE GARONNE                 
CENTRE     COMMERCIAL DU BARRY        
RESIDENCE  L AMADOU                   
RESIDENCE  DES EAUX VIVES             
RESIDENCE  DES PYRENEES               
RESIDENCE  LE CLOS                    
LOT        MONTALBIAU                 
RESIDENCE  LES OURMETS                
RESIDENCE  MEDITERRANEE               
LIEU-DIT   L ARGANS                   
LIEU-DIT   EN BACOU                   
LIEU-DIT   EN BARRIERE HAUTE          
LIEU-DIT   LES BASTARDS               
LIEU-DIT   BEAU REGARD                
LIEU-DIT   BEAU SEJOUR                
LIEU-DIT   BEDENE                     
LIEU-DIT   BELAI                      
LIEU-DIT   BELER                      
LIEU-DIT   LA BERGERIE                
LIEU-DIT   BORDE BASSE                
LIEU-DIT   BORDE HAUTE                
LIEU-DIT   LA BOULBENE                
LIEU-DIT   LA BRIQUETERIE             
LIEU-DIT   CANTE CAUCUT               
LIEU-DIT   CAPESTROUPAT               
LIEU-DIT   CASSIGNOLIS                
LIEU-DIT   ENGOUDES                   
LIEU-DIT   ESCOUBAS                   
LIEU-DIT   FITARIA                    
LIEU-DIT   GAZABOUCHE                 
LIEU-DIT   EN GUILLOU                 
LIEU-DIT   L ILE                      
LIEU-DIT   JANCET BAS                 
LIEU-DIT   JANCET HAUT                
LIEU-DIT   JANNY                      
LIEU-DIT   LABAL PRIOUL               
LIEU-DIT   LACASSAGNE                 
LIEU-DIT   LES LANDES                 
LIEU-DIT   EN LOUSQUE                 
LIEU-DIT   LES MAILLOLES              
LIEU-DIT   LA MANNE                   
LIEU-DIT   MARCOU                     
LIEU-DIT   LA MAUNE                   
LIEU-DIT   MAURAN                     
LIEU-DIT   MERIC                      
LIEU-DIT   MONDET                     
LIEU-DIT   MONTALBIAU                 
LIEU-DIT   MOULIN DES GRAVES          
LIEU-DIT   L OUSTALOU                 
LIEU-DIT   EN PALUC                   
LIEU-DIT   PANDELLIE                  
LIEU-DIT   PELLAUGE                   
LIEU-DIT   LES PELUTS                 
LIEU-DIT   EN PHILIP                  
LIEU-DIT   LA PLAINE                  
LIEU-DIT   PLANTOU                    
LIEU-DIT   LA PRADASSE                
LIEU-DIT   PUEL                       
LIEU-DIT   RACINES                    
LIEU-DIT   EN RAUZAD                  
LIEU-DIT   LES RIVES                  
LIEU-DIT   EN ROQUES                  
LIEU-DIT   LA SAURINE                 
LIEU-DIT   TESTAU                     
LIEU-DIT   TICAILLE                   
LIEU-DIT   TOUTENS                    
LIEU-DIT   LA TRAPPE                  
LIEU-DIT   LA TUILERIE                
LIEU-DIT   EN TURET                   
LIEU-DIT   LE VIGNE                   
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   EN PLACE                   
LIEU-DIT   L ARGANS                   
LIEU-DIT   CHE DE TOULOUSE            
LIEU-DIT   EN ROUZOD                  
LIEU-DIT   ECLUSE DU SANGLIER         
LIEU-DIT   LE BESSOU                  
LIEU-DIT   AU VERGER                  
CHEMIN     D EN MAURAN                
CHEMIN     DE L AMADOU                
IMPASSE    DE L AUTAN                 
CHEMIN     D EN BARRIERE              
CHEMIN     DES BASTARDS               
CHEMIN     DE BELAY                   
CHEMIN     DE BEAUSEJOUR              
CHEMIN     DE BEDENE                  
IMPASSE    DE BEZAC                   
CHEMIN     DE LA BOSSE                
CHEMIN     D ESCOSSE                  
CHEMIN     DES FAUDES                 
CHEMIN     DE PUEL                    
ROUTE      DE SAINT LEON              
CHEMIN     DE MONTALBIAU              
CHEMIN     DE JANCET                  
CHEMIN     DES CAMPARES               
IMPASSE    DES CANNELLES              
CHEMIN     D EN CAUSSE                
PASSAGE    DU CERS                    
IMPASSE    DES COTEAUX                
ALLEE      DROITS DE L HOMME ET CITOY 
CHEMIN     DE LA FERME D EN GUILLOU   
ROUTE      DEPARTEMENTALE N 813       
CHEMIN     DES OURMETS                
PLACE      EGLISE                     
PLACE      DU FORT                    
CHEMIN     DU MOULIN                  
ROUTE      DE TICAILLE                
CHEMIN     EN PHILIP                  
CHEMIN     CAPESTROUPAT               
ROUTE      DE GARDOUCH                
IMPASSE    DES GENETS                 
ROUTE      DE NAILLOUX                
CHEMIN     DE LA PRADASSE             
CHEMIN     DE NAILLOUX                
CHEMIN     DE LA TRAPPE               
CHEMIN     DE LA TUILERIE             
CHEMIN     D EN GOUDES                
CHEMIN     D EN ROQUES                
CHEMIN     D EN MAURAN                
CHEMIN     DES TROUBADOURS            
CHEMIN     DE TOULOUSE                
IMPASSE    DE BELLEVUE                
CHEMIN     DE BEZAC                   
CHEMIN     DES BONSONS                
CHEMIN     DE BORDE HAUTE             
IMPASSE    DU BOSQUET                 
CHEMIN     DE CANTEGRIL               
IMPASSE    DE CASSIGNOL               
IMPASSE    DU CERS                    
ALLEE      DU CHATEAU                 
CHEMIN     DU CIMETIERE               
CHEMIN     DU CLAUX                   
IMPASSE    DES COQUELICOTS            
IMPASSE    DE LA CROUZETTE            
CHEMIN     DES EAUX VIVES             
CHEMIN     DE FITARIA                 
RUE        DU FROMENT                 
RUE        DU FORT                    
IMPASSE    D EN GOUDES                
CHEMIN     DE LA FOURCADE             
CHEMIN     D EN GUILLOU               
IMPASSE    DES GARENNES               
IMPASSE    D EN GUILLOU               
CHEMIN     DES GENTIANES              
CHEMIN     DES GRAVETTES              
AVENUE     DE L HERS                  
IMPASSE    DES GRAVETTES              
CHEMIN     DES HIEIS                  
CHEMIN     DES HOULIBETS              
ALLEE      DES GRIVES                 
CHEMIN     DE JEAN SET                
CHEMIN     DES LANDES                 
CHEMIN     D'EN LOUSQUE               
CHEMIN     DE LAS PUNTOS              
CHEMIN     DU LAVOIR                  
PLACE      DU 19 MARS 1962            
IMPASSE    DE MAUSAC                  
IMPASSE    DES MENESTRELS             
IMPASSE    DU MIDI                    
CHEMIN     DES MAILLOLES              
CHEMIN     DE MONDET                  
IMPASSE    DE LA MANDROUNIERE         
CHEMIN     DE LA MANNE                
CHEMIN     DE MATRIO                  
CHEMIN     DE LA MEDITERRANEE         
PASSAGE    DE LA MEDITERRANEE         
CHEMIN     DES MAUVES                 
CHEMIN     DES MYRTILLES              
CHEMIN     DE NOSTRE SEIGNE           
ROUTE      NATIONALE 113              
CHEMIN     D OCCITANIE                
IMPASSE    DE L OUSTALOU              
CHEMIN     DE PANDELIE                
PASSERELLE DU PASSADOU                
PASS       DES PARPALHOLS             
PASS       DE LA PERDRIX              
IMPASSE    DU PESQUIE                 
IMPASSE    DE PRUSSET                 
IMPASSE    DU RESTANC                 
CHEMIN     DES ROMAINS                
CHEMIN     DU SOULELHAT               
IMPASSE    DE SOULELHAT               
IMPASSE    DU TERREFORT               
IMPASSE    DE TICAILLE                
CHEMIN     DES TOURNASES              
RUE        DES TOURNESOLS             
CHEMIN     DU VAL FLEURI              
ALLEE      D EN TURET                 
CHEMIN     DE LA VAL PRIOUT           
IMPASSE    DES VIGNES                 
IMPASSE    DES VIOLETTES              
RUE        ZONE INDUSTR LA VAL PRIOUT 
           commune :     ALAN                           departement : HAUTE GARONNE                 
LIEU-DIT   AGRES                      
LIEU-DIT   ANTRAS                     
LIEU-DIT   AUBADERES                  
LIEU-DIT   BARBADAU                   
LIEU-DIT   BELLAMANT                  
LIEU-DIT   BELLEVUE                   
LIEU-DIT   BERDOYE                    
LIEU-DIT   LE BERGER                  
LIEU-DIT   BIDE                       
LIEU-DIT   BLADE                      
LIEU-DIT   BORDE NEUVE                
LIEU-DIT   LA BOURDETTE               
LIEU-DIT   BOURTOULOTTE               
LIEU-DIT   LE CALLA                   
LIEU-DIT   CAPDEBOSC                  
LIEU-DIT   LE CARRETE                 
LIEU-DIT   CASSAGNAC                  
LIEU-DIT   CASSE                      
LIEU-DIT   CASSE BERT                 
LIEU-DIT   LA CASTAGNETE              
LIEU-DIT   CASTILLON                  
LIEU-DIT   CAZASSUS                   
LIEU-DIT   CLOT DE BARBO              
LIEU-DIT   LE CLOUTET                 
LIEU-DIT   LES COMMUNAUX              
LIEU-DIT   CONTE                      
LIEU-DIT   LES COTES                  
LIEU-DIT   LA COUME                   
LIEU-DIT   LA COUMETE                 
LIEU-DIT   COURET                     
LIEU-DIT   COUSTALAT                  
LIEU-DIT   LA DIGUE                   
LIEU-DIT   DURANS                     
LIEU-DIT   L ECHART                   
LIEU-DIT   FONICARDE                  
LIEU-DIT   LES GALIES                 
LIEU-DIT   LA GRAVE                   
LIEU-DIT   GUILLEMAN                  
LIEU-DIT   HAJEAU                     
LIEU-DIT   LES HAJETTES               
LIEU-DIT   LE HONTAU                  
LIEU-DIT   HOUNT CARBOIRO             
LIEU-DIT   JEAN CASSAGNE              
LIEU-DIT   LABARTHERE                 
LIEU-DIT   LAS MAILLOS                
LIEU-DIT   LAS MOUSQUERES             
LIEU-DIT   LAS TIRES                  
LIEU-DIT   LEONARD                    
LIEU-DIT   LIMOUZIS                   
LIEU-DIT   LORETTE                    
LIEU-DIT   LOUJEAU                    
LIEU-DIT   LOUMAIS                    
LIEU-DIT   MAOURAT                    
LIEU-DIT   LES MARTIS                 
LIEU-DIT   MIRABEL                    
LIEU-DIT   MONTANE                    
