20151101
55         MEUSE                         
LIEU-DIT   CHAMP MONTANT              
LIEU-DIT   CHAMP PERROT               
LIEU-DIT   LE CHASSERON               
LIEU-DIT   CHASSOGNE                  
LIEU-DIT   AU CHEMIL                  
LIEU-DIT   AU CHEMIN DE BANTHEVILLE   
LIEU-DIT   AU CHENIL                  
LIEU-DIT   LA CITADELLE               
LIEU-DIT   LA CLICHE                  
LIEU-DIT   LE COUCOU                  
LIEU-DIT   LA COULEUVRE               
LIEU-DIT   AU CUGNET                  
LIEU-DIT   A LA CUVE                  
LIEU-DIT   DERRIERE LE BOIS           
LIEU-DIT   DERRIERE LES MEIS          
LIEU-DIT   AU DESSUS DE LA CUVE       
LIEU-DIT   LES DOUCES TERRES          
LIEU-DIT   LES EBANNIES               
LIEU-DIT   ENTRE DEUX EAUX            
LIEU-DIT   L EPASSIMAJIN              
LIEU-DIT   L EPINETTE                 
LIEU-DIT   A L ETAILLON               
LIEU-DIT   A L ETAT                   
LIEU-DIT   LES FILLETTES              
LIEU-DIT   FOND DE REMEY              
LIEU-DIT   LA FOSSE                   
LIEU-DIT   GERMEVILLE                 
LIEU-DIT   LE GRAND JARDIN            
LIEU-DIT   LA HAIE BALON              
LIEU-DIT   JARDIN HAUSETTE            
LIEU-DIT   LES NOIRES TERRES          
LIEU-DIT   A L OGNON                  
LIEU-DIT   PAQUIS D HERBEUVILLE       
LIEU-DIT   PAQUIS DE CHASSOGNE        
LIEU-DIT   LES PERCHIES               
LIEU-DIT   AUX PERRIERES              
LIEU-DIT   LE PETIT JA                
LIEU-DIT   AU PONT MONTANT            
LIEU-DIT   PRE CATIN                  
LIEU-DIT   PRE LA CHEVRE              
LIEU-DIT   LE PRESSOIR                
LIEU-DIT   LES PUISETS                
LIEU-DIT   LA QUEUE D ARONDE          
LIEU-DIT   LES RAPPES                 
LIEU-DIT   AUX ROCHES                 
LIEU-DIT   LES ROISES                 
LIEU-DIT   ROND BUISSON               
LIEU-DIT   LA RUELLE DES PRES         
LIEU-DIT   LA SANDEE                  
LIEU-DIT   SAROT LOUIS                
LIEU-DIT   SAUT ROBIN                 
LIEU-DIT   SOUS LA VILLE              
LIEU-DIT   TARTRY                     
LIEU-DIT   LE TONNEAU                 
LIEU-DIT   LES TOURNIELLES            
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VINVINS                
RUE        DES ACACIAS                
ROUTE      DE L ARGONNE               
CHEMIN     DE BANTHEVILLE             
RUE        BASSE                      
RUE        DES CHENEVIERES            
ROUTE      DE CUNEL                   
PLACE      DU CAPITAINE HARRIS        
RUE        HAUTE                      
RUE        DU LAVOIR                  
PLACE      DU MONUMENT                
RUE        DU MOULIN                  
N          RTE NATIONALE              
RUE        POISSETTE                  
RUELLE     DES PRES                   
RUE        DE SOLFERINO               
RUE        DU TEMPLE                  
RUE        DES TISSERANDS             
ROUTE      DE VILLERS                 
ROUTE      DE VILLERS                 
           commune :     AMANTY                         departement : MEUSE                         
LIEU-DIT   LES ANSANGES               
LIEU-DIT   BOIS CHETE                 
LIEU-DIT   LA BRICHOSE                
LIEU-DIT   LA CHALADE                 
LIEU-DIT   AU CHEMIN DE DAINVILLE     
LIEU-DIT   LA CORVEE                  
LIEU-DIT   DERRIERE LE MOULIN         
LIEU-DIT   DERRIERE LOUVROY           
LIEU-DIT   DEVANT BECHIN              
LIEU-DIT   ENTRE LES DEUX BOIS        
LIEU-DIT   A L EPINE                  
LIEU-DIT   FAGNIERE                   
LIEU-DIT   LE GRAND CHENOIS           
LIEU-DIT   LE GRAND JARDIN            
LIEU-DIT   LA HAIE PAULINE            
LIEU-DIT   LA LOUVIERE                
LIEU-DIT   LOUVROY                    
LIEU-DIT   A MORAINVILLE              
LIEU-DIT   LE PETIT CHENOIS           
LIEU-DIT   LES PLAINES D AMANTY       
LIEU-DIT   PODEVOSE                   
LIEU-DIT   SOUS LA VILLE              
LIEU-DIT   SUSNIBOIS                  
LIEU-DIT   LE TEMPS PERDU             
LIEU-DIT   LA TERRE MARIEE            
LIEU-DIT   LA VALLEE DU MAIRE         
LIEU-DIT   LA VALLOTTE                
LIEU-DIT   LE VIGNEUX                 
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE CHENOS                  
RUE        DE L EGLISE                
GR         GRANDE RUE                 
RUE        DU HAUT                    
RUE        SIDONIE COLLOT             
RUE        SIDONIE COLLOT             
           commune :     AMBLY SUR MEUSE                departement : MEUSE                         
LOT        LES AUGES                  
LOT        A L'ETRAIN                 
LIEU-DIT   ABOUTISSANT SUR LES EPINOT 
LIEU-DIT   A SON ALTESSE              
LIEU-DIT   AU DESSUS DE LA VOIE DES V 
LIEU-DIT   AU DESSUS DES MOUNINVIS    
LIEU-DIT   AU DESSUS DES PALTELS      
LIEU-DIT   AU DESSUS DES VIGNES       
LIEU-DIT   LES AUGES                  
LIEU-DIT   LE BAGNEUX                 
LIEU-DIT   LA BAILLOTE                
LIEU-DIT   LES BAS NONELS             
LIEU-DIT   LES BAS PLAIMONTS          
LIEU-DIT   BASSE NONZEE VALOTTE       
LIEU-DIT   LES BASSES CHEVALEES       
LIEU-DIT   A BILLEREAU                
LIEU-DIT   LES BLOSSIERS              
LIEU-DIT   LE BOIS LAGNON             
LIEU-DIT   LA BORDE                   
LIEU-DIT   LES BOUCHOTS DE HAIE       
LIEU-DIT   A BURTERIES                
LIEU-DIT   LES CAILLOUERES            
LIEU-DIT   LES CAILLOUX               
LIEU-DIT   LE CELERY                  
LIEU-DIT   LE CERISIER                
LIEU-DIT   CERISIER AU DESSUS DES POC 
LIEU-DIT   LE CHAMP CATIN             
LIEU-DIT   LE CHAMP COLAS             
LIEU-DIT   LE CHAMP LA GAILLE         
LIEU-DIT   LE CHAMP LATOUR            
LIEU-DIT   LE CHAMP LOMBEAU           
LIEU-DIT   LE CHAMP DE RANZIERES      
LIEU-DIT   LA CHANSON                 
LIEU-DIT   LA CHARMEE                 
LIEU-DIT   LE CHAUD FOUR              
LIEU-DIT   LA CHAUDIERE               
LIEU-DIT   LA CHOME                   
LIEU-DIT   AU CLOS                    
LIEU-DIT   LA CORVEE                  
LIEU-DIT   COTE DE WASCOURT           
LIEU-DIT   LA COTE FOVEAU             
LIEU-DIT   LA COTE LE GAILLOT         
LIEU-DIT   LA COTE PREVOT             
LIEU-DIT   LES COURTIGNONS            
LIEU-DIT   LES COURTS PLAIMONTS       
LIEU-DIT   AU CUGNOT                  
LIEU-DIT   AU CUL                     
LIEU-DIT   LE CUL DE CHIEN            
LIEU-DIT   DERRIERE LA COTE LE PREVOT 
LIEU-DIT   DERRIERE WASCOURT          
LIEU-DIT   DESSOUS LE POIRIER MULIN   
LIEU-DIT   DESSOUS LES CUMINES        
LIEU-DIT   DESSOUS LES ROUGES CHEMINS 
LIEU-DIT   AU DESSUS DE LA COTE WASCO 
LIEU-DIT   DESSUS LE LARRY            
LIEU-DIT   DEVANT LE PONT             
LIEU-DIT   LE DOUAIRE                 
LIEU-DIT   A DEUZEVIEE                
LIEU-DIT   LES EPINOTTES              
LIEU-DIT   LES ETOUBLES               
LIEU-DIT   A L ETRAIN                 
LIEU-DIT   LES FAVEES                 
LIEU-DIT   FOND DE LA GENEVAUX        
LIEU-DIT   FOND DE RINVAUX            
LIEU-DIT   LA FOSSE LE PRETRE         
LIEU-DIT   LES FOSSES                 
LIEU-DIT   LA FOURRIERE               
LIEU-DIT   FROMOTINCHAMP              
LIEU-DIT   A LA GASCOGNE              
LIEU-DIT   SUR GERMOFOSSE             
LIEU-DIT   LES GIGOUTS                
LIEU-DIT   LES GOGUETS                
LIEU-DIT   LE GRAND SCEAU             
LIEU-DIT   LA GRANDE LAIE             
LIEU-DIT   LA GRANDE PATURE           
LIEU-DIT   LES GRANDES CORES          
LIEU-DIT   LES GRANDS PLAIMONTS       
LIEU-DIT   LES GRANDS ROUGES CHEMINS  
LIEU-DIT   LES GREVES                 
LIEU-DIT   GUE LE MOUTON              
LIEU-DIT   AU HAM                     
LIEU-DIT   LES HAMELLES               
LIEU-DIT   LE HAUT CHATEAU            
LIEU-DIT   LE HAUT TERME              
LIEU-DIT   LES HAUTES CHEVALEES       
LIEU-DIT   LES HAUTS NONELS           
LIEU-DIT   HAUTS ROTIS                
LIEU-DIT   LA HAYE GODON              
LIEU-DIT   LA HAYE PERIE              
LIEU-DIT   A HERBEAUCHAMP             
LIEU-DIT   L HOTEL DE PIERRE          
LIEU-DIT   LE JARDINET                
LIEU-DIT   SUR LE LARRY               
LIEU-DIT   LES LONGUES RAIES          
LIEU-DIT   LES LOUPS                  
LIEU-DIT   A MASTREIC                 
LIEU-DIT   A MEHORIERE                
LIEU-DIT   A MONEPRE                  
LIEU-DIT   A MONT JARRON              
LIEU-DIT   AUX MORTS                  
LIEU-DIT   LES MOTILLERONS            
LIEU-DIT   LES MOUNINVIS              
LIEU-DIT   LES MUROTS                 
LIEU-DIT   A NOIRE VACHE              
LIEU-DIT   A NONZEE VALOTTE           
LIEU-DIT   A NOUE WARION              
LIEU-DIT   LES NOUELS                 
LIEU-DIT   A PALIGNY                  
LIEU-DIT   LE PALLON                  
LIEU-DIT   LES PALTELS                
LIEU-DIT   LES PARLOTS                
LIEU-DIT   LE PATIS DE FONTENOY       
LIEU-DIT   LE PATIS DE WASCOURT       
LIEU-DIT   LA PATURE                  
LIEU-DIT   A PAUTERRE                 
LIEU-DIT   A PELU                     
LIEU-DIT   A PETIT GRAND CHAMP        
LIEU-DIT   LE PETIT SCEAU             
LIEU-DIT   LA PETITE LAIE             
LIEU-DIT   PETITE PATURE DEVANT LE PO 
LIEU-DIT   LES PETITS CORES           
LIEU-DIT   LES PETITS JOURS           
LIEU-DIT   LES PETITS ROUGES CHEMINS  
LIEU-DIT   LES PIQUEMONTS             
LIEU-DIT   LES PIQUERETS              
LIEU-DIT   LES PIQUES DE GENEVE       
LIEU-DIT   LES PLAIMONTS              
LIEU-DIT   AUX PLATELLES              
LIEU-DIT   LES POCHIS                 
LIEU-DIT   POINTES DE BOUCHOTS        
LIEU-DIT   LE POIRIER LE VALLET       
LIEU-DIT   LE POIRIER MULIN           
LIEU-DIT   LE POMMIER DE BOIS         
LIEU-DIT   LE PONT DE PIERRE          
LIEU-DIT   POUILLAUX                  
LIEU-DIT   LE PRE LA TOUR             
LIEU-DIT   PRE SAINT JACQUES          
LIEU-DIT   LE PRE SAINT MARTIN        
LIEU-DIT   LA PUCELLE                 
LIEU-DIT   A PUISA                    
LIEU-DIT   LES QUAREES                
LIEU-DIT   LES QUATRES PARTS          
LIEU-DIT   A RAIE COLLAIRE            
LIEU-DIT   A RAMBUSEL                 
LIEU-DIT   LA RANGEE DE POIRIERS      
LIEU-DIT   A REMUSSEAU                
LIEU-DIT   LA RENARDIERE              
LIEU-DIT   A REVECHAMP                
LIEU-DIT   REVERS DE LA COTE PREVOT   
LIEU-DIT   A RINVAUX                  
LIEU-DIT   LES ROTIS                  
LIEU-DIT   LES ROUGES TERRES          
LIEU-DIT   LES RUEES                  
LIEU-DIT   SAINT MARTINCHAMP          
LIEU-DIT   AUX SAULES                 
LIEU-DIT   LA LOUVIERE                
LIEU-DIT   LES TAISES                 
LIEU-DIT   LE TERNE BAZOT             
LIEU-DIT   LA TERRIERE                
LIEU-DIT   LA TERRIERE VERS TROYON    
LIEU-DIT   A LA TOUR                  
LIEU-DIT   LA TRACES                  
LIEU-DIT   TRAVERSANT LE CHEMIN DE TI 
LIEU-DIT   A TRAVERSINCHAMP           
LIEU-DIT   A TRIBECHAMP               
LIEU-DIT   LES TROIS BANS             
LIEU-DIT   TROU DE LA GENEVAUX        
LIEU-DIT   LE VAUZEL SAINT MARTIN     
LIEU-DIT   A VERDINPRE                
LIEU-DIT   VERS LE CHAMP LA GAILLE    
LIEU-DIT   LES VIEILLES CARRIERES     
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   A VILLERS                  
LIEU-DIT   A WARINPRE                 
LIEU-DIT   A WARINPRE GIGOUTS         
LIEU-DIT   WASCOURT                   
LIEU-DIT   LES CORES                  
LIEU-DIT   LA GENEVAUX                
LIEU-DIT   GIBAUCLOS                  
LIEU-DIT   LA PETITE PATURE           
LIEU-DIT   AUX RAMPES                 
LIEU-DIT   LA VOIE DE MEUSE           
LIEU-DIT   LOT A L'ETRAIN             
           LOT LES AUGES              
RUE        DE LA BAILLOTTE            
RUE        DES BLOSSIERS              
RUE        DE LA COUR                 
RUE        DE L EGLISE                
GR         GRANDE RUE                 
RUE        DU HAUT CHATEAU            
RUE        NEUVE                      
PTR        PETITE RUE                 
RUE        DES TOURNESOLS             
           commune :     AMEL SUR L ETANG               departement : MEUSE                         
LIEU-DIT   AMEL                       
