20151101
LIEU-DIT   SUR LA TREMBLEE            
LIEU-DIT   VERNE                      
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   SUR LA VILLE               
LIEU-DIT   EN LA VOITE                
LIEU-DIT   YBORT                      
LIEU-DIT   HILSWAT                    
LIEU-DIT   SOUS LE FAHYS              
LIEU-DIT   VILLAGE                    
LIEU-DIT   SUR LES BREULEUX           
RUE        DU BOIS ZELIN              
RUE        DE L ECOLE                 
RUE        DE LA GOUTTE               
RUE        DE LA COMBE                
RUE        DE L EGLISE                
RUE        DU MOULIN                  
RUE        DU MOULIN                  
RUE        PRINCIPALE                 
RUE        DE LA NOUE                 
ROUTE      DE VAUTHIERMONT            
           commune :     ANJOUTEY                       departement : TERRITOIRE DE BELFORT         
ZA         DE LA CHARMOTTE            
LIEU-DIT   LA BARBIERE                
LIEU-DIT   BAUCHET                    
LIEU-DIT   AU BERMONT                 
LIEU-DIT   AUX BESSES                 
LIEU-DIT   BOIS DE L ETANG LAVERNE    
LIEU-DIT   BOIS DES QUOIS             
LIEU-DIT   BOIS LA DAME               
LIEU-DIT   AU BOIS LE PRETRE          
LIEU-DIT   BOIS SARCLES               
LIEU-DIT   A LA BOULOIE               
LIEU-DIT   AU CAMOURE                 
LIEU-DIT   CHAMPS DE LA CHARME        
LIEU-DIT   AU CHAMPS DE LA COMBE      
LIEU-DIT   CHAMPS DE LA PAX EST       
LIEU-DIT   CHAMPS DE LA PAX OUEST     
LIEU-DIT   CHAMPS DES CHENES          
LIEU-DIT   CHAMPS DES COTES           
LIEU-DIT   CHAMPS DU CERISIER         
LIEU-DIT   CHAMPS DU CRETY            
LIEU-DIT   CHAMPS DU SARRAZIN         
LIEU-DIT   CHAMPS SAUCY               
LIEU-DIT   LA CHARME                  
LIEU-DIT   CHARMOTTE                  
LIEU-DIT   LA CHARMOTTE               
LIEU-DIT   COLONGE                    
LIEU-DIT   COTE GERBEAU               
LIEU-DIT   SUR LA CROISETTE           
LIEU-DIT   DERRIERE LE MOULIN         
LIEU-DIT   DESSUS L ETANG DES BESSES  
LIEU-DIT   DEVANT LA NOYE             
LIEU-DIT   AUX EPACHES                
LIEU-DIT   ETANG CHOPPE               
LIEU-DIT   ETANG DES BESSES           
LIEU-DIT   ETANG DES GLOSSAI          
LIEU-DIT   ETANG DU HAREPOT           
LIEU-DIT   ETANG DU NOYER             
LIEU-DIT   ETANG GOUTENA              
LIEU-DIT   ETANG JEAN MARIE           
LIEU-DIT   ETANG LAVERNE              
LIEU-DIT   ETANG MONTBONNET           
LIEU-DIT   ETANG RECOGNAI             
LIEU-DIT   LE FARE                    
LIEU-DIT   LE FARE OUEST              
LIEU-DIT   AU FAYE EST                
LIEU-DIT   AU FAYE OUEST              
LIEU-DIT   SUR LA FONTAINE DU ROND BO 
LIEU-DIT   FORET DES QUOIS            
LIEU-DIT   GOUTENA                    
LIEU-DIT   GOUTTE ARDIN               
LIEU-DIT   GOUTTE ARGENT              
LIEU-DIT   LA GOUTTE CHARDON          
LIEU-DIT   LA GOUTTE DES NOIRES FOSSE 
LIEU-DIT   GOUTTE DES PERDRIX         
LIEU-DIT   LA GOUTTE DES QUOIS        
LIEU-DIT   A LA GOUTTE NICOLAS GIRARD 
LIEU-DIT   A LA GOUTTE NOIROT         
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LA GRANDE GOUTTE           
LIEU-DIT   GRANDE GOUTTE HAUTE FOUILL 
LIEU-DIT   AU HAUT DE LA CHARME       
LIEU-DIT   LE HAUT DES BOIS SARCLES   
LIEU-DIT   HAUT DES MONTS             
LIEU-DIT   AU HAUT DES QUOIS          
