20151101
64         PYRENEES ATLANTIQUES          
LIEU-DIT   CONSTANTIN                 
LIEU-DIT   COURAU                     
LIEU-DIT   COUSTALAT                  
LIEU-DIT   DARRE PAREN                
LIEU-DIT   DEBAN BENES                
LIEU-DIT   DUPONT                     
LIEU-DIT   LABORDENAVE                
LIEU-DIT   LALANNE                    
LIEU-DIT   LAS PALOUMERES             
LIEU-DIT   LAS PEYRES                 
LIEU-DIT   LATEULERE                  
LIEU-DIT   LAUHIRE                    
LIEU-DIT   LE LOT                     
LIEU-DIT   LOUS PRATS                 
LIEU-DIT   LUCA                       
LIEU-DIT   MIRAIL                     
LIEU-DIT   PEYREBIBE                  
LIEU-DIT   LA RAME                    
LIEU-DIT   REYENTS                    
LIEU-DIT   LA RIBERE                  
LIEU-DIT   SAINT PEE                  
LIEU-DIT   SUBERBIGNE                 
LIEU-DIT   VILLAGE                    
CHEMIN     MIRASSOU                   
RUE        DE L ARPIOU                
CHEMIN     D AUNES                    
CHEMIN     DE BARAT DE CARRERE        
CHEMIN     DE BENES                   
CHEMIN     DE LA BORDENAVE            
CHEMIN     DE DUPONT                  
CHEMIN     D ETCHEBEST                
CHEMIN     LATERAL                    
CHEMIN     DE LAUHIRE                 
CHEMIN     DE LUCA                    
CHEMIN     MIRASSOU                   
D          936                        
CHEMIN     DES PALOMBIERES            
CHEMIN     DE PEYRE                   
IMPASSE    PICAMILH                   
IMPASSE    DE LA RAME                 
CHEMIN     DE REYEN                   
CHEMIN     DE LA RIBERE               
RUE        DU VILLAGE                 
           commune :     ABOS                           departement : PYRENEES ATLANTIQUES          
LOT        LES BROUQUETS              
ZONE       INDUSTRIELLE D ABOS        
LOT        DES PYRENEES               
LIEU-DIT   BAGNERES                   
LIEU-DIT   LA BARTETE                 
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BROUQUETS              
LIEU-DIT   LES CHAMPS D EN BAS        
LIEU-DIT   LES CHAMPS D EN HAUT       
LIEU-DIT   CHATEAU D ABOS             
LIEU-DIT   COURNERES NORD             
LIEU-DIT   COURNERES SUD              
LIEU-DIT   L EMBRANCHEMENT            
LIEU-DIT   GASSAN                     
LIEU-DIT   LES LANDES DE PARBAYSE     
LIEU-DIT   LOU BROUQUISSA             
LIEU-DIT   LOUS HABARRAS              
LIEU-DIT   MOULIN D EN HAUT           
LIEU-DIT   PALOMBIERES                
LIEU-DIT   PLAINE D ABOS              
LIEU-DIT   PLAINE DE PARBAYSE         
LIEU-DIT   PRES DES COURNERES         
LIEU-DIT   PUYOO                      
LIEU-DIT   LA SALIGUE                 
ROUTE      D ARBUS                    
           LOT DES COURNERES          
RUE        BAGNERES                   
ROUTE      DE BESINGRAND              
ROUTE      DU BOIS                    
AVENUE     CHARLES DE BORDEU          
IMPASSE    BORDEU                     
IMPASSE    BROUQUETS                  
RUE        DU CENTRE                  
RUE        LA COURNERE                
IMPASSE    DE LA COURNERE             
RUE        CRABEROU                   
IMPASSE    DIM                        
RUE        DE L EGLISE                
RUE        FORCADE                    
IMPASSE    FORCADE                    
CHEMIN     DE GASSAN                  
IMPASSE    GUILHAMELOU                
ROUTE      DE LA GRAVIERE             
IMPASSE    HAUT                       
RUE        HAUT                       
CHEMIN     DES HOSSES                 
PLACE      DE LA MAIRIE               
RUE        MATACHOT                   
ROUTE      DE MONEIN                  
ROUTE      DE PARBAYSE                
ROUTE      DE PARDIES                 
ROUTE      DE PAU                     
RUE        PONDIQUE                   
PLACE      DU PRAT                    
RUE        PRAT                       
RUE        DES PYRENEES               
RUE        RAYMOND SEDZE              
CHEMIN     DU SOUBAC                  
ROUTE      DE TARSACQ                 
           commune :     ACCOUS                         departement : PYRENEES ATLANTIQUES          
LOT        D ISEYE                    
LOT        DU POUEY                   
LIEU-DIT   ARBEILLAT                  
LIEU-DIT   ARRIGAS                    
LIEU-DIT   BERNOUS                    
LIEU-DIT   BIGNALETS                  
LIEU-DIT   BOIS CHARACOU ET BOIS CONG 
LIEU-DIT   BOIS D ARAILLE             
LIEU-DIT   BOIS DE BOULISTRE          
LIEU-DIT   BOIS DE CABIROO            
LIEU-DIT   BOIS DE LA TRAILLERE       
LIEU-DIT   BOIS DE LABARQUERE         
LIEU-DIT   BOIS DE LAHOUS             
LIEU-DIT   BOIS DU COL LASTOU         
LIEU-DIT   BOIS DU METOURA            
LIEU-DIT   BOIS LOSQUE DE PONCE       
LIEU-DIT   BOSC D ACCOUS              
LIEU-DIT   BOUDRUX                    
LIEU-DIT   BROUCAS                    
LIEU-DIT   CABIROO                    
LIEU-DIT   CAP DETS ARRIAIBE ET MOUSC 
LIEU-DIT   CHART                      
LIEU-DIT   COSTE BROUCOUS LAS GOURGUE 
