20151101
64         PYRENEES ATLANTIQUES          
IMPASSE    BASTROT                    
PASSAGE    BARNETCHE                  
RUE        BAYARD                     
ALLEE      DU BAS DE LA COLLINE       
ALLEE      DE BARROILHET              
AVENUE     BEAURIVAGE                 
PLACE      BEAURIVAGE                 
RUE        BEAUSEJOUR                 
PASSAGE    BEAU SEJOUR                
IMPASSE    BEAU SITE                  
AVENUE     BEAU SOLEIL                
IMPASSE    BEGUE                      
IMPASSE    DE BELAY                   
AVENUE     BELLEFONTAINE              
PASSAGE    BELLEVUE                   
PLACE      BELLEVUE                   
RUE        BELLEVUE                   
RUE        DE LA BERGERIE             
RUE        DE BERLON                  
AVENUE     DE BIDART                  
ROUTE      DE BIDART                  
IMPASSE    BI HERRI                   
PASSAGE    BISTA EDERRA               
PASSAGE    DU BON AIR                 
RUE        DU BON AIR                 
RUE        DE BONAND                  
RUE        BON REPOS                  
RUE        BORDE D ANDRE              
RUE        BORDE SARASPE              
RUE        BORDOLO                    
RUE        BOUSSINGORY                
IMPASSE    BRANA                      
AVENUE     DU BRAOU                   
RUE        DU BRESIL                  
PASSAGE    BREUIL                     
IMPASSE    DE LA BRISE                
RUE        BROQUEDIS                  
IMPASSE    BRUNANCHON                 
IMPASSE    BURKART                    
IMPASSE    DES BRUYERES               
AVENUE     CAM D ANDRE                
RUE        CAMBARRE                   
IMPASSE    CANEGRE                    
IMPASSE    CANTON                     
CITE       CANY                       
RUE        CARCABUENO                 
RUE        CARDAN                     
AVENUE     CARNOT                     
BOULEVARD  DE CASCAIS                 
ESPLANADE  DU CASINO                  
RUE        CASTELLAMARE               
ALLEE      CASTERA                    
ROUTE      DE CAZALIS                 
RUE        DES CENT GARDES            
RUE        DU CENTRE                  
RUE        DU CENTRE INDUSTRIEL       
RUE        DES CHALETS                
RUE        CHAMP D AILLET             
IMPASSE    CHAMP D AILLET             
RUE        CHAMP LACOMBE              
ALLEE      CHANOINE PIERRE MANTEROLA  
IMPASSE    CHANTECLAIR                
RUE        CHAPELET                   
PASSAGE    DU CHAPEAU ROUGE           
IMPASSE    CHAPITAL                   
IMPASSE    CHAPOULIE                  
AVENUE     CHARLES FLOQUET            
CHEMIN     DU CHARDINEROU             
RUE        CHASSERIAU                 
IMPASSE    CHASSERIAU                 
AVENUE     DE CHASSIN                 
ALLEE      DU CHATEAU                 
AVENUE     CHELITZ                    
AVENUE     DES CHENES                 
ALLEE      DES CHENES                 
IMPASSE    DES CHENES                 
RUE        PIERRE DE CHEVIGNE         
RUE        CHIQUITO DE CAMBO          
RUE        DU CIMETIERE               
RUE        CINO DEL DUCA              
RUE        DE LA CITE                 
AVENUE     DE LA CITE SCOLAIRE        
ALLEE      CLAUDE DEBUSSY             
PASSAGE    CLEMENCEAU                 
IMPASSE    DE CIZE                    
IMPASSE    CLOUZARD                   
IMPASSE    CLAUDE FARRERE             
RUE        DE LA COLLINE              
RUE        DE LA COMEDIE              
RUE        CONSTANTINE                
RUE        DU CONTINENTAL             
SENTIER    DES CORSAIRES              
RUE        PERSPECT COTE DES BASQUES  
AVENUE     COULAOUN                   
RUE        DE COURASSON               
RUE        DE CRISTOBAL               
PASSAGE    DALBARADE                  
RUE        DALBARADE                  
RUE        DARASPE                    
RUE        DARRITCHON                 
IMPASSE    DAUBAGNAT                  
IMPASSE    DES DAUPHINS               
AVENUE     DU DOCTEUR CLAISSE         
AVENUE     DES DEUX VILLES            
RUE        DU 18 JUIN 1940            
RUE        DOCTEUR GUTTIEREZ          
RUE        DU DOCTEUR LABORDE         
SQUARE     DOCTEUR ANDRE LAFFAILLE    
RUE        DOLHARRE                   
ALLEE      DOMINIQUE MORIN            
REMPART    DOMREMY                    
RUE        DONGAITZ                   
RUE        DOUS SABLACATS             
RUE        DUC DE BAENA               
IMPASSE    DUBROCA                    
RUE        DUGUESCLIN                 
IMPASSE    DULER                      
RUE        DULER                      
IMPASSE    DUPRAT                     
AVENUE     EDITH CAVELL               
AVENUE     EDOUARD 7                  
VEN        EDOUARD VII                
RUE        DE L ERMITAGE              
IMPASSE    DE L ERMITAGE              
RUE        ERNEST FOURNEAU            
RUE        ERNEST RENAN               
IMPASSE    ESCANDON                   
RUE        D ESPAGNE                  
IMPASSE    D ESPAGNE                  
AVENUE     DE L ESPEE                 
ESPLANADE  ELISABETH II               
RUE        DE L ESTAGNAS              
AVENUE     D ETIENNE                  
IMPASSE    D ETIENNE                  
RUE        ETIENNE ARDOIN             
ALLEE      ETXE GORRIA                
RUE        EUGENE RAULET              
ESPLANADE  DE L EUROPE                
REMPART    DE L EUROPE                
RUE        DES FALAISES BEAURIVAGE    
IMPASSE    DES FALAISES BEAURIVAGE    
IMPASSE    DES FAUVETTES              
AVENUE     FELIX MOUREU               
PASSAGE    DU FER A CHEVAL            
SQUARE     FERDINAND HIRIGOYEN        
ALLEE      FER A CHEVAL               
ALLEE      DES FLEURS                 
CITE       DES FLEURS                 
IMPASSE    FOCH                       
RUE        DE FOLIN                   
PASSAGE    DES FLOTS BLEUS            
RUE        DE LA FONTAINE             
RUE        FONTAINE JEAN BLANC        
IMPASSE    FONTAINE MARRON            
ALLEE      DE LA FORET                
IMPASSE    FOURIO                     
RUE        DE FOURVIERES              
SENTIER    FOURIO                     
RUE        FOURVIERES                 
CITE       FOURNEAU                   
IMPASSE    DE FOURVIERES              
RUE        FRANCIS JAMMES             
RUE        DE LA FREGATE              
AVENUE     FRANCOIS MAURIAC           
ALLEE      DES FRENES                 
RUE        DES FRERES                 
SQUARE     64 SQ FRERES M ET R LAVACH 
RUE        DE FRIAS                   
PASSAGE    FROIS                      
ALLEE      GABRIELLE DORZIAT          
RUE        GAMBETTA                   
SQUARE     GAMBETTA                   
RUE        GARDAGUE                   
PASSAGE    GARDERES                   
RUE        GARDERES                   
RUE        JEAN PATOU                 
RUE        GABRIELLE CHANEL           
PLACE      PAUL POIRET                
REMPART    DU DOCTEUR ARMAND SAURY    
AVENUE     DE LA GARE                 
RUE        DE GASCOGNE                
RUE        GASTON LARRE               
RUE        DE LA GENDARMERIE          
BOULEVARD  GENERAL DE GAULLE          
AVENUE     GENERAL MAC CROSKEY        
ALLEE      GEORGES BRAQUE             
ALLEE      GEORGES BRASSENS           
PLACE      GEORGES CLEMENCEAU         
RUE        GEORGES HENNEBUTTE         
RUE        DE GIROUETTE               
IMPASSE    GOCHOKI                    
RUE        DES GOELANDS               
AVENUE     DU GOLF                    
IMPASSE    DU GOLF                    
RUE        GRADWOLD                   
AVENUE     GRAMONT                    
IMPASSE    GRAMMONT                   
PASSAGE    DU GRAND HOTEL             
IMPASSE    GRAND PRE                  
QUAI       DE LA GRANDE PLAGE         
IMPASSE    GUINE                      
RUE        GUYNEMER                   
RUE        GUY PETIT                  
RUE        D HAITZART                 
IMPASSE    D HAITZURA                 
RUE        DE LA HALLE                
RUE        DES HALLES                 
RUE        HAMEAU IDUSKI EDER         
RUE        DU HAMEAU                  
RUE        HARAOUT                    
RUE        DU HAMEAU DE MERIN         
RUE        D HARAUSTA                 
IMPASSE    D HARAUSTA                 
IMPASSE    D HARCAUT                  
RUE        D HARCET                   
RUE        HARISPE                    
IMPASSE    HARRITX                    
RUE        DU HAUTIN                  
RUE        DU HELDER                  
IMPASSE    HELENE BOUCHER             
CAR        HELIANTHE                  
RUE        HENRI 4                    
ALLEE      HENRI MATISSE              
RUE        DES HIRONDELLES            
IMPASSE    HIRIGOYEN                  
AVENUE     HENRI HAGET                
IMPASSE    HISPANO                    
ALLEE      DES HORTENSIAS             
RUE        DU 8 MAI 1945              
RUE        DE L HYDRO                 
AVENUE     HOCHE                      
RUE        DE LA HUMADE               
RUE        IBAIA                      
RUE        D IBANTELLY                
AVENUE     D IBARDIN                  
RUE        IDUSKI EDER                
AVENUE     D ILBARRITZ                
AVENUE     DE L IMPERATRICE           
RUE        DE L IMPRIMERIE            
RUE        ITXASO EDER                
SQUARE     D IXELLES                  
RUE        JAIZQUIBEL                 
AVENUE     DU JARDIN PUBLIC           
RUE        DES JARDINS                
AVENUE     JAULERRY                   
SQUARE     J BAPTISTE LASSALLE        
RUE        JEAN BART                  
RUE        JEAN BOURTAYRE             
RUE        JEAN BOUTON                
RUE        JEAN CHARCOT               
RUE        JEAN HENRI ADEMA           
PASSAGE    JEAN COCTEAU               
RUE        JEAN JAURES                
IMPASSE    JEAN MERMOZ                
RUE        JEAN MERMOZ                
AVENUE     JEAN PAUL BAGNERES         
RUE        JEAN PETIT DE BAS          
IMPASSE    JEAN PORTET                
RUE        JEANNE D ARC               
AVENUE     JOSEPH PETIT               
RUE        JULES FERRY                
PASSAGE    J FERRY BREUILS            
AVENUE     KLEBER                     
PLACE      JULES LABAT                
RUE        LABORDOTTE                 
IMPASSE    LABORDOTTE                 
RUE        LABOUHEYRE                 
IMPASSE    DU LABOURD                 
RUE        LABOURDIQUE                
AVENUE     DU LAC MARION              
IMPASSE    DU LAC MARION              
RUE        LACO                       
AVENUE     LAHONTINE                  
IMPASSE    LAHONTINE                  
RUE        LAHONTINE                  
AVENUE     LAHOUZE                    
IMPASSE    LAKELEKU                   
IMPASSE    LALAGUE                    
RUE        ANTOINE LALANNE            
RUE        LAMARTINE                  
RUE        DE LAMOULIE                
RUE        DES LANDES DE CRISTOBAL    
RUE        DES LANDES DE MERIN        
RUE        LARIVIERE                  
AVENUE     LAROCHEFOUCAULD            
RUE        LARRALDE                   
RUE        DE LARRE                   
RUE        LARREGUY                   
IMPASSE    LARRIBAU                   
IMPASSE    LARREPUNTE                 
RUE        DE LARREPUNTE              
RUE        DE LARRIOU                 
IMPASSE    LARRODE                    
IMPASSE    LARROZE                    
IMPASSE    LASSALLE                   
AVENUE     DU 8 MAI                   
AVENUE     LASVIGNOTTES               
IMPASSE    LASVIGNOTTES               
ALLEE      PIERRE GEORGES LATECOERE   
PASSAGE    LATUILLE                   
RUE        LAVERNIS                   
RUE        LAVIGERIE                  
RUE        DU LAVOIR DE COMPERE       
AVENUE     LEBAS                      
IMPASSE    LEBAS                      
PLACE      DE LA LIBERATION           
RUE        LISBOA                     
RUE        LISTER                     
RUE        LOEB                       
AVENUE     DE LONDRES                 
RUE        LOUIS BARTHOU              
RUE        LOUISON BOBET              
RUE        LUIS MARIANO               
RUE        LOUSTAU                    
RUE        DU LYCEE                   
CHEMIN     DE MACHELON                
RUE        DE MACHELON                
RUE        DE MADRID                  
IMPASSE    DE MADRID                  
ALLEE      DES MAGNOLIAS              
PASSAGE    MAIDER AROSTEGUY           
RUE        DE LA MAISON SUISSE        
RUE        DU MANEGE                  
RUE        MANUEL JAUDEL              
IMPASSE    DE MARBELLA                
RUE        MARCEAU                    
RUE        MARECHAL                   
AVENUE     MAL DE LATTRE DE TASSIGNY  
AVENUE     DU MAL FOCH                
IMPASSE    FOCH                       
RUE        DU MAL GALLIENI            
AVENUE     MARECHAL JOFFRE            
RUE        MARBELLA                   
BOULEVARD  MARCEL DASSAULT            
RUE        MARCEL DORET               
SQUARE     MARCEL CAMPAGNE            
AVENUE     MAL JUIN                   
BOULEVARD  DU MAL LECLERC             
RUE        MARIE HOPE VERE            
RUE        MARIE DOUCE                
AVENUE     DE LA MARNE                
RUE        MARIE DUPRAT               
RUE        MARIE HOURDIN              
RUE        DE MARION                  
ALLEE      MARIE POLITZER             
RUE        MARTIAS                    
PASSAGE    MARRON                     
AVENUE     DES MARRONNIERS            
AVENUE     DE MASSUT                  
RUE        DE MATELOTTE               
IMPASSE    MASMONTET                  
ALLEE      MAURICE RAVEL              
AVENUE     MAURICE TRUBERT            
IMPASSE    MAXIME                     
IMPASSE    DES MAYADIERS              
PASSAGE    MAZAGRAN                   
IMPASSE    MAZAGRAN                   
BOULEVARD  MAYOL DE SENILLOSA         
RUE        DE MAYSONNABE              
RUE        MAZAGRAN                   
IMPASSE    MAZON                      
VEN        MAZON                      
PARC       MAZON                      
IMPASSE    DE MAYSONNABE              
RUE        MENDI EDER                 
IMPASSE    MENDIBOURE                 
RUE        DE MERIN                   
RUE        DES MESANGES               
RUE        MICHELET                   
PASSAGE    MICHELET                   
AVENUE     DE MIGRON                  
IMPASSE    DES MIMOSAS                
CITE       DES MIMOSAS                
RUE        DE MINJONGO                
PASSAGE    DES MIMOSAS                
AVENUE     DE LA MILADY               
IMPASSE    MINERVA                    
RUE        MINERVA                    
ALLEE      DE MISSON                  
RUE        DE MISSON                  
AVENUE     MOHERNANDO                 
RUE        MONHAU                     
IMPASSE    MONNIER                    
AVENUE     DES MONTAGNES              
AVENUE     MONTJOLY                   
AVENUE     MONT LOUIS                 
RUE        MONPLAISIR                 
IMPASSE    MONT ORIENT                
IMPASSE    MONTEMAR                   
RUE        DES MOUETTES               
RUE        DU MOULIN DE CHABIAGUE     
AVENUE     DU MOULYN                  
IMPASSE    MOUNACHE                   
ALLEE      DU MOURA                   
RUE        DU MOURA                   
RUE        DE MOURISCOT               
ALLEE      DU PETIT PONT              
RUE        PIERRE MOUSSEMPES ABBE     
IMPASSE    DU MOUSSE                  
REMPART    DU MOUSSE                  
IMPASSE    PIERRE MOUSSEMPES          
IMPASSE    MUTHIL                     
ROUTE      NATIONALE 10               
IMPASSE    DE NAVARRE                 
CAR        DE LA NEGRESSE             
RUE        DE LA NEGRESSE             
BOULEVARD  DE NOTARY                  
AVENUE     NOTRE DAME                 
RUE        NUNGESSER                  
DSC        DE L OCEAN                 
RUE        DE L OCEAN                 
TERRASSE   DE L OCEAN                 
IMPASSE    OCHO CRISTOBAL             
ALLEE      OLDARRA                    
RUE        DE L OPERNE                
ALLEE      DES ORMEAUX                
RUE        O SHEA                     
ALLEE      DE L OREE DU LAC           
AVENUE     D OSSUNA                   
ALLEE      PABLO PICASSO              
RUE        DES PADOUENS               
AVENUE     DE PAILLET                 
RUE        DE LA PAIX                 
ALLEE      DE LA PALLINE              
ALLEE      DES PALMIERS               
RUE        DE PALASSIE                
ALLEE      DES PALOMBES               
ALLEE      DU DOMAINE DU PARC         
AVENUE     DU PARC BON AIR            
AVENUE     DU PARC D HIVER            
PARC       MOHERNANDO                 
AVENUE     PARC DES SPORTS            
RUE        DE PARME                   
ALLEE      DES PASSEREAUX             
AVENUE     PASTEUR                    
RUE        PAUL BERT                  
RUE        PAUL DEROULEDE             
RUE        PAUL DOUMER                
RUE        PAUL FOURQUET              
RUE        PAUL GRANGIER              
RUE        PAUL LAZARI                
IMPASSE    PAUL LAZARI                
RUE        PELLETIER                  
RUE        PELLOT                     
IMPASSE    LE PERCHOIR                
RUE        PERSPECTIVE DES BASQUES    
AVENUE     DE PESTRE                  
RUE        PETITES SOEURS DES PAUVRES 
RUE        PETRICOT                   
ALLEE      DES PEUPLIERS              
PASSAGE    PEYROLOUBILH               
IMPASSE    PEYROUTOU                  
RUE        PEYROLOUBILH               
RUE        PEYTA                      
RUE        PHILIPPE VEYRIN            
RUE        PIERRE BENOIT              
IMPASSE    PIERRE LOTI                
RUE        DU PHARE                   
AVENUE     DES PINS                   
RUE        PIERRE DARTIGUELONGUE      
RUE        ABBE PIERRE MOUSSEMPES     
AVENUE     DE PIOCHE                  
IMPASSE    PIOCHE                     
RUE        DE PITCHOT                 
DSC        PIRON                      
SQUARE     PIERRE FORSANS             
AVENUE     DE LA PLAGE                
PLACE      PIERRE PRADIER             
IMPASSE    DES PLATANES               
PLACE      DU POETE LOUIS GUILLAUME   
DSC        DU PORT                    
ALLEE      PORT DES PECHEURS          
DSC        DU PORT DES PECHEURS       
PLACE      DU PORT VIEUX              
RUE        DU PORT VIEUX              
ESPLANADE  DU PORT VIEUX              
RUE        DE LA POSTE                
IMPASSE    DES POUTCHINOTS            
RUE        DU PRADOT                  
RUE        DU PREFET DOUX             
AVENUE     DU PDT J F KENNEDY         
RUE        DES PRIMEVERES             
RUE        DU PRINCE IMPERIAL         
RUE        PRINGLE                    
BOULEVARD  DU PRINCE DE GALLES        
RUE        PROUTZE                    
PASSAGE    DES PYRENEES               
ALLEE      DES PRUNUS                 
RUE        DU REGINA                  
RUE        RAOUL FOLLEREAU            
IMPASSE    REGINALD                   
RUE        RAYMOND WEIL               
AVENUE     DE LA REINE NATHALIE       
AVENUE     DE LA REINE VICTORIA       
RUE        DU REPTOU                  
PLACE      DES RESISTANTS             
REMPART    RHIN ET DANUBE             
ALLEE      DE ROBINSON                
PASSAGE    ROSALIE                    
AVENUE     DE LA REPUBLIQUE           
RUE        DES RESERVOIRS             
RUE        DE LA RHUNE                
IMPASSE    ROLLAND                    
RUE        DE ROUSTA                  
AVENUE     DU SABAOU                  
RUE        DE ROUPILLE                
RUE        DE RUSSIE                  
RUE        SAINT CHARLES              
IMPASSE    DES SABLES                 
RUE        SAINT JEAN                 
RUE        DU SABAOU                  
RUE        SACHA GUITRY               
RUE        DU CLOS DU SABAOU          
PLACE      SAINT CHARLES              
ALLEE      SAINT MARTIN               
RUE        SAINT MARTIN               
IMPASSE    SAINT MICHEL               
PLACE      SAINTE EUGENIE             
BOULEVARD  SAINTE MADELEINE           
RUE        DE SALON                   
RUE        DE SAMPAU                  
ALLEE      SAPIEHA                    
AVENUE     SARASATE                   
IMPASSE    SARRAILH                   
RUE        SEGUNDO OLAETA             
AVENUE     DE SEGURE                  
IMPASSE    SEGURE                     
RUE        DE SEMPAU                  
AVENUE     SERRANO                    
RUE        DE SILHOUETTE              
RUE        DE SIMONNET                
RUE        SIMON ETCHEVERRY           
PLACE      SOBRADIEL                  
IMPASSE    DE SOULE                   
RUE        SULLY                      
AVENUE     DE SURPRISE                
AVENUE     DE TAMAMES                 
BOULEVARD  DES TAMARIS                
ALLEE      DES TAMARIS                
IMPASSE    TASTET                     
IMPASSE    TASTOUA                    
RUE        TASTOUA                    
BOULEVARD  TAUZIN                     
AVENUE     TEMERLAND                  
RUE        DU TEMPLE                  
PASSAGE    DES THERMES                
RUE        DES THERMES                
AVENUE     DES TILLEULS               
IMPASSE    DES TILLEULS               
AVENUE     DES TROIS COURONNES        
ALLEE      DES TROIS FONTAINES        
RUE        UHALDIA                    
RUE        DE L UNIVERSITE USA        
IMPASSE    URKIA                      
RUE        DES VAGUES                 
RUE        VALENCIA                   
SENTIER    DES VAGUES                 
VEN        DES VAGUES                 
RUE        VAUREAL                    
IMPASSE    VALENCIA                   
AVENUE     DE VERDUN                  
RUE        VERLAINE                   
DSC        VERLEINDEN                 
ALLEE      DE VERNEUILH               
RUE        VICTOR HUGO                
PASSAGE    VICTOR HUGO                
RUE        VICTOR MILLION             
ESPLANADE  DE LA VIERGE               
AVENUE     VOLTAIRE                   
IMPASSE    VOLTAIRE                   
RUE        WILLIAM JEMMET             
ALLEE      WINSTON CHURCHILL          
RUE        Y H ADEMA                  
           commune :     BIDACHE                        departement : PYRENEES ATLANTIQUES          
LIEU-DIT   ANDELUSE                   
LIEU-DIT   BACQUE                     
LIEU-DIT   BALESTE                    
LIEU-DIT   BARAT DU DUC               
LIEU-DIT   BARBE                      
LIEU-DIT   BAROUN                     
LIEU-DIT   LA BARTHE DE LACOSTE       
LIEU-DIT   LA BARTHE SOUDON           
LIEU-DIT   LA BARTHE DU PORT          
LIEU-DIT   LE BATAN                   
LIEU-DIT   BATCHALETTE                
LIEU-DIT   BELARE                     
LIEU-DIT   BELLOCQ                    
LIEU-DIT   LE BERNATA                 
LIEU-DIT   BOIS DE MIXE               
LIEU-DIT   LA BORDE DOU MECHE         
LIEU-DIT   BORDE-DARE                 
LIEU-DIT   BORDELONGUE                
LIEU-DIT   BORDENAVE                  
LIEU-DIT   MOUNAMIC                   
LIEU-DIT   BOURDEOU                   
LIEU-DIT   LE BOURG                   
LIEU-DIT   CAUMOUN                    
LIEU-DIT   CAUTERON                   
LIEU-DIT   CAZENAVE                   
LIEU-DIT   LE CHALET                  
LIEU-DIT   CHEBERSE                   
LIEU-DIT   CONSTANTINE                
LIEU-DIT   COUMENSAT                  
LIEU-DIT   COUT DU HOURT              
LIEU-DIT   COUTROUIL                  
LIEU-DIT   CRUCHAGUE                  
LIEU-DIT   ESPERVENT                  
LIEU-DIT   LES ESPIOUGAS              
LIEU-DIT   GARRAT                     
LIEU-DIT   GELOUS                     
LIEU-DIT   GRAND IRODY                
LIEU-DIT   HAGEDOT                    
LIEU-DIT   HAGET                      
LIEU-DIT   HAITCE                     
LIEU-DIT   HAYET                      
LIEU-DIT   LA HEC DU LOUP             
LIEU-DIT   HENGUETY DE HAUT           
LIEU-DIT   HENGUETY DE BAS            
LIEU-DIT   HERPIL                     
LIEU-DIT   HIGUE                      
LIEU-DIT   HIGUI                      
LIEU-DIT   HOUGA                      
LIEU-DIT   LA HOUN BLANQUE            
LIEU-DIT   HUART                      
LIEU-DIT   LE JARZIN                  
LIEU-DIT   JOUANDELAS                 
LIEU-DIT   JOUANOUBEROU               
LIEU-DIT   JOURDANE                   
LIEU-DIT   LA JOURNADE                
LIEU-DIT   LABADIOTTE                 
LIEU-DIT   LALANNE                    
LIEU-DIT   LAMAYSOU                   
LIEU-DIT   LANASSE                    
LIEU-DIT   LANIVIEILLE                
LIEU-DIT   LARCEVEAU                  
LIEU-DIT   LARRALDE                   
LIEU-DIT   LARRE                      
LIEU-DIT   LARROUDE                   
LIEU-DIT   LASCOUDERES                
LIEU-DIT   LASTAILLADES               
LIEU-DIT   LATSAGUE                   
LIEU-DIT   LOUPELAT NORD              
LIEU-DIT   LOUPELAT SUD               
LIEU-DIT   LOUSTESSE                  
LIEU-DIT   MAITE                      
LIEU-DIT   MANIOU                     
LIEU-DIT   MARIANNETTE                
LIEU-DIT   MATHURIN                   
LIEU-DIT   LE MECHE                   
LIEU-DIT   MONCHET                    
LIEU-DIT   MOULIE                     
LIEU-DIT   MOULIN DABADIE             
LIEU-DIT   MOUNANE                    
LIEU-DIT   MOUNOCHE                   
LIEU-DIT   LA MOUNTAGNE               
LIEU-DIT   MOURA                      
LIEU-DIT   NABARITS                   
LIEU-DIT   NARBOU                     
LIEU-DIT   LA NURE                    
LIEU-DIT   PARROUN                    
LIEU-DIT   PEE DE GAZA                
LIEU-DIT   LES PENTES DE SABALETTE    
LIEU-DIT   PETCHICOUNE                
LIEU-DIT   PEYROLLES                  
LIEU-DIT   PICAGORY                   
LIEU-DIT   LA PLANOTTE                
LIEU-DIT   LE PORT                    
LIEU-DIT   PORT DE CAME               
LIEU-DIT   POUCHIOU                   
LIEU-DIT   POUNTET                    
LIEU-DIT   RAGOT                      
LIEU-DIT   RANDOUBILLOU               
LIEU-DIT   LE RAP                     
LIEU-DIT   LE REY                     
LIEU-DIT   LA RIBERE                  
LIEU-DIT   LA RIBERE DU MECHE         
LIEU-DIT   SABALETTE                  
LIEU-DIT   SABALETTE DE HAUT          
LIEU-DIT   SAINT JEAN                 
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   SALABERRY                  
LIEU-DIT   SANGLAR                    
LIEU-DIT   SARCOU                     
LIEU-DIT   SARRITTE                   
LIEU-DIT   SARROT                     
LIEU-DIT   SOUDON                     
LIEU-DIT   TAMBAOU                    
LIEU-DIT   LE THYS                    
LIEU-DIT   UHALDE                     
LIEU-DIT   USANITS                    
LIEU-DIT   VIEUX CREMENDY             
LIEU-DIT   BOIS DE MIXTE              
LIEU-DIT   LE BOURG OUEST             
RUELLE     AGRICOLE PERRET            
CHEMIN     DES ARTIGUES               
CHEMIN     DE BALESTE                 
CHEMIN     DU BARAT DU DUC            
CHEMIN     DE BARBE                   
CHEMIN     DE BIDAU                   
ROUTE      DE BARDOS                  
ALLEE      BAROUN                     
PASSAGE    BARTHE                     
CHEMIN     DE LA BARTHE DU PORT       
CHEMIN     DES BARTHES DE LACOSTE     
CHEMIN     DE BATCHALETTE             
CHEMIN     DE BELARE                  
CHEMIN     DE BELLOCQ                 
CHEMIN     DE BERDIC                  
RUELLE     DE BIDAME                  
CHEMIN     DU CIMETIERE               
CHEMIN     DE LA BIDOUZE              
ROUTE      DU BOIS DE MIXE            
CHEMIN     DE BORDE CAUMON            
CHEMIN     DE BORDE DABAN             
CHEMIN     DE BORDELONGUE             
CHEMIN     DE BORDENAVE               
CHEMIN     DE BURGUES                 
CHEMIN     DE CAMBOT                  
ROUTE      DE CAME                    
CHEMIN     CARRERE DOUS CAPERANS      
CHEMIN     DU CAPOUN                  
CHEMIN     DE CARRERE                 
CHEMIN     DE CASTAGNET               
CHEMIN     DE CAUTEROUN               
CHEMIN     DE CAZENAVE                
CHEMIN     DU CHALET                  
CHEMIN     DE CHALOSSE                
CHEMIN     DES CHAMPS                 
IMPASSE    DU CHATEAU D'EAU           
CHEMIN     DE CHEVERSE                
CHEMIN     DE CHRISTOPHE              
CHEMIN     DE CONSTANTINE             
ALLEE      CORISANDE                  
CHEMIN     DE COUMENCAT               
CHEMIN     DU COUT DU HOURT           
CHEMIN     DE COUTROUIL               
CHEMIN     DE CREMENDY                
CHEMIN     DE DINOT BAS               
PASSAGE    DOMAIN                     
CHEMIN     DES ECOLES DU BATAN        
CHEMIN     DE L EGLISE                
CHEMIN     DE LA FERRERIE             
PLACE      DU FOIRAIL                 
RUE        DE LA FONTAINE             
CHEMIN     DE FRANCE                  
PLACE      DU FRONTON                 
CHEMIN     DE GARAT                   
CHEMIN     DE GELOUS                  
ALLEE      DE GRAMONT                 
CHEMIN     DE GRAND IRODY             
CHEMIN     DU GRAND MANIOU            
ROUTE      DE GUICHE                  
CHEMIN     DE HAGEDOT                 
CHEMIN     DE HAITCE                  
CHEMIN     DU HALAGE DE CHAMPIN       
CHEMIN     DU HALAGE DE SOUDON        
RUE        HENRI IV                   
CHEMIN     DE HERPIL                  
CHEMIN     DE HIGUE                   
CHEMIN     HINGUETY                   
CHEMIN     DE HOUGA                   
CHEMIN     D'HUART                    
RUE        DES JARDINS                
RUELLE     JOUANICOU                  
CHEMIN     DE JOUANOUBEROU            
CHEMIN     DE LA JOURNADE             
CHEMIN     DE LA BORDE DU MECH        
CHEMIN     DE LA GRABE                
CHEMIN     DE LABADIOTTE              
CHEMIN     DE LABOUR                  
CHEMIN     DU LAC                     
CHEMIN     LACOUME                    
CHEMIN     DE LAGOUARDE               
CHEMIN     DE LAMAYSOUN               
CHEMIN     DE LANASSE                 
CHEMIN     DE LANNEVIELLE             
CHEMIN     LARRIU                     
CHEMIN     DE LARROUDE                
CHEMIN     DE LASCOUDERES             
CHEMIN     DE LATEOULERE DE BAS       
CHEMIN     DE LATXAGUE                
ALLEE      DU LAVOIR                  
CHEMIN     DE LESBERLINGUES           
CHEMIN     DU LIHOURY                 
CHEMIN     DE LOGNES                  
RUELLE     LOUIS AGRICOLE PERRET      
CHEMIN     DE LOUSTESSE               
CHEMIN     DE MAILLOS                 
CHEMIN     DE MARTINON                
CHEMIN     DE MATHURIN                
CHEMIN     DE MAYSOUNAVE              
CHEMIN     DE MENINE                  
CHEMIN     DE MIHORE                  
CHEMIN     DE MINA                    
CHEMIN     DU MOULIN DABBADIE         
CHEMIN     DU MOULIN DE GRAMONT       
PLACE      DE LA MAIRIE               
CHEMIN     DU MOULIN DE ROBY          
CHEMIN     DE MOUNAMIC                
CHEMIN     DE MOUNANE                 
CHEMIN     DE MOUNDINE                
CHEMIN     DE MOUNOU                  
CHEMIN     DE LA MOUNTAGNE            
CHEMIN     DE MOURA                   
CHEMIN     DE NABARITS                
RUE        D'OLIBAS                   
ALLEE      DU PARC DES SPORTS         
CHEMIN     DE PARROUN                 
CHEMIN     DE PEE DE GAZA             
CHEMIN     DE PETCHICOUNE             
CHEMIN     DU PETIT MANIOU            
CHEMIN     DES PEUPLIERS              
CHEMIN     DE PEYROLLES               
CHEMIN     DE PHATARENA               
CHEMIN     DE PICAGORRY               
COTE       DU PILORI                  
CHEMIN     DU PONT DE HAYET           
RUE        PRINCIPALE                 
CHEMIN     DU PONT DU LABOUR          
CHEMIN     DU PONT DE LARCEVEAU       
