20151101
68         HAUT RHIN                     
RUE        PRINCIPALE                 
RUE        SAINT SYLVESTRE            
RUE        SAINTE BARBE               
RUE        DES SAPINS                 
RUE        DES SORBIERS               
RUE        DE SUARCE                  
RUE        DU TILLEUL                 
RUE        DE LA VALLEE               
RUE        DU VERGER                  
RUE        DU 24 NOVEMBRE             
           commune :     ALTKIRCH                       departement : HAUT RHIN                     
LOT        LES BOSQUETS               
LOT        PANORAMA                   
RESIDENCE  ILLBERG                    
LIEU-DIT   AM ILLFURTER WEG           
LIEU-DIT   AM STEINGRUBENWEG          
LIEU-DIT   AM TOTENWEG                
LIEU-DIT   AUF DEM WALHEIMER HOELZLE  
LIEU-DIT   BADACKER                   
LIEU-DIT   BEI DER ST MORANDS KAPELLE 
LIEU-DIT   BEIM WALHEIMER HOELZLE     
LIEU-DIT   BRENDEGAESSCHEN            
LIEU-DIT   BRITTINGEN                 
LIEU-DIT   BRUCKLENMATT               
LIEU-DIT   BUCHWEG UND HIRTZBACHERWEG 
LIEU-DIT   BURGERWALD                 
LIEU-DIT   CAYOTMATTEN                
LIEU-DIT   ERLENFELD                  
LIEU-DIT   ERLENWALD                  
LIEU-DIT   FICHTENHOELZLE             
LIEU-DIT   GALGENRAIN                 
LIEU-DIT   GIESSEN                    
LIEU-DIT   GRAFENLAENDER              
LIEU-DIT   GROSSBODEN                 
LIEU-DIT   HALSWEG                    
LIEU-DIT   HALSWEG LINKS              
LIEU-DIT   HALSWEG RECHTS             
LIEU-DIT   HALSWEG UND HIRTZBACHERWEG 
LIEU-DIT   HANNESFELD                 
LIEU-DIT   HIRSINGERWEG               
LIEU-DIT   HIRSINGERSTRASSE UND BUCHW 
LIEU-DIT   HIRZBACHER ZEHNTE          
LIEU-DIT   HOHRAIN                    
LIEU-DIT   ILLBERG                    
LIEU-DIT   INSEL                      
LIEU-DIT   INSELMATT                  
LIEU-DIT   KIRCHMATTEN                
LIEU-DIT   KLOSTERWALD                
LIEU-DIT   LANGE STRAENG              
LIEU-DIT   LIGNE DE PARIS A BALE      
LIEU-DIT   NEUE MATTEN                
LIEU-DIT   NIEDERE STEINE             
LIEU-DIT   OBEN AM REBBERG            
LIEU-DIT   OBEN AM WALHEIMER HOELZLE  
LIEU-DIT   OBERE AU                   
LIEU-DIT   OBERE MUEHLENMATTEN        
LIEU-DIT   PFIRTMATTE                 
LIEU-DIT   RAMSTEIN                   
LIEU-DIT   REBBERG                    
LIEU-DIT   ROGGENBERG                 
LIEU-DIT   ROSGARTENFELD              
LIEU-DIT   SCHINDACKER                
LIEU-DIT   SCHLOSSMATTEN              
LIEU-DIT   SCHWEIGHOF                 
LIEU-DIT   SCHWERTZIG                 
LIEU-DIT   ST MORAND                  
LIEU-DIT   STEINGRUBE                 
LIEU-DIT   TEICHMATTEN                
LIEU-DIT   UNTEN AM KLOSTERWALD       
LIEU-DIT   WALDBRUDER                 
LIEU-DIT   WALHEIMER AU               
LIEU-DIT   WALHEIMER HOELZLE          
LIEU-DIT   WITTERSDORFER AU           
LIEU-DIT   ZWISCHEN DEN STEINGRUBENWE 
LIEU-DIT   ZWISCHEN TEICHELGASSE      
LIEU-DIT   WOLFSGRABEN                
LIEU-DIT   ALTER GALGENBODEN          
LIEU-DIT   OBERE STEINE               
LIEU-DIT   STOCKETEN                  
LIEU-DIT   DANNECK                    
LIEU-DIT   SPITZACKER                 
LIEU-DIT   RPT COMBATTANTS AFRIQUE NO 
RUE        ALAIN GILVIC               
RUE        ALFRED JEDELE              
RUE        DES ALLIES                 
RUE        DES ALPES                  
CHEMIN     D ASPACH                   
RUE        DES AULNES                 
FG         DE BELFORT                 
FG         DE BELFORT CITE SCHROTH    
RUE        BELLEVUE                   
RUE        DU BIRKENHOF               
RUE        DU BOIS JOLI               
RUE        DES BONS ENFANTS           
RUE        DES BOSQUETS               
RUE        DU SOUVENIR FRANCAIS       
RUE        DES BOULANGERS             
RUE        DE BRITTINGEN              
RUE        BRULEE                     
CHEMIN     DES CARRIERES              
ROUTE      DE CARSPACH                
RUE        CHANTEMERLE                
RUE        DES CASERNES               
RUE        DES CHAMPS                 
RUE        CHARLES DE GAULLE          
RUE        DU CHAR ST QUENTIN         
RUE        CHARLES EDOUARD AMIOT      
RUE        DU CHATEAU                 
REMPART    COMBATTANTS AFRIQUE NORD   
CHEMIN     DES CIMETIERES             
RUE        DE LA COMBE AUX LOUPS      
RUE        DES COTEAUX                
RUE        DE LA CURE                 
RUE        JEAN PAUL DE DADELSEN      
RUE        DU 2E CUIRASSIERS          
RUE        DU DOCTEUR FEUERBACH       
RUE        DES ECOLES                 
CHEMIN     DES ECUREUILS              
RUE        DES ETANGS                 
RUE        DE FERRETTE                
RUE        DES FLEURS                 
RUE        DE LA FORET                
RUE        DE FRANCE                  
RUE        DE LA GARE                 
           GARE AUX MARCHANDISES      
BOULEVARD  GEORGES CLEMENCEAU         
RUE        GILARDONI                  
RUE        DE GIVET                   
RUE        EUGENE  GUILLEVIC          
PLACE      GOUTZWILLER                
RUE        LES HAUTS DE L'ILLBERG     
CHEMIN     DE HEIDWILLER              
RUE        HEINRICH EILER             
RUE        HENRI DUNANT               
RUE        MAURICE HIGELIN            
CHEMIN     DE HIRTZBACH               
RUE        HOMMAIRE DE HELL           
RUE        DE L HOTEL DE VILLE        
AVENUE     DU 8EME REG DE HUSSARDS    
AVENUE     DU 8E REGIMENT DE HUSSARDS 
RUE        DE L ILL                   
RUE        DE L ILLBERG               
RUE        DES JARDINS                
RUE        J B HANNES                 
RUE        J J HENNER                 
RUE        DU JURA                    
RUE        LEON LEHMANN               
RUE        DE LE THOR                 
RUE        DU MANEGE                  
RUELLE     DU MARCHE                  
AVENUE     MAL FOCH                   
RUE        DE LA MARNE                
RUE        DU MOULIN                  
FG         DE MULHOUSE                
ROUTE      DE MULHOUSE                
RUE        NATHAN KATZ                
RUE        DES OLIVIERS               
RUE        PAUL STINZI                
RUE        PIERRE DE COUBERTIN        
RUE        DES PERES BLANCS           
IMPASSE    PLEIN SOLEIL               
AVENUE     POINCARE                   
RUE        DES PRES                   
RUE        DU PRINTEMPS               
RUE        DES PYRENEES               
RUE        DE REIMS                   
RUE        DES REMPARTS               
PLACE      DE LA REPUBLIQUE           
ALLEE      DU RESERVOIR               
RUE        DU RESERVOIR               
PLACE      DE LA REUNION              
RUE        DU ROGGENBERG              
RUE        DE LA ROSELIERE            
RUE        DU SAEGENBERG              
RUE        SAINTE BARBE               
RUE        SAINT GEORGES              
RUE        DE SAINT MORAND            
RUE        DE SAN DANIELE             
RUE        DES SAULES                 
           SCHWEIGHOF                 
RUE        DU 7 AOUT                  
RUE        SOURCES                    
RUE        DU SOUVENIR FRANCAIS       
ROUTE      DE THANN                   
ROUTE      DE THANN CITE DES CADRES   
RUELLE     DES TILLEULS               
RUE        TRAVERSIERE                
RUE        DU 3E ZOUAVES              
PLACE      DES TROIS ROIS             
RUE        DES TROIS ROIS             
RUE        DES VALLONS                
RUE        DE VERDUN                  
RUE        DES VERGERS                
RUE        DE LA VIEILLE PORTE        
RUE        DU  VIGNOBLE               
RUE        DU 21 NOVEMBRE             
RUE        CHARLES VOEGELE            
RUE        DES VOSGES                 
PLACE      X JOURDAIN                 
           ZONE INDUSTRIELLE          
           ZONE INDUSTRIELLE NORD     
RUE        VICTOIRE                   
           commune :     AMMERSCHWIHR                   departement : HAUT RHIN                     
LIEU-DIT   AM ROTEN RAIN              
LIEU-DIT   AU                         
LIEU-DIT   AUFELD                     
LIEU-DIT   BADSTUB                    
LIEU-DIT   BENZEN                     
LIEU-DIT   BIRGELE                    
LIEU-DIT   BIRGELE                    
LIEU-DIT   BORNTAL                    
LIEU-DIT   BRENNHUETTLE               
LIEU-DIT   BRUDERHAUS                 
LIEU-DIT   BRUEHL                     
LIEU-DIT   BUCKENBAUM                 
LIEU-DIT   BIRKENTAL                  
LIEU-DIT   DAUBAECHLEN                
LIEU-DIT   DONNERGAESSLE              
LIEU-DIT   DREIAEHRENTALMATTEN        
LIEU-DIT   ERLENBRUNN                 
LIEU-DIT   ESELWEG                    
LIEU-DIT   FRAUENGUT                  
LIEU-DIT   FRAUENKOPF                 
LIEU-DIT   FROEHN                     
LIEU-DIT   GALGEN                     
LIEU-DIT   GALTZ                      
LIEU-DIT   GRIES                      
LIEU-DIT   HAHNEN                     
LIEU-DIT   HAPPEL                     
LIEU-DIT   HASENGRAB                  
LIEU-DIT   HAULGART                   
LIEU-DIT   HEBSACK                    
LIEU-DIT   HENN                       
LIEU-DIT   HERRWEG                    
LIEU-DIT   HINTERKIRCH                
LIEU-DIT   HISSLENBECK                
LIEU-DIT   HOCHSTADEN                 
LIEU-DIT   HOCHSTADENREBEN            
LIEU-DIT   HOERNLE                    
LIEU-DIT   HOLDERBAUM                 
LIEU-DIT   IM HUEBLE                  
LIEU-DIT   IM SCHLOSS                 
LIEU-DIT   KAEFFERKOPF                
LIEU-DIT   KARRWEG                    
LIEU-DIT   KATZELBERG                 
LIEU-DIT   KATZENSTEGEL               
LIEU-DIT   KERKER                     
LIEU-DIT   KIESLING                   
LIEU-DIT   KLEINFELD                  
LIEU-DIT   KLOTZEN                    
LIEU-DIT   KOESLING                   
LIEU-DIT   KRETTENRUECK               
LIEU-DIT   KREUZWEG                   
LIEU-DIT   KUEHLGART                  
LIEU-DIT   KURZGELAEND                
LIEU-DIT   LANGACKER                  
LIEU-DIT   LANGACKERMATTEN            
LIEU-DIT   LANGHEIZ                   
LIEU-DIT   LEMISTER                   
LIEU-DIT   MANDELBAUM                 
LIEU-DIT   MATTREBEN                  
LIEU-DIT   MEYWIHR                    
LIEU-DIT   MEYWIHRWEG                 
LIEU-DIT   MUEHLFELD                  
LIEU-DIT   MUEHLMATTEN                
LIEU-DIT   MUERLACH                   
LIEU-DIT   NAECHSTAL                  
LIEU-DIT   NEUMATTEN                  
LIEU-DIT   NEUTAL                     
LIEU-DIT   NEUTALWALD                 
LIEU-DIT   NEUWEG                     
LIEU-DIT   OBER HINTERKIRCH           
LIEU-DIT   OBERER GALGEN              
LIEU-DIT   OBERER HOCHSTADEN          
LIEU-DIT   OBERER SAND                
LIEU-DIT   OBERER WINKEL              
LIEU-DIT   OBERKAPPELFELD             
LIEU-DIT   OHWEG                      
LIEU-DIT   PFULBEN                    
LIEU-DIT   PILGERSTOECKLE             
LIEU-DIT   PLON                       
LIEU-DIT   PREDIGER                   
LIEU-DIT   PROBSTGART                 
LIEU-DIT   PURBERG                    
LIEU-DIT   PURBERGTAL                 
LIEU-DIT   QUETSCHEN                  
LIEU-DIT   RADBRUNNEN                 
LIEU-DIT   RINKEN                     
LIEU-DIT   RITSCH                     
LIEU-DIT   ROHRTAL                    
LIEU-DIT   RUMERSTAL                  
LIEU-DIT   RUNZ                       
LIEU-DIT   SAND                       
LIEU-DIT   SANDBACH                   
LIEU-DIT   SCHLIFF                    
LIEU-DIT   SCHOENBAEUMLEN             
LIEU-DIT   SITTWEG                    
LIEU-DIT   SOMMERBERG                 
LIEU-DIT   SOOT                       
LIEU-DIT   STEINBRUECKLEN             
LIEU-DIT   STEINMAUER                 
