20151101
16         CHARENTE                      
LIEU-DIT   PIECE DE LA FONTAINE       
LIEU-DIT   PIECE DE LA FORET          
LIEU-DIT   PIECE DE LA PLANTE         
LIEU-DIT   PIECE DE MONTENAT          
LIEU-DIT   PIECE DE NEGRE VERGNE      
LIEU-DIT   PIECE DES LEVEES           
LIEU-DIT   PIECE DU MOULIN DE SERRE   
LIEU-DIT   PIECE DU RECLOUS           
LIEU-DIT   PIECE DU SERAIL            
LIEU-DIT   PIECES DE BOURNAZEAUX      
LIEU-DIT   PIECES DES PIERRES BLANCHE 
LIEU-DIT   LES PIERRES BLANCHES       
LIEU-DIT   LES PLANCHES               
LIEU-DIT   LA PLANTE                  
LIEU-DIT   LES PLANTES                
LIEU-DIT   LE PLASSAT                 
LIEU-DIT   LES PRADEAUX               
LIEU-DIT   PRE BONNA                  
LIEU-DIT   PRE CURAUD                 
LIEU-DIT   PRE DE CHEZ PILLOU         
LIEU-DIT   PRE DE LA BARDE            
LIEU-DIT   PRE DE LA BOURGOGNE        
LIEU-DIT   PRE DE LA FONTAINE         
LIEU-DIT   PRE DE LA ROUYERE          
LIEU-DIT   PRE DE LA VERGNE           
LIEU-DIT   PRE DE VERNET              
LIEU-DIT   PRE DES BESSES             
LIEU-DIT   PRE DES QUARTS             
LIEU-DIT   PRE DU POIRIER             
LIEU-DIT   PRE GILLET                 
LIEU-DIT   PRE LONG                   
LIEU-DIT   PRE MESLIAUD               
LIEU-DIT   PRES NOUVAUX               
LIEU-DIT   LE PROMENTAUX              
LIEU-DIT   LE PUYROY                  
LIEU-DIT   LE QUEROY                  
LIEU-DIT   RIVES DE L ETANG           
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LES ROCHILLONS             
LIEU-DIT   LA ROUYERE                 
LIEU-DIT   LE SERAIL                  
LIEU-DIT   LES SUZEAUX                
LIEU-DIT   LES TAILLIS                
LIEU-DIT   LE TERME                   
LIEU-DIT   TERRE DE BARIS             
LIEU-DIT   TERRE DE BREBIS            
LIEU-DIT   TERRES DE BOUERAT          
LIEU-DIT   TERRES DE CHARDAT          
LIEU-DIT   TERRES DE JOUANNAUD        
LIEU-DIT   LES TERRIERS               
LIEU-DIT   LES TOUCHES                
LIEU-DIT   LA TRAMBLADE               
LIEU-DIT   LA TRAMBLEE                
LIEU-DIT   LES TREILLES               
LIEU-DIT   LES VERGNASSES             
LIEU-DIT   LA VERGNE                  
LIEU-DIT   VERNET                     
LIEU-DIT   LES VICAIRES               
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LES VIGNES BLANCHES        
LIEU-DIT   VIGNES DE LA BEZOCHERIE    
LIEU-DIT   VIGNES DE VERNET           
LIEU-DIT   VIGNES DU BOIS             
LIEU-DIT   VIGNES DU RECLOUS          
LIEU-DIT   LA BLANCHAUDIE             
LIEU-DIT   RERAT                      
LIEU-DIT   BEAU SITE                  
LIEU-DIT   BOUERAT                    
LIEU-DIT   CHAUMONT                   
LIEU-DIT   FAYOLLE                    
LIEU-DIT   LE FOURNIOU                
LIEU-DIT   MONETTE                    
LIEU-DIT   MONTENAT                   
LIEU-DIT   LE PETIT MOULIN            
LIEU-DIT   LE POIRIER                 
LIEU-DIT   SERRE                      
ROUTE      DEPARTEMENTALE NO 729      
IMPASSE    DE L'ANCIEN CANAL          
RUE        DE LA BABUE                
ROUTE      DES BROUES                 
ROUTE      DU CHATEAU                 
PLACE      DE L'EGLISE                
ROUTE      DES FONTAINES SALEES       
ROUTE      DES HALLES                 
IMPASSE    DES IRIS                   
ROUTE      DES LAVANDIERES            
PLACE      MORICE LIPSI               
RUE        DE LA POMPE                
ROUTE      DE LA PRADE                
IMPASSE    DES ROSIERS                
RUE        DES SABOTIERS              
RUE        DE LA SOURCE               
ROUTE      DES TUILERIES              
ROUTE      DU VIEUX FOUR              
PLACE      DU VIEUX PEUPLIER          
ROUTE      DES VIGNES                 
           commune :     LES ADJOTS                     departement : CHARENTE                      
LIEU-DIT   LES BALAIS                 
LIEU-DIT   LES BANCHERAUX             
LIEU-DIT   LA BATARDERIE              
LIEU-DIT   LA BAUCHE                  
LIEU-DIT   LES BOIS BRICAUDS          
LIEU-DIT   BOIS DE BELLE FLEUR        
LIEU-DIT   LES BOIS DE LA COUR        
LIEU-DIT   LES BOIS DE LA PORTERIE    
LIEU-DIT   LE BOIS DE LA RONDE        
