20151101
976         MAYOTTE                       
RUELLE     ISSOUFI - HANDREMA         
RUE        MANGA M'KAKASSI            
RUE        RAMA KARI                  
RUE        MRONI KAWENI               
RUELLE     KITOULOULOUNI              
RUE        KOUROUGNATSOU              
IMPASSE    BAKARI KOUSSOU             
RUELLE     M'LAMANGA                  
RUELLE     LEBO - HANDREMA            
RUELLE     LEGOUVE - HANDREMA         
RUELLE     M'LIMANI                   
RUELLE     MABARAZA                   
CHEMIN     DE L ECOLE MATERNELLE - DA 
RUELLE     MABONBON                   
RUE        BE MADI                    
RUELLE     MADJIDI                    
RUE        MADJINDA                   
RUE        MAEVANTANA                 
RUE        MAFOUMBOUNI                
RUE        MAHAFIDHOU                 
RUELLE     MAHAVITA                   
RUE        MAHIZYO                    
RUELLE     MAIMOUNE                   
RUE        MAINOUZOU                  
ESPLANADE  M FRANPEJOU - DARANI       
CHEMIN     FOLOCOTSONI - DAPANI       
RUELLE     DE LA MAIRIE               
RUE        DE LA MAISON               
RUELLE     MALBORO - HANDREMA         
RUE        MAJINBINI                  
RUELLE     CHANFI MALIDI              
RUELLE     MAMIRADJI - HANDREMA       
RUE        MAMSIMA                    
PLACE      MANDELA                    
RUELLE     MANMADI - HANDREMA         
RUELLE     MANSOIBOU                  
RUELLE     MARAHABA                   
RUELLE     ZAMAI MARI                 
RUELLE     MASOIFOU                   
IMPASSE    MATRA                      
RUELLE     MAVOUNA                    
RUELLE     MAYELE - HANDREMA          
RUELLE     MAZALI                     
RUE        ZAINA M DERI               
RUE        MDJANGA                    
RUE        MDOIHOMA                   
RUE        MERESSE                    
IMPASSE    MGUERESA - DZOUMOGNE       
AVENUE     FRANCOIS MITTERRAND        
RUELLE     MLAMANGA - DZOUMOGNE       
RUELLE     MOIMOILE                   
RUELLE     MOSQUEE                    
RUE        ANKABATI MOUSSA            
RUELLE     MTSAPOUA -VILL BANDRABOUA  
RUELLE     MTSODOJOU                  
RUELLE     MTSOPOJOU -VILL BANDRABOUA 
RUE        DAHALANI MZE               
RUELLE     OILI MOILIME MZE           
RUELLE     M'NANASSIJOU               
RUELLE     NANOU                      
RUELLE     MRO WA NGALABE             
CHEMIN     MRO WA GNOMBE              
RUELLE     MADI OILI                  
RUELLE     OUCHONA                    
RUELLE     COCO OUSSENI               
RUELLE     DJOUMOI OUSSENI            
RUELLE     PAHE                       
RUELLE     PAHOUENI                   
RUELLE     PAOLO                      
RUELLE     PAPADJO                    
RUE        PONT                       
RUELLE     POTELEYA                   
RUELLE     POUNOUNGUI                 
RUE        PPF                        
RUE        DE LA PREFECTURE           
RUE        RABA                       
RUELLE     RACHIDI                    
RUELLE     BABA RAMA                  
RUE        DE REA                     
RUE        RFO                        
RUE        ABASSE SAID                
