20151101
69         RHONE                         
LIEU-DIT   LA ROCHELLE                
PLACE      DE L EGLISE                
RUE        DU LOTISSEMENT             
IMPASSE    DES ACACIAS                
RUE        AYME CHALUS                
CHEMIN     DES BARRIERES              
IMPASSE    DU BOIS DES NOYERS         
ROUTE      DES BRUYERES               
IMPASSE    DES BRUYERES               
CHEMIN     DES CABANES                
MTE        DU CARDINAL FESCH          
PLACE      DES CHANOINESSES           
CHEMIN     DES CHARMILLES             
ROUTE      DU CHATEAU DE MARZE        
IMPASSE    DU CLOS                    
CHEMIN     DU CLOS DES LIESSES        
ROUTE      DE LA COLLINE              
IMPASSE    DES COMBES                 
CHEMIN     DES DAMES DE LA ROUE       
CHEMIN     DES ECOLIERS               
RUE        DE L EGLISE                
RUE        DES ERABLES                
IMPASSE    DU FOUR BANAL              
CHEMIN     DU FOURNEL                 
IMPASSE    DE LA FRATERNITE           
CHEMIN     DU FROMENTAL               
ROUTE      DU GARRET                  
ALLEE      DES GLYCINES               
MTE        DES GUILLAUMES             
PLACE      DE L HOPITAL               
ALLEE      DES IRIS                   
IMPASSE    LACENAIRE                  
IMPASSE    DU LAVOIR                  
PLACE      DE LA MAIRIE               
CHEMIN     DE LA METRAT               
IMPASSE    NICOLE DE CRESSIA          
ALLEE      DES NOISETIERS             
MTE        DU PERROUX                 
CHEMIN     DU PETIT BOIS              
ROUTE      DU PONCELIN                
MTE        DU PONTET                  
CHEMIN     DU PRE ROND                
ROUTE      DE LA ROCHELLE             
CHEMIN     DES SEIGLIERES             
CHEMIN     DES SOUCHES                
CHEMIN     DU SOUVENIR FRANCAIS       
ROUTE      DES TROTTIERES             
PLACE      DE LA VIERGE NOIRE         
CHEMIN     DU VIEUX MOULIN            
CHEMIN     DES VIGNES                 
ROUTE      DE VILLEFRANCHE            
           commune :     AMBERIEUX                      departement : RHONE                         
LIEU-DIT   LES AVOINERIES             
LIEU-DIT   LES BOTTIERES              
LIEU-DIT   LE BOURG                   
LIEU-DIT   BOUTOLLARDES               
LIEU-DIT   LES CACHETTES              
LIEU-DIT   LES CREUX                  
LIEU-DIT   LES FIOUTES                
LIEU-DIT   LA FOUGERE                 
LIEU-DIT   LE GACOPIN                 
LIEU-DIT   LA GRANDE BORDIERE         
LIEU-DIT   GRANDS CHENEVRIERS         
LIEU-DIT   LES GRAVIERES              
LIEU-DIT   LES ILES                   
LIEU-DIT   LA PETITE BORDIERE         
LIEU-DIT   LE PILON                   
LIEU-DIT   LES PLANTIERES             
LIEU-DIT   PONT DE MONTLUEL           
LIEU-DIT   PRE COUZON                 
LIEU-DIT   PRE DE LA CHAINE           
LIEU-DIT   PRE GUDET                  
LIEU-DIT   PRE LA CHAINE              
LIEU-DIT   LES RABLIERES              
LIEU-DIT   LES RONTAIS                
LIEU-DIT   LA ROTANIERE               
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   LA SARANDIERE              
LIEU-DIT   SAUZAY CARRA               
LIEU-DIT   LA SOUCHE                  
LIEU-DIT   VERS LE MOULIN             
LIEU-DIT   LE VORLY                   
ROUTE      D ANSE                     
RUE        DE LA BARMONDIERE          
CHEMIN     CHEMIN DE LA BORDIERE      
IMPASSE    DUCHEMIN                   
RUE        CORNET                     
RUE        DES CREUX                  
RUE        DU CLOS DE LA CURE         
RUE        DE L EGLISE                
PLACE      DU FOUR A PAIN             
ROUTE      DE LYON                    
RUE        DE LA MAIRIE               
RUE        MARIO ET MONIQUE PIANI     
IMPASSE    IMPASSE DU MOULIN          
RUE        DU PILON                   
RUE        DES PLANTIERES             
RUE        SAINT HUBERT               
RUE        DU SOPHORA                 
RUE        DU STADE                   
RUE        DES TULIPIERS              
RUE        DU VAUZEL                  
IMPASSE    DU VIEUX CHENE             
RUE        DU VIEUX CHENE             
           commune :     AMPLEPUIS                      departement : RHONE                         
LIEU-DIT   LES ALLOUETS               
LIEU-DIT   BAGATELLE                  
LIEU-DIT   BALIGAGE                   
LIEU-DIT   BARBERET                   
LIEU-DIT   LA BARONNIE                
LIEU-DIT   BAS DE CHARIVET            
LIEU-DIT   BAS DE RANCON              
LIEU-DIT   LE BECY                    
LIEU-DIT   BERCHAUTIERE               
LIEU-DIT   BERCHOUX                   
LIEU-DIT   BERLAND                    
LIEU-DIT   BERNISSE                   
LIEU-DIT   BISSACHERE                 
LIEU-DIT   BOIS CHALLON               
LIEU-DIT   BOIS DE LA FAY             
LIEU-DIT   BOIS DE RUIRE              
