20151101
85         VENDEE                        
LIEU-DIT   LA CHARLIERE               
LIEU-DIT   LA CHAUVETIERE             
LIEU-DIT   LE CHENE VERT              
LIEU-DIT   LE CORMIER                 
LIEU-DIT   LA COUSSAIE                
LIEU-DIT   LA COUSSAIE D EN HAUT      
LIEU-DIT   CREVE SOURIS               
LIEU-DIT   LA CULASSE                 
LIEU-DIT   LA DAVILLIERE              
LIEU-DIT   LES DEMERIES               
LIEU-DIT   LES DOITEES                
LIEU-DIT   LA DUPTIERE                
LIEU-DIT   L ESPERANCE                
LIEU-DIT   LE FIEF ROUGE              
LIEU-DIT   LA FILATOIRE               
LIEU-DIT   LA FILLONNIERE             
LIEU-DIT   LA FLORENTINE              
LIEU-DIT   LES FORGES                 
LIEU-DIT   LA FRICHONNIERE            
LIEU-DIT   LA GACHE                   
LIEU-DIT   LA GASTIERE                
LIEU-DIT   LA GATELIERE               
LIEU-DIT   LA GETIERE                 
LIEU-DIT   LE GRAND FIEF              
LIEU-DIT   GRAND FIEF DU RONDAIS      
LIEU-DIT   LES GRANDES NOULLIERES     
LIEU-DIT   LA GREVE                   
LIEU-DIT   LA GUEDONNIERE             
LIEU-DIT   LA GUERINIERE              
LIEU-DIT   LA GUITELIERE              
LIEU-DIT   L IMBRETIERE               
LIEU-DIT   LE JAUNAY                  
LIEU-DIT   LA JOUBRETIERE             
LIEU-DIT   LE LOGIS                   
LIEU-DIT   LA LOUISIANE               
LIEU-DIT   LA MAISON NEUVE            
LIEU-DIT   LA MARGUERITE              
LIEU-DIT   MONTE A PEINE              
LIEU-DIT   MOULIN NEUF                
LIEU-DIT   LA NOUE BROT               
LIEU-DIT   L OLIVIER                  
LIEU-DIT   LA PARTIERE                
LIEU-DIT   LA PEINERIE                
LIEU-DIT   LE PETIT BOIS              
LIEU-DIT   LE PETIT FIEF              
LIEU-DIT   PETIT FIEF DU RONDAIS      
LIEU-DIT   LA PETITE BOISSONNIERE     
LIEU-DIT   LA PETITE PEINERIE         
LIEU-DIT   LES PETITES NOULLIERES     
LIEU-DIT   PLAISANCE                  
LIEU-DIT   LE PLESSIS                 
LIEU-DIT   LA POINTE DU PRIOTE        
LIEU-DIT   LE PONT DE LA CHAIZE       
LIEU-DIT   LE PRIOTE                  
LIEU-DIT   LES PRIOTEES               
LIEU-DIT   PUITS DU CREUX             
LIEU-DIT   LE QUAIRE                  
LIEU-DIT   LA RIMBAUDIERE             
LIEU-DIT   LA ROCHE BLANCHET          
LIEU-DIT   LES ROCHELLES              
LIEU-DIT   LA ROSIERE                 
LIEU-DIT   LA ROULIERE                
LIEU-DIT   LA RUCHAUDIERE             
LIEU-DIT   SAINT CHARLES              
LIEU-DIT   SAINT GEORGES              
LIEU-DIT   SAINT GREGOIRE             
LIEU-DIT   SAINT JOSEPH               
LIEU-DIT   SAINT LAURENT              
LIEU-DIT   SAINTE ANGELINE            
LIEU-DIT   SAINTE ANGELINE            
LIEU-DIT   SAINTE ELISABETH           
LIEU-DIT   SAINTE HELENE              
LIEU-DIT   SAINTE HENRIETTE           
LIEU-DIT   SAINTE JEANNE              
