20151101
65         HAUTES PYRENEES               
CHEMIN     DU LAVOIR                  
CHEMIN     DU PIBESTE                 
RUE        DE PORTEOURAT              
RUE        DE POUME                   
CHEMIN     DU SAILLET                 
RUE        SEN CESTE                  
CHEMIN     DES VIGNES                 
           commune :     ALLIER                         departement : HAUTES PYRENEES               
HAB        HALTE DES PESCAYRES        
HAM        DE LA SEOUBE D ALLIER      
LIEU-DIT   ARRAYADIOUS                
LIEU-DIT   BAYAR                      
LIEU-DIT   BEZIAUX                    
LIEU-DIT   BOURIE                     
LIEU-DIT   BUALA                      
LIEU-DIT   CARPIES                    
LIEU-DIT   CAZALOUS                   
LIEU-DIT   CLOS DE NOGUES             
LIEU-DIT   COMETE                     
LIEU-DIT   COUSTALAT                  
LIEU-DIT   L EGLISE                   
LIEU-DIT   HOURQUETS                  
LIEU-DIT   LADEVEZE                   
LIEU-DIT   LAGRANGE ET LONQUEZ        
LIEU-DIT   LAHITOU                    
LIEU-DIT   LALANNE                    
LIEU-DIT   LAS SEOUBES                
LIEU-DIT   LASSERRE                   
LIEU-DIT   LAYEOU                     
LIEU-DIT   PARENTOU                   
LIEU-DIT   PE DE CARPIES              
LIEU-DIT   RAMAHOR                    
LIEU-DIT   SAOUBATS                   
RUE        DE L ALARIC                
ROUTE      DE BERNAC DEBAT            
CHEMIN     DES BOIS                   
RUE        DES CHAMPS LONGS           
PROMENADE  DE L EGLISE                
ROUTE      DU HAMEAU                  
RUE        DU MOULIN                  
RUE        DU PIC DU MIDI             
RUE        DE LA PLAINE               
RUE        DES PRAIRIES               
PLACE      ST PIERRE                  
           commune :     ANCIZAN                        departement : HAUTES PYRENEES               
LIEU-DIT   AOUAGNOUARA ET COUNEMEDE   
LIEU-DIT   ARRIOU TOR                 
LIEU-DIT   ARTIGOU ET CAMOUDIET       
LIEU-DIT   AUBAC                      
LIEU-DIT   AUBAGUES                   
LIEU-DIT   BADET                      
LIEU-DIT   BAREILLES                  
LIEU-DIT   BATAN                      
LIEU-DIT   BEAU REGARD ET PLA DE SOUB 
LIEU-DIT   BENE                       
LIEU-DIT   BERNADET                   
LIEU-DIT   BIGNE                      
LIEU-DIT   BOIS DU LION               
LIEU-DIT   BOUALA DEBAT               
LIEU-DIT   BOUALA DESSUS              
LIEU-DIT   BOUCHET                    
LIEU-DIT   BOUCHOUDE                  
LIEU-DIT   CAMBAYOUS                  
LIEU-DIT   CAOULETTE                  
LIEU-DIT   LA CARDE                   
LIEU-DIT   CASSAGNE                   
LIEU-DIT   CASTERET GRAND             
LIEU-DIT   CASTERET PETIT             
LIEU-DIT   COSTE                      
LIEU-DIT   COSTE OUEILLERE            
LIEU-DIT   COUME TARIS                
LIEU-DIT   COUMELIA                   
LIEU-DIT   COUMELITS                  
LIEU-DIT   COUMELITS ET COUNEMEDE     
LIEU-DIT   COUMETTE                   
LIEU-DIT   COURET                     
LIEU-DIT   COUSTALET                  
LIEU-DIT   COUT                       
LIEU-DIT   CROIX DE FER               
LIEU-DIT   ESCALERE                   
LIEU-DIT   ESTIONERE ET COUNEMEDE     
LIEU-DIT   ESTIOUERE                  
LIEU-DIT   HABOUDE                    
LIEU-DIT   HECHE ET PIC D ARBIZON     
LIEU-DIT   HONTAYDE                   
LIEU-DIT   HOUNT DES BERS             
LIEU-DIT   HOUNTAYDE                  
LIEU-DIT   HOURCADERE                 
LIEU-DIT   HOURCAOU                   
LIEU-DIT   HOURQUETTE                 
LIEU-DIT   HOUSSAT                    
LIEU-DIT   L IMPRADOU                 
LIEU-DIT   LAGUDERE                   
LIEU-DIT   LA LANE                    
LIEU-DIT   LARCOUADE                  
LIEU-DIT   LARTIGUE                   
LIEU-DIT   LOUZERES                   
LIEU-DIT   MARIOULE                   
LIEU-DIT   MATRASSE                   
LIEU-DIT   MONTAOU                    
LIEU-DIT   OULIA                      
LIEU-DIT   OUSTALET                   
LIEU-DIT   OUSTEN                     
LIEU-DIT   PAILHE                     
LIEU-DIT   PAILHOLE                   
LIEU-DIT   PE DE COUME                
LIEU-DIT   PE DE LA COUME             
LIEU-DIT   PECH                       
LIEU-DIT   PEYRAOUTE                  
LIEU-DIT   PIC DE LIA                 
LIEU-DIT   PICHALOUP                  
LIEU-DIT   PIQUETTE                   
LIEU-DIT   PLA                        
LIEU-DIT   PLA DE COSTES              
LIEU-DIT   PLA DE HIGUE               
LIEU-DIT   SARRADET ET LOUZERE        
LIEU-DIT   SARRAT ET COUME GRANE      
