20151101
25         DOUBS                         
LIEU-DIT   CHAMPS LIMBAS              
LIEU-DIT   CHAMPS MOULINS             
LIEU-DIT   CHAMPS PARIS               
LIEU-DIT   CHAMPS PAROTTES            
LIEU-DIT   CHAMPS PIROULETS           
LIEU-DIT   CHAMPS RONDS               
LIEU-DIT   CHAMPS THOMAS              
LIEU-DIT   CHAMPS THOMAS ET AUX AUGES 
LIEU-DIT   CHAMPS VOLANS              
LIEU-DIT   AUX CHANDELOTTES           
LIEU-DIT   A LA CHANDOLE              
LIEU-DIT   SUR LA CHANDOLE            
LIEU-DIT   LE CHAPELOT                
LIEU-DIT   LE CHATELOT                
LIEU-DIT   AU CHAUCHEUX               
LIEU-DIT   A CHAUMELIN                
LIEU-DIT   CHEMIN AUX BETES           
LIEU-DIT   LA CITADELLE               
LIEU-DIT   COMBE A LA BOUILLE         
LIEU-DIT   SUR LA COMBE A LA BOUILLE  
LIEU-DIT   COMBE AU NOIROT            
LIEU-DIT   COMBE BEJINS               
LIEU-DIT   COMBE CHENEVIERE           
LIEU-DIT   COMBE COMBAS               
LIEU-DIT   COMBE DU BAS CHATELOT      
LIEU-DIT   COMBE DU CREUX             
LIEU-DIT   COMBE RONDE                
LIEU-DIT   COMBOTTE                   
LIEU-DIT   CONTOUR DES ECOUTOTS DE LA 
LIEU-DIT   CORVEE DES CHAMPS DU CHATE 
LIEU-DIT   LA COTE                    
LIEU-DIT   AU CROT DE MONT CHEVERIN   
LIEU-DIT   CROT DE MONT CHEVERIN      
LIEU-DIT   CURTIS BONNETS             
LIEU-DIT   A LA DANSERE               
LIEU-DIT   AU DESSUS DES VOYENS       
LIEU-DIT   AUX ECOUTOTS               
LIEU-DIT   ENTRE LES DEUX BOIS        
LIEU-DIT   ESSARTS DES COMBES BEJINS  
LIEU-DIT   AUX ESSARTS DU CHATEAU     
LIEU-DIT   AUX ESSARTS MOLOMBES       
LIEU-DIT   AUX ESSARTS PICHET         
LIEU-DIT   LES FAVORGES               
LIEU-DIT   FOND DE VESSEAU            
LIEU-DIT   SUR LA FONTAINE DE VENDOLE 
LIEU-DIT   FOULURE DE PAVOILLON       
LIEU-DIT   A FRAINE                   
LIEU-DIT   LA GANNERELLE              
LIEU-DIT   AUX GOULEUSES              
LIEU-DIT   GRANDE COMBE               
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LA GRETTE                  
LIEU-DIT   JARDINS SOUS LE BOURG      
LIEU-DIT   AUX LAVIERES               
LIEU-DIT   SUR LA LOGE                
LIEU-DIT   SUR LA LOUVIERE            
LIEU-DIT   LA MALATIERE               
