20151101
79         DEUX SEVRES                   
LIEU-DIT   LA RENELIERE               
LIEU-DIT   SAINTE MARIE               
LIEU-DIT   LA CARRIERE                
LIEU-DIT   LA ZELINIERE               
LIEU-DIT   LA BERNARDIERE             
LIEU-DIT   LES ETANGS                 
IMPASSE    DU CEBRON                  
IMPASSE    DU CERISIER                
IMPASSE    MOULIN                     
IMPASSE    DES MURIERS                
RUE        DES MURIERS                
IMPASSE    DU NOISETIER               
RUE        DU TILLEUL                 
RUE        DES VIOLETTES              
IMPASSE    DU TILLEUL                 
RUE        DU STADE                   
RUE        DES VIOLETTES              
           commune :     AIFFRES                        departement : DEUX SEVRES                   
LIEU-DIT   L'ALOUETTE                 
LIEU-DIT   L ANE CUIT                 
LIEU-DIT   LES APLANIS                
LIEU-DIT   LES APLANIS OUEST          
LIEU-DIT   BAGUILLON                  
LIEU-DIT   LE BAS MAIRE               
LIEU-DIT   LA BASSE PIERRIERE         
LIEU-DIT   BEAU LIEU                  
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   LA BELLIVAUDRIE            
LIEU-DIT   BOIS DE MADAME BION        
LIEU-DIT   LA BOUCHERIE               
LIEU-DIT   LE BOUCHET                 
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BROUSSE                 
LIEU-DIT   LES BRUNETTES              
LIEU-DIT   LE BUISSON                 
LIEU-DIT   CATINION                   
LIEU-DIT   CHAILLE                    
LIEU-DIT   LE CHAMP DE LA BOURDIGALE  
LIEU-DIT   LE CHAMP PROT              
LIEU-DIT   LA CHAMPANOISERIE          
LIEU-DIT   CHAMPS BOUCHET             
LIEU-DIT   CHAMPS CLAVAUX             
LIEU-DIT   LES CHAMPS DE LA GREVE     
LIEU-DIT   CHAMPS DE LA RIVIERE DE FO 
LIEU-DIT   LES CHAMPS DES AILLANDS    
LIEU-DIT   LES CHAMPS MANIFAITS       
LIEU-DIT   CHAMPS RANDOUX             
LIEU-DIT   LE CHATEAU D AIFFRES       
LIEU-DIT   LA CHAUME A CHARDON        
LIEU-DIT   LA CHAUME A CHAUVET        
LIEU-DIT   LA CHAUME A FRADET         
LIEU-DIT   CHAUME A LA BRUCHE         
LIEU-DIT   LES CHAUMES PERSONNIERES   
LIEU-DIT   LES CHAUMES DE MARTIGNY    
LIEU-DIT   LES CHAUMES DE PALAIS      
LIEU-DIT   LE CHENE VERT              
LIEU-DIT   CHEVRILLON NORD            
LIEU-DIT   CHICHILLON                 
LIEU-DIT   CHIRON CAUD                
LIEU-DIT   CHIRON DE L HUILE          
LIEU-DIT   CHIRON MACON               
LIEU-DIT   LE CLAN                    
LIEU-DIT   AU CLAN DE LA ROUCHERE     
LIEU-DIT   LES CORDAGES               
LIEU-DIT   LES COSSES                 
LIEU-DIT   LA COUARDE                 
LIEU-DIT   LES COULEES                
LIEU-DIT   COUTEAUDEAU                
LIEU-DIT   LA COUTELLERIE             
LIEU-DIT   LES COUTURES               
LIEU-DIT   LES COUTURES SUD           
LIEU-DIT   LA CURE                    
LIEU-DIT   LA DEFFRIE                 
LIEU-DIT   LA DIGUE                   
LIEU-DIT   L EBAUPIN                  
LIEU-DIT   EGOULEVENT                 
LIEU-DIT   LE FIEF BUFFETEAU          
LIEU-DIT   LE FIEF CHEVALIER          
LIEU-DIT   FIEF CHEVALIER EST         
LIEU-DIT   LE FIEF DE L ANE           
LIEU-DIT   FIEF JOYEUX                
LIEU-DIT   LE FIEF MORIN              
LIEU-DIT   FIEF ROUGE                 
LIEU-DIT   LE FIEF SERPEAU            
LIEU-DIT   LES FONTENELLES            
LIEU-DIT   LA FOSSE A BARREAU         
LIEU-DIT   LE FRAIGNEAU               
LIEU-DIT   LA GARE                    
LIEU-DIT   LA GARENNE                 
LIEU-DIT   GARGOUILLEAU               
LIEU-DIT   LA GAYELLE                 
LIEU-DIT   LES GENETS                 
LIEU-DIT   GRAND MAY                  
LIEU-DIT   LE GRAND TURGEAU           
LIEU-DIT   LA GRANDE RIVIERE          
LIEU-DIT   LES GRANDES OUCHES         
LIEU-DIT   LA GRANGE                  
LIEU-DIT   LA GUIGNETTE               
LIEU-DIT   LE HAUT MAIRE              
LIEU-DIT   LA HAUTE PIERRIERE         
LIEU-DIT   LES HERSES                 
LIEU-DIT   JARDIN NEUF                
LIEU-DIT   LES JAVIGNES               
LIEU-DIT   LIGNY                      
LIEU-DIT   LA MAISON NEUVE            
LIEU-DIT   LA MALPAUDRIE              
LIEU-DIT   MARTIGNY                   
LIEU-DIT   LES MARTRES                
LIEU-DIT   LA MASSATRIE               
LIEU-DIT   LA MOIE                    
LIEU-DIT   MONTALU                    
LIEU-DIT   LA MORT MARTIN             
LIEU-DIT   LA MOTTE LE JAULT          
LIEU-DIT   LA MOTTE SAINT DENIS       
LIEU-DIT   LA MOTTEE                  
LIEU-DIT   PALAIS                     
LIEU-DIT   PALAIS SUD                 
LIEU-DIT   LES PENANCES               
LIEU-DIT   LES PENANCES OUEST         
LIEU-DIT   LE PEROT                   
LIEU-DIT   LE PETIT FIEF              
LIEU-DIT   LE PETIT MARTIGNY          
LIEU-DIT   PIED BLANC                 
LIEU-DIT   PIED BLANC SUD             
LIEU-DIT   LA PIERRIERE               
LIEU-DIT   PISSARDANT                 
LIEU-DIT   LA PLAINE DE CHAMPARNAUD   
LIEU-DIT   LA PLAINE DE CLESSE        
LIEU-DIT   PLAINE DE CORBIN           
LIEU-DIT   LA PLAINE DE LA DEFFRIE    
LIEU-DIT   PLAINE DE LA GRANGE        
LIEU-DIT   PLAINE DE LA GRANGE SUD    
LIEU-DIT   PLAINE DE SAINT PIERRE     
LIEU-DIT   PLAINE DE TARTALIN         
LIEU-DIT   PLAINE DES GARGOUILLEAUX   
LIEU-DIT   LES PLANTES                
LIEU-DIT   LA POINTE DU MOULIN        
LIEU-DIT   LA PONNERIE                
LIEU-DIT   LE PORTAIL ROUGE           
LIEU-DIT   PRAIRIE DE PAIX            
LIEU-DIT   LES PRES DE LA DIGUE       
LIEU-DIT   LES PRES DE LA FOSSE       
LIEU-DIT   PRES DE LAUBIER            
LIEU-DIT   PRES DU BOUCHET            
LIEU-DIT   PRES DU MOULIN             
LIEU-DIT   LES PRES FONTAIGNOUX       
LIEU-DIT   LES PRES GIBAULT           
LIEU-DIT   LES PRES LONGS             
LIEU-DIT   LES PRES MORISSETS         
LIEU-DIT   PRES VIGNAUX               
LIEU-DIT   LE RENCLOS                 
LIEU-DIT   LA ROCHE CRISSE            
LIEU-DIT   LA ROCHE PALAIS            
LIEU-DIT   LES ROTIS                  
LIEU-DIT   LA ROUSSELLERIE            
LIEU-DIT   LE SABLON                  
LIEU-DIT   LE SABLON EST              
LIEU-DIT   SAINT CLEMENT              
LIEU-DIT   SAINT LAMBIN               
LIEU-DIT   SAINT MAURICE              
LIEU-DIT   SAINTE NEUIL               
LIEU-DIT   LA SAVARIE                 
LIEU-DIT   SAZIREY                    
LIEU-DIT   LES SEPT JOURNAUX          
LIEU-DIT   SOUS SAINTE NEUIL          
LIEU-DIT   TARTALIN                   
LIEU-DIT   TARTALIN OUEST             
LIEU-DIT   LA TRAINE                  
LIEU-DIT   LA TREILLE                 
LIEU-DIT   AUX TROIS FONTAINES        
LIEU-DIT   TROP MY DURE               
LIEU-DIT   VIEILLES VIGNES DE LIGNY   
LIEU-DIT   LA VIGNE AUX CHIENS        
LIEU-DIT   LE VIGNEAU                 
LIEU-DIT   PIECE DU PALAIS            
LIEU-DIT   LA MOIE OUEST              
LIEU-DIT   LA MASSATRIE SUD           
LIEU-DIT   LES VIGNES A GELLE         
LIEU-DIT   LE PETIT MARTIGNY EST      
LIEU-DIT   CHEVRILLON SUD             
LIEU-DIT   CHEVRILLON OUEST           
LIEU-DIT   GRAND MAY EST              
LIEU-DIT   PLAINE DE CHARNIAC         
LIEU-DIT   LES RURALIES               
LIEU-DIT   LA CHAUME                  
RUE        DE L'ALOUETTE              
PLACE      AMLAME                     
IMPASSE    DE L ANCIEN CHATEAU D EAU  
PLACE      ANTOINE DE SAINT EXUPERY   
RUE        DE L'AUNIS                 
SQUARE     DE L'AUNIS                 
ROUTE      DE BAGUILLON               
IMPASSE    DE LA BARAUDRIE            
RUE        DE LA BARAUDRIE            
ROUTE      DE BAS MAIRE               
RUE        DE LA BASSE PIERRIERE      
IMPASSE    BEL AIR                    
RUE        DE LA BELLIVAUDRIE         
RUE        BUFFETEAU                  
IMPASSE    DE CHAMPS BOUCHET          
CHEMIN     DU BOUCHET                 
ROUTE      DU BUISSON                 
IMPASSE    DES BOUVREUILS             
SQUARE     JEAN BOURDEAU              
IMPASSE    DU BOURG                   
RUE        DU BOURG                   
RUE        DES CAPUCINES              
RUE        DES CHAMPS                 
IMPASSE    DE LA CHAPELLE             
