20151101
33         GIRONDE                       
LIEU-DIT   AUX SAUZES                 
LIEU-DIT   LES SERRES EST             
LIEU-DIT   LES SERRES OUEST           
LIEU-DIT   SOUS BARRAUD               
LIEU-DIT   SOUS BEAULIEU              
LIEU-DIT   SOUS LES NOVES             
LIEU-DIT   SOUS ROCHEREAU             
LIEU-DIT   TERRES JAUNES              
LIEU-DIT   AU TERRIER                 
LIEU-DIT   TERRIER DES VIGNES EST     
LIEU-DIT   TERRIER DES VIGNES OUEST   
LIEU-DIT   TERRIER DU PALAIS          
LIEU-DIT   LA TOUR                    
LIEU-DIT   LES TREMBLES               
LIEU-DIT   TRIPOTEAU NORD             
LIEU-DIT   TRIPOTEAU SUD              
LIEU-DIT   VACHER                     
LIEU-DIT   VALLEE DU PALAIS           
LIEU-DIT   VALLEES EST                
LIEU-DIT   VALLEES OUEST              
LIEU-DIT   LES VIEILLES VIGNES        
LIEU-DIT   TRIPOTEAU OUEST            
LIEU-DIT   LA CATHELONNE              
RUE        DES ARNAUDS                
RUE        AVITIACUS                  
RUE        DE BOTHEREAU               
RUE        DU CHEMINOT                
RUE        DE LA CROIX DES HILLAIRES  
RUE        DU DOCTEUR TEXIER          
RUE        DU DOCTEUR VACHER          
RUE        DES FELLONNEAUX            
CHEMIN     DE LA FONTAINE             
RUE        DE FOURNEL                 
PLACE      GEORGES BRASSENS           
RUE        GILBERT ROMME              
RUE        DES GRANDES BARDES         
RUE        HENRI ROZIER               
RUE        JEAN ACHARD                
RUE        JEAN JAURES                
RUE        JULES BECHEREAU            
RUE        JULES FERRY                
RUE        DU PALET                   
RUE        LOUIS PASTEUR              
RUE        DU PETIT MOULIN            
RUE        DU PETREAU                 
PLACE      DE LA REPUBLIQUE           
RUE        DES TERRES JAUNES          
           commune :     AILLAS                         departement : GIRONDE                       
LOT        HAMEAU DE LA BASSANNE      
ZI         DU BEC D AMBES             
LOT        BOUHEBEN                   
LIEU-DIT   AILLAS LE GRAND            
LIEU-DIT   ARNAUD GUILHEM             
LIEU-DIT   AUBAGNAN                   
LIEU-DIT   AURIOLE                    
LIEU-DIT   BACHE DU MONT SAINT JEAN   
LIEU-DIT   BALESTRIN                  
LIEU-DIT   BARAIL                     
LIEU-DIT   AU BARAILLOT               
LIEU-DIT   LA BARELLE                 
LIEU-DIT   BARITEAU                   
LIEU-DIT   BASSANE DE BAS             
LIEU-DIT   BASSANE DE HAUT SUD        
LIEU-DIT   BASSANE DE HAUT NORD       
LIEU-DIT   LES BASSANES               
LIEU-DIT   A LA BASSANNE              
LIEU-DIT   LA BASSANNE EST            
LIEU-DIT   LA BASSANNE OUEST          
LIEU-DIT   BASTON                     
LIEU-DIT   BELIC                      
LIEU-DIT   BEOU                       
LIEU-DIT   BERLIN                     
LIEU-DIT   BEYLESSES                  
LIEU-DIT   LA BEYSE                   
LIEU-DIT   LA BEYSE DE BAS            
LIEU-DIT   LA BEYSE DE HAUT           
LIEU-DIT   BOIS DE BOSTON             
LIEU-DIT   BOIS DE CARTIER            
LIEU-DIT   BOIS DE LA COTE            
LIEU-DIT   BOIS DE MANGILLE           
LIEU-DIT   BOIS DE MARSAULHOMME       
LIEU-DIT   BOIS DE PASQUET            
LIEU-DIT   BOIS DE PAUPAIL            
LIEU-DIT   BOIS DE PITRON             
LIEU-DIT   BOIS DE RIOULET            
LIEU-DIT   BOIS DE SATAGNET           
LIEU-DIT   BOIS DU CASSE              
LIEU-DIT   BOIS MAJOU SUD EST         
LIEU-DIT   BOIS PEYREY                
LIEU-DIT   BOIS MAJOU NORD            
LIEU-DIT   BOIS MAJOU SUD             
LIEU-DIT   BOUHEBEN                   
LIEU-DIT   A BOURG                    
LIEU-DIT   BOUYTAOUT                  
LIEU-DIT   AU BRANA                   
LIEU-DIT   BRIGAIL                    
LIEU-DIT   LES BROUSTEYS              
LIEU-DIT   BRUCA                      
LIEU-DIT   LA BRUGE                   
LIEU-DIT   BUCHERIE NORD              
LIEU-DIT   BUCHERIE SUD               
LIEU-DIT   CABANIEUX                  
LIEU-DIT   CADIX                      
LIEU-DIT   CAILLAU                    
LIEU-DIT   CANTABRE                   
LIEU-DIT   CANTEAU                    
LIEU-DIT   LE CAP DE LA GOUGE         
LIEU-DIT   CAP DE LAROQUE             
LIEU-DIT   CARTIER                    
LIEU-DIT   CHAMPS DE LILANE           
LIEU-DIT   CHAMPS DES MACONS          
LIEU-DIT   CHATEAU                    
LIEU-DIT   CHINAN                     
LIEU-DIT   LA CHOQUE                  
LIEU-DIT   CHOYNE                     
LIEU-DIT   CHURES                     
LIEU-DIT   CLAVERIE                   
LIEU-DIT   LA COTE                    
LIEU-DIT   COULOMB NORD               
LIEU-DIT   COULOMB SUD                
LIEU-DIT   COUYET NORD                
LIEU-DIT   COUYET SUD                 
LIEU-DIT   COUZEHEYTE                 
LIEU-DIT   AU CRIEREY                 
LIEU-DIT   CUGNOS                     
LIEU-DIT   DAUTIC NORD                
LIEU-DIT   DAUTIC SUD                 
LIEU-DIT   DELAS                      
LIEU-DIT   DENIS NORD                 
LIEU-DIT   DENIS SUD                  
LIEU-DIT   DESTIS                     
LIEU-DIT   DIDJAOU                    
LIEU-DIT   AU DREUILLA                
LIEU-DIT   DUBARRAIL                  
LIEU-DIT   DUFRECHE                   
LIEU-DIT   DUPEYRON                   
LIEU-DIT   DUPEYRON EST               
LIEU-DIT   DUPEYRON OUEST             
LIEU-DIT   L EGLISE                   
LIEU-DIT   FAUBOURG                   
LIEU-DIT   FILLEAU                    
LIEU-DIT   LA FONT                    
LIEU-DIT   FORGERON                   
LIEU-DIT   GALISSAIRE                 
LIEU-DIT   LA GARENNE                 
LIEU-DIT   A LA GARENNE               
LIEU-DIT   AU GARRE                   
LIEU-DIT   GARRELIS                   
LIEU-DIT   GESTA                      
