20151101
09         ARIEGE                        
RUE        DE LABAT                   
RUE        DE LASIERE                 
ROUTE      DE LAVELANET               
RUE        DU MOULIN                  
RUE        DU PARC                    
CHEMIN     LES PERRIQUETS             
CHEMIN     DE ROUDIERE                
RUE        DU SARRAT                  
           commune :     ALBIES                         departement : ARIEGE                        
QUA        LA CARRIERE                
QUA        ENCAGNE                    
QUA        GALAX ET NAPPI             
QUA        REYCHEC                    
           HAUT DU VILLAGE            
LIEU-DIT   AL BAOUS                   
LIEU-DIT   AL PLA                     
LIEU-DIT   AL PLANAL                  
LIEU-DIT   ANDARS                     
LIEU-DIT   ARDADIELS                  
LIEU-DIT   ARENALS                    
LIEU-DIT   LA BAILLASSE               
LIEU-DIT   BALS                       
LIEU-DIT   BERTADIERO ET TOUPI        
LIEU-DIT   LA BIERE                   
LIEU-DIT   MON CAMP                   
LIEU-DIT   CAMPAGNE                   
LIEU-DIT   LA CAMPAGNE                
LIEU-DIT   CANTAULI                   
LIEU-DIT   CANTAULI                   
LIEU-DIT   CARBONNIERES               
LIEU-DIT   LA CARRIERE                
LIEU-DIT   LE CLOT                    
LIEU-DIT   CLOT ET PAS DE LA BARTHE   
LIEU-DIT   COL D ARQUES               
LIEU-DIT   COSTE DE LEGUSSAT          
LIEU-DIT   COURTAL FITOU              
LIEU-DIT   ENREMEGUE                  
LIEU-DIT   ESTANILS                   
LIEU-DIT   FOUNTANAL                  
LIEU-DIT   GALAX ET NAPPI             
LIEU-DIT   GALAX OU ENREMEGUE         
LIEU-DIT   GALAX OU LA COSTE          
LIEU-DIT   LA GARGANTE                
LIEU-DIT   GARSABEL                   
LIEU-DIT   LA GENEBRIERE              
LIEU-DIT   GUZARS                     
LIEU-DIT   IZARGES                    
LIEU-DIT   JERISSOU                   
LIEU-DIT   LAGAL                      
LIEU-DIT   LESTAGNOL                  
LIEU-DIT   MONTAURIOL                 
LIEU-DIT   NIGUERES ET CAMPAGNE       
LIEU-DIT   PAROUMES                   
LIEU-DIT   PAS DE L OUX               
LIEU-DIT   LE PECH                    
