20151101
LIEU-DIT   VERS MERICOURT             
LIEU-DIT   VERS ROUVROY               
LIEU-DIT   LA VIGNE                   
LIEU-DIT   LE VILLAGE                 
RUE        DES COQUELICOTS            
RUE        DU DIX NEUF MARS 1962      
RUE        DU GEN DE GAULLE           
           HAM DE LA GRENOUILLE       
RUE        JACQUES PREVERT            
RUE        JEAN LENNES                
RUE        MAL LECLERC                
RUE        DE LA LIBERATION           
ROUTE      DE MERICOURT               
RUE        MESANGES                   
RUE        DU MOULIN                  
PLACE      DU 11 NOVEMBRE             
RUE        DU PETIT BOIS              
RUE        ROGER MARECHAL             
RUE        DE ROUVROY                 
           commune :     ACHICOURT                      departement : PAS DE CALAIS                 
LIEU-DIT   LES ARGILLIERES            
LIEU-DIT   LA BASSE COUTURE           
LIEU-DIT   LA BASSURE                 
LIEU-DIT   LE BELLOY                  
LIEU-DIT   LES BOUQUETS DE FLEURS     
LIEU-DIT   LA BRIQUETERIE             
LIEU-DIT   A MA CAMPAGNE              
LIEU-DIT   LE CHAMP DES QUATRE        
LIEU-DIT   LES CHAMPS DE L HOPITAL    
LIEU-DIT   LES CHAMPS POTEZ           
LIEU-DIT   CHAMPS PRONVILLE ET DES FO 
LIEU-DIT   CHEMIN BEAURAINS           
LIEU-DIT   LE CHEMIN DE CITE          
LIEU-DIT   LE CHEMIN DE MANNERET      
LIEU-DIT   CHEMIN DU CAUMONT          
LIEU-DIT   LA CHEMINEE                
LIEU-DIT   LE CIMETIERE               
LIEU-DIT   LE CINEMA                  
LIEU-DIT   LES CINQUANTE              
LIEU-DIT   LA CITADELLE               
LIEU-DIT   LA CITE CLEMENT            
LIEU-DIT   LA CITE PIERRE SEMARD      
LIEU-DIT   LA COUTURE                 
LIEU-DIT   LES CUVES                  
LIEU-DIT   LES DIX                    
LIEU-DIT   LES ECOLES                 
LIEU-DIT   LA FLAQUE                  
LIEU-DIT   LE FOND DU BIEF            
LIEU-DIT   LES FONDS                  
LIEU-DIT   LE FORT                    
LIEU-DIT   LES FOSSES                 
LIEU-DIT   FOSSES ET MARQUOY          
LIEU-DIT   LA GARE DE TRIAGE          
LIEU-DIT   LES HAIES                  
LIEU-DIT   LA HALTE                   
LIEU-DIT   EN HAUT DES DIX            
LIEU-DIT   EN HAUT DES FONDS          
LIEU-DIT   EN HAUT DES HAIES          
LIEU-DIT   EN HAUT DU MALVAUX         
LIEU-DIT   LES LAINES                 
LIEU-DIT   LES MILANAIS               
LIEU-DIT   MITERLOTTE                 
LIEU-DIT   LE MOULIN HACART           
LIEU-DIT   LE MOULIN POURRI           
LIEU-DIT   L OCTROI                   
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LE PASSAGE A NIVEAU        
LIEU-DIT   LE PETIT BAPAUME           
LIEU-DIT   LA PETITE COUTURE          
LIEU-DIT   LES PLANQUETTES            
LIEU-DIT   LE POLYGONE                
LIEU-DIT   LE PONT DAVID              
LIEU-DIT   LE PONT DE FER             
LIEU-DIT   LE PONT DHE                
LIEU-DIT   LE PRE                     
LIEU-DIT   LES QUATORZE               
LIEU-DIT   LES QUATRE AS              
LIEU-DIT   ROCLINQUANT                
LIEU-DIT   LA RUE DE FONTAINE         
LIEU-DIT   SAINT CHRISTOPHE           
LIEU-DIT   LE STADE                   
LIEU-DIT   LES TAMBOURS               
LIEU-DIT   AUX TILLEULS               
LIEU-DIT   LA TOUR                    
LIEU-DIT   LE TRIANGLE                
LIEU-DIT   L USINE                    
LIEU-DIT   LE VAUX                    
LIEU-DIT   LES VINGT QUATRE           
LIEU-DIT   LA VOYETTE MINBLON         
LIEU-DIT   LA RUE PASTEUR             
LIEU-DIT   LE PETIT BAPAUME NORD      
LIEU-DIT   LE PETIT BAPAUME SUD       
LIEU-DIT   LE BOIS                    
LIEU-DIT   LE PARADIS EST             
LIEU-DIT   LE PARADIS OUEST           
LIGN       SNCF BOISLEUX ARRAS        
           LE CRINCHON                
           LIMITES ADMINISTRATIVES    
RUE        D ACHICOURT                
RUE        DES ACACIAS                
RUE        D AGNY                     
RUE        D AIX                      
RUE        ALFRED DEBUIRE             
RUE        ALFRED GONDRY              
AVENUE     D AMIENS                   
RUE        D AMSTERDAM                
RUE        ANATOLE FRANCE             
RUE        ANDRE CORMONT              
RUE        DES ATELIERS               
RUE        AUGUSTIN DEMAILLY          
RUE        D AUXERRE                  
RUE        DE BANGUI                  
ROUTE      DE BAPAUME                 
RUE        BAUDELAIRE                 
RUE        DE BELGRADE                
RUE        DU BELLOY                  
CHEMIN     DU BELLOY                  
RUE        DE BESANCON                
SQUARE     BIENFAIT                   
RUE        DES BOULEAUX               
RUE        DE BORDEAUX                
RUE        DE BREST                   
RUE        DE BRUXELLES               
ROUTE      DE BUCQUOY                 
RUE        DE CAEN                    
RUE        DE CALCUTTA                
RUE        CALMETTE                   
RUE        CAMILLE CAMPION            
RUE        DU CAUMONT                 
RUE        DES CHAMPS                 
RUE        DES CHAMPS POTEZ           
RUE        CHARLES DEMAILLY           
RUE        CHARLES FERRAND            
RUE        CHARLES SIMON              
RUE        DES CHENES                 
RUE        DE CLERMONT                
RUE        CLOTAIRE ROGER             
RUE        CRONFALT                   
ROUTE      DE DAINVILLE               
RUE        DE DAKAR                   
RUE        DU DEPOT                   
RUE        DE DIJON                   
RUE        DU 19 MARS 1962            
RUE        DOCTEUR BEHAGUE            
RUE        EDMOND BOIDIN              
SQUARE     EDMOND DELCOURT            
RUE        EDMOND ROBAERT             
RUE        EDMOND SOUART              
RUE        EMILE BASLY                
RUE        EMILE BRIOU                
RUE        EMILE DARRAS               
RUE        EMILE DEHAY                
AVENUE     EMILE DUQUESNOY            
