20151101
40         LANDES                        
LIEU-DIT   PISTOLE                    
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LA POLOGNE                 
LIEU-DIT   LE PORTUGAL                
LIEU-DIT   POUMIRO                    
LIEU-DIT   POURCABE                   
LIEU-DIT   POURIC                     
LIEU-DIT   POURIN                     
LIEU-DIT   POURIN EST                 
LIEU-DIT   POURIN OUEST               
LIEU-DIT   POURROUTE                  
LIEU-DIT   PRENTIGARDE                
LIEU-DIT   REY                        
LIEU-DIT   ROUCHOULIOU                
LIEU-DIT   LE ROUZET                  
LIEU-DIT   SALIGAS DES ARRATS         
LIEU-DIT   LA SALIGUE                 
LIEU-DIT   SAUBADINE                  
LIEU-DIT   SUBEHARGUE                 
LIEU-DIT   AU TAILLEUR                
LIEU-DIT   TOUGET                     
LIEU-DIT   TROUSSIN                   
LIEU-DIT   LA TUCOLLE                 
LIEU-DIT   VILLE EST                  
LIEU-DIT   VILLE OUEST                
LIEU-DIT   SANS                       
LIEU-DIT   AOUGE                      
LIEU-DIT   ARNAOUT                    
LIEU-DIT   ARROUDE                    
LIEU-DIT   BERGES                     
LIEU-DIT   BIROULET                   
LIEU-DIT   BOUTCHON                   
LIEU-DIT   CANONNIER                  
LIEU-DIT   CANTABRE                   
LIEU-DIT   CANTAU                     
LIEU-DIT   CASTAGNON                  
LIEU-DIT   CHARON                     
LIEU-DIT   CHIOAS                     
LIEU-DIT   DABION                     
LIEU-DIT   DANE                       
LIEU-DIT   DUVIGNAU                   
LIEU-DIT   FERRAN                     
LIEU-DIT   FINAT                      
LIEU-DIT   FONTAINE                   
LIEU-DIT   FONTAINE DE CLAVERIE       
LIEU-DIT   LA GREZERE                 
LIEU-DIT   HILLOT                     
LIEU-DIT   JEANTET                    
LIEU-DIT   LABORDE                    
LIEU-DIT   LAFONTAN                   
LIEU-DIT   LAPPALU                    
LIEU-DIT   LAZOUAT                    
LIEU-DIT   LOUSTAOU                   
LIEU-DIT   MAISONNAVE                 
LIEU-DIT   MALOT                      
LIEU-DIT   MAROULET                   
LIEU-DIT   METEYE                     
LIEU-DIT   MONTUROUN                  
LIEU-DIT   MOULIE                     
LIEU-DIT   PETIT JOUATON              
LIEU-DIT   PETIT REPORTE              
LIEU-DIT   PHILIBERT                  
LIEU-DIT   PIEROULET                  
LIEU-DIT   LE PIN                     
LIEU-DIT   PIOS                       
LIEU-DIT   POURCATE                   
LIEU-DIT   POUTAT                     
LIEU-DIT   RAMOUNET                   
LIEU-DIT   SAINT BARTHELEMY           
LIEU-DIT   SAINT JOSEPH               
LIEU-DIT   SARRAILLET                 
LIEU-DIT   SIMOUN                     
LIEU-DIT   TARTAFUM                   
LIEU-DIT   TOURON                     
LIEU-DIT   TOY                        
LIEU-DIT   VITAL                      
LIEU-DIT   GRAND COMPERE              
LIEU-DIT   GRAND MARTINON             
LIEU-DIT   GRAND MONETON              
LIEU-DIT   PETIT PENTAGNAN            
LIEU-DIT   POUMIRO DE BAS             
LIEU-DIT   LANDES DU PIN EST          
LIEU-DIT   LANDES DU PIN NORD         
LIEU-DIT   LANDES DU PIN SUD          
LIEU-DIT   PENTES DE LOURINE SUD      
LIEU-DIT   TROUSSIN EST               
LIEU-DIT   TROUSSIN OUEST             
LIEU-DIT   AUTOROUTE                  
CD         N 456 D AIRE A LATRILLE    
RUE        JEAN ROSTAND               
RUE        D'ALARIC                   
ALLEE      ALBERT CAMUS               
RUE        ALBERT JACQUARD            
VC         N 12 DES ARRATS            
CHV        12 DES ARRATS              
RUE        DES ARENES                 
CITE       DE L ARMAGNAC              
RUE        DE L ARMAGNAC              
ROUTE      DES ARRATS                 
IMPASSE    DES ARRATS                 
CHEMIN     DES ARRIBAOUTS             
CR         D ARRIGABAT                
CHEMIN     DES ARRIGABAT              
IMPASSE    DES ARRIGABAT              
IMPASSE    DE L'ARROUDE               
PLACE      ATURA                      
RUE        AUGUSTE DELHOSTE           
IMPASSE    DES AUGUSTINS              
RUE        DES AULNES                 
RUE        DE BAHUS SOUBIRAN          
CR         DES BAUCATS BALICATS       
N          124 DE BAYONNE A TOULOUSE  
VC         N 28 DE BAGAN A CANTAOUS   
VC         DE BAGAN                   
RUE        BAUDELAIRE                 
AVENUE     DU BEARN                   
RUE        BEAUSOLEIL                 
AVENUE     DU BEARN                   
RUE        DES BELLES ROSES           
CR         DE BERTRAN                 
RUE        DU BIROY                   
CHEMIN     DE BITON                   
RUE        DE BITON                   
CHEMIN     DU BAGAN                   
CHEMIN     DE BALIE                   
CHEMIN     DE BARON                   
IMPASSE    DE BELLEVUE                
