20151101
2B         HAUTE CORSE                   
LIEU-DIT   TRE FONTANE                
LIEU-DIT   VADINA                     
LIEU-DIT   VALDERONE                  
LIEU-DIT   VANDA AI PINI              
LIEU-DIT   VANGHE                     
LIEU-DIT   VANGONE                    
LIEU-DIT   VECHIONI                   
LIEU-DIT   VERGAJOLA                  
LIEU-DIT   VESCO                      
LIEU-DIT   VETRICCIE                  
LIEU-DIT   VIGNA                      
LIEU-DIT   VIGNA SOTTANA              
LIEU-DIT   VIGNENTE                   
LIEU-DIT   VILLA NUAVA                
LIEU-DIT   VITRONCELLO                
LIEU-DIT   VITULLO                    
LIEU-DIT   PRESBYTERE                 
LIEU-DIT   VAN A PINI                 
LIEU-DIT   FERME BIREBENT             
LIEU-DIT   FERME SKALLI               
LIEU-DIT   TEPPA                      
LIEU-DIT   VILLAGE                    
ROUTE      DE L EGLISE                
ROUTE      FORESTIERE 6               
           commune :     AITI                           departement : HAUTE CORSE                   
LIEU-DIT   ACQUA GULATA               
LIEU-DIT   AGIOLA                     
LIEU-DIT   AITI MINORE                
LIEU-DIT   AJA LANELLA                
LIEU-DIT   AJA UNDICA                 
LIEU-DIT   AJARACCIA                  
LIEU-DIT   ALBUCCIETTE                
LIEU-DIT   ALCORE                     
LIEU-DIT   ALPA                       
LIEU-DIT   ALZELI                     
LIEU-DIT   ARIOSTI                    
LIEU-DIT   ASTATOJA                   
LIEU-DIT   AVERTELLO                  
LIEU-DIT   BOCCA ALLA SERRA           
LIEU-DIT   BORGA                      
LIEU-DIT   BUCCINCA                   
LIEU-DIT   CADINELLI                  
LIEU-DIT   CAJIOLA                    
LIEU-DIT   CAMPANAJO                  
LIEU-DIT   CAMPO AITINCO              
LIEU-DIT   CAMPO ALTO                 
LIEU-DIT   CAMPO GIABICONE            
LIEU-DIT   CAMPOTOLI                  
LIEU-DIT   CANELLE                    
LIEU-DIT   CAPANNELLA                 
LIEU-DIT   CARBONAJA                  
LIEU-DIT   CASA SOTTANA               
LIEU-DIT   CASALE                     
LIEU-DIT   CASANOVA                   
LIEU-DIT   CASARELLA                  
LIEU-DIT   CASPIGNA                   
LIEU-DIT   CASTELLANAJO               
LIEU-DIT   CASTELLUCCIA               
LIEU-DIT   CASTELLUCCIO               
LIEU-DIT   CATERELLE                  
LIEU-DIT   CHIARAGGIO                 
LIEU-DIT   CHIARAGIOLI                
LIEU-DIT   CHIESALI                   
LIEU-DIT   CHIOSELLA                  
LIEU-DIT   CHIOSELLO                  
LIEU-DIT   CHIOSINA                   
LIEU-DIT   CHIOSO AI MELLI            
LIEU-DIT   CHIOSO AL LOCO             
LIEU-DIT   CHIOSO AL QUERCIO          
LIEU-DIT   CHIOSO ALLA VALLE          
LIEU-DIT   CHIOSO LONGO               
LIEU-DIT   CHIOSO ORNETTO             
LIEU-DIT   CHIOSO PAJOLANO            
LIEU-DIT   CHIUSELLA                  
LIEU-DIT   CIALAMBELLA                
LIEU-DIT   CIMA AL PIANO              
LIEU-DIT   CIMA FERLETTA              
LIEU-DIT   CODOLE                     
LIEU-DIT   COGUELO                    
LIEU-DIT   COLLETOLE DE MONTE CAPELLO 
LIEU-DIT   COLLETOLO                  
LIEU-DIT   COLLO                      
LIEU-DIT   COMMUNANCE                 
LIEU-DIT   CORBAJOLA                  
LIEU-DIT   COSTA AL MOLINO            
LIEU-DIT   COSTA AL QUERCETTO         
LIEU-DIT   COSTA AL TOFO              
LIEU-DIT   COSTA ALLE FOCE            
LIEU-DIT   COTICCIO                   
LIEU-DIT   DICEPO                     
LIEU-DIT   ERCONE                     
LIEU-DIT   FACCIATOJO                 
LIEU-DIT   FATUCCIAJA                 
LIEU-DIT   FAVALE                     
LIEU-DIT   FIGA                       
LIEU-DIT   FINOSELLA                  
LIEU-DIT   FIORUCCIA                  
LIEU-DIT   FOCALINI                   
LIEU-DIT   FOCCE                      
LIEU-DIT   FONTANA                    
LIEU-DIT   FONTANA ALBITRO            
LIEU-DIT   FONTANELLA                 
LIEU-DIT   FORMO NUOVO                
LIEU-DIT   FORNELLI                   
LIEU-DIT   FOSSA CIECCA               
LIEU-DIT   FRAGASOLACE                
LIEU-DIT   FRANCESCHINI               
LIEU-DIT   FRIGIATTO                  
LIEU-DIT   GIARGALO                   
LIEU-DIT   GILBANELLO                 
LIEU-DIT   GIUNCHELLE                 
LIEU-DIT   GRADO MINUTO               
LIEU-DIT   GROTTA PEGGE               
LIEU-DIT   GUARGELO                   
LIEU-DIT   INSEDO                     
LIEU-DIT   IVARI                      
LIEU-DIT   JACCILI                    
LIEU-DIT   LANCONE                    
LIEU-DIT   LAVALLE                    
LIEU-DIT   LECCIA                     
LIEU-DIT   LENZA LONGA                
LIEU-DIT   LICCIOLE                   
LIEU-DIT   LIERDINI                   
LIEU-DIT   LOCARACCIE                 
LIEU-DIT   LOCO ALTO                  
LIEU-DIT   LUBERGHI                   
LIEU-DIT   LUGHE                      
LIEU-DIT   LUPINAJO                   
LIEU-DIT   MACCHIONE                  
LIEU-DIT   MACINAJA                   
LIEU-DIT   MALACITELLO                
LIEU-DIT   MANONI                     
LIEU-DIT   MARTINACCE                 
LIEU-DIT   MAZZONE                    
LIEU-DIT   MERCORIO                   
LIEU-DIT   MERLANGO                   
LIEU-DIT   MESSALI                    
LIEU-DIT   MEZZANOLE                  
LIEU-DIT   MONTE BIANCO               
LIEU-DIT   MONTE BRIANCO              
LIEU-DIT   MURATELLO                  
LIEU-DIT   MUSOLEO                    
LIEU-DIT   NACCIAJA                   
LIEU-DIT   NARI                       
LIEU-DIT   NOCE                       
LIEU-DIT   NOCE BOLLAJO               
LIEU-DIT   NOCETTO                    
LIEU-DIT   NOVACCHIE                  
LIEU-DIT   NOVALELLA                  
LIEU-DIT   OBORGO                     
LIEU-DIT   OLIVELLA                   
LIEU-DIT   OLIVELLO                   
LIEU-DIT   OMBRIA                     
LIEU-DIT   OMBRIA A CAMPO AITINCO     
LIEU-DIT   OMBRIA A CAPANELLO         
LIEU-DIT   OMBRIA A MOCALI            
LIEU-DIT   OMBRIA AL FAVALE           
LIEU-DIT   OMBRIA FONTANELLA          
LIEU-DIT   OMBRIA LOCO ALTO           
LIEU-DIT   OMBRIA LUBERGHI            
LIEU-DIT   OMBRIA VIGNALE             
LIEU-DIT   ORNETTO                    
LIEU-DIT   ORTALE                     
LIEU-DIT   ORTIBORIO                  
LIEU-DIT   ORTO AL TOFO               
LIEU-DIT   ORTO ALLA CASA             
LIEU-DIT   ORZALE                     
LIEU-DIT   PADULE                     
LIEU-DIT   PAGLIAJO                   
LIEU-DIT   PAMPILE                    
LIEU-DIT   PARAMELLA                  
LIEU-DIT   PASTINI                    
LIEU-DIT   PASTINO                    
LIEU-DIT   PASTORECCIA                
LIEU-DIT   PASTORICCIA                
LIEU-DIT   PEALTO                     
LIEU-DIT   PEBICANO                   
LIEU-DIT   PEDALI                     
LIEU-DIT   PENTE GENEBRA              
LIEU-DIT   PENTONE                    
LIEU-DIT   PERO                       
LIEU-DIT   PEZZARELLI                 
LIEU-DIT   PIANA QUERCIOLA            
LIEU-DIT   PIANE                      
LIEU-DIT   PIANELLA                   
LIEU-DIT   PIANI BANNI                
LIEU-DIT   PIANI DI FOCALINI          
LIEU-DIT   PIANO                      
LIEU-DIT   PIARAJO                    
LIEU-DIT   PIEDILANDO                 
LIEU-DIT   PIEDIMONTANE               
LIEU-DIT   PIEDIROSSO                 
LIEU-DIT   PIEDROSSO                  
LIEU-DIT   PIETRA AL BELLO            
LIEU-DIT   PIETRA AL FERO             
LIEU-DIT   PIETRA FESSA               
LIEU-DIT   PIETRA LAVALLE             
LIEU-DIT   PIETRA MALA                
LIEU-DIT   PIETRA ROSSA               
LIEU-DIT   PIETRALBA                  
LIEU-DIT   PIETRALBO                  
LIEU-DIT   PIETRAROSSA                
LIEU-DIT   PINA TORTA                 
LIEU-DIT   PINE ALTO                  
LIEU-DIT   PINE TORTO                 
LIEU-DIT   PINELLO                    
LIEU-DIT   PINETO                     
LIEU-DIT   PINO                       
LIEU-DIT   PINZALONE                  
LIEU-DIT   PINZUTELLA                 
LIEU-DIT   POGGIE                     
LIEU-DIT   POGGIO                     
LIEU-DIT   POJOLETTA                  
LIEU-DIT   POJOLO                     
LIEU-DIT   PORCHE                     
LIEU-DIT   PORCILLI                   
LIEU-DIT   PORETTA                    
LIEU-DIT   POTRICA                    
LIEU-DIT   POZZERONE                  
