20151101
08         ARDENNES                      
RUE        DES TROIS CHATEAUX         
RUE        DE L OSERAIE               
RUE        DES EBURONS                
RUE        DU MONT JOLI               
RUE        DES ORMISSEAUX             
RUE        DU MOULIN DES ISLES        
RUE        DES LAVANDIERES            
RUE        DE LA GLACIERE             
ROUTE      D'AVANCON                  
RUE        DE LA GARENNE COLBERT      
PLACE      DE LA MARECHALERIE         
RUE        DU MOULIN D'ASSY           
RUE        DE COURBANCE               
RUE        DE LA NOETTE               
           commune :     AIGLEMONT                      departement : ARDENNES                      
PARC       LEJAY                      
LOT        LES BRUYERES               
LOT        MANICOURT                  
LOT        GRENET                     
           LA CRESSONNIERE            
           LE MOULIN                  
LIEU-DIT   DE L AUTRE COTE DE MANICOU 
LIEU-DIT   LE BAILLAGE                
LIEU-DIT   LA BAINE                   
LIEU-DIT   LA BASSE HAYETTE           
LIEU-DIT   LE BOCHET                  
LIEU-DIT   BOIS DE GRUCY              
LIEU-DIT   BOIS DE L EGLISE           
LIEU-DIT   BOIS DE MEZIERES           
LIEU-DIT   BOIS DE MONTCY             
LIEU-DIT   LA BOURRE                  
LIEU-DIT   SUR LA BOURRE              
LIEU-DIT   LE BRAS CASSE              
LIEU-DIT   LA CARROUEE                
LIEU-DIT   LE CENSUIT                 
LIEU-DIT   LE CERISIER                
LIEU-DIT   LE CHAMP AU DESSUS DE LA V 
LIEU-DIT   LE CHAMP BATAILLE          
LIEU-DIT   LE CHAMP PIED NEUF         
LIEU-DIT   LE CHAMP TOMBEREAU         
LIEU-DIT   LE CHARNIER                
LIEU-DIT   CHAUNUT NORD               
LIEU-DIT   CHAUNUT SUD                
LIEU-DIT   LE CHEMIN DE GRUCY         
LIEU-DIT   LA CLEF                    
LIEU-DIT   LA COLLINE                 
LIEU-DIT   LES COUPES DU PRE LE RENAR 
LIEU-DIT   COURTS CHAMPS              
LIEU-DIT   LA CROISETTE               
LIEU-DIT   LA CROIX BAUDET            
LIEU-DIT   LA CROIX GRENET            
LIEU-DIT   LA CROIX L HOMME MORT      
LIEU-DIT   LA CROIX LA HAUT           
LIEU-DIT   LE DELIVAL                 
LIEU-DIT   EN DESSOUS DE SENAUMONT    
LIEU-DIT   AU DESSUS DE DELIVAL       
LIEU-DIT   AU DESSUS DE SENAUMONT     
LIEU-DIT   AU DESSUS DU FOND DE LA MO 
LIEU-DIT   AU DESSUS DU FOND DE MANIL 
LIEU-DIT   AU DESSUS DU LARGE LIEU    
LIEU-DIT   AU DESSUS DU PAQUIS        
LIEU-DIT   LE DIFFERENT               
LIEU-DIT   AU DSU DE LA WOIBE D AIGLE 
LIEU-DIT   L ENCLOS                   
LIEU-DIT   ENTRE DEUX CHENES          
LIEU-DIT   ENTRE DEUX VOIES           
LIEU-DIT   L EPIGNEAU                 
LIEU-DIT   L EPINE                    
LIEU-DIT   L ETEIGNERE                
LIEU-DIT   LES ETINCELLES             
LIEU-DIT   LE FOND DE CHENEAU         
LIEU-DIT   LE FOND DE L EPINE         
LIEU-DIT   LE FOND DE LA MOYEU        
LIEU-DIT   LE FOND DE MANIL           
LIEU-DIT   LA GONIERE                 
LIEU-DIT   LA GRAVIERE                
LIEU-DIT   GRENET                     
LIEU-DIT   GRIMAUVAU                  
LIEU-DIT   LA HAIE JABLET             
LIEU-DIT   HAUT DE CHAUNUT            
LIEU-DIT   LA HAUTE HAYETTE           
LIEU-DIT   LA HAUTE ROSIERE           
LIEU-DIT   LES HAZELLES               
LIEU-DIT   SUR LES HAZELLES           
LIEU-DIT   JALOIS                     
