20151101
RUE        EMILE ZOLA                 
ALLEE      DES ERABLES                
RUE        ERNEST BILLIET             
AVENUE     DE L ETOILE                
SQUARE     EUGENE FAILLET             
RUE        EUGENIE EBOUE              
           CENTRE COMMERCIAL LE FLORE 
VILLA      FRANCOISE                  
           GARE ROUTIERE GABRIEL PERI 
AVENUE     DE LA GAITE                
ALLEE      HAAG                       
AVENUE     FAIDHERBE                  
VILLA      FAIDHERBE                  
RUE        FELIX FAURE                
AVENUE     FERRON                     
AVENUE     FLACHAT                    
MAR        FLACHAT                    
AVENUE     FLAMMARION                 
VILLA      DES FLEURS                 
RUE        DU FOSSE DE L AUMONE       
SQUARE     FRANCOIS FABIE             
RUE        FRANKLIN                   
AVENUE     FREDERIC ROUSTAN           
AVENUE     DES FRERES LUMIERES        
RUE        FREYCINET                  
AVENUE     GABRIEL PERI               
VC         METRO GABRIEL PERI         
RUE        GALLIENI                   
RUE        GAMBETTA                   
           GARE ASNIERES              
SQUARE     GAY LUSSAC                 
RUE        GASTON BONNIER             
RUE        DU GENERAL MANGIN          
PONT       DE GENNEVILLIERS           
SQUARE     GEORGES CLEMENCEAU         
RUE        GEORGES GUYNEMER           
RUE        GEORGES JANIN              
RUE        GEORGES SEURAT             
RUE        GILBERT ROUSSET            
GR         GR RUE CHARLES DE GAULLE   
PASSAGE    DE LA GRANDE RUE           
AVENUE     DES GRESILLONS             
RUE        DU GUIDE                   
AVENUE     GUILLEMIN                  
RUE        GUSTAVE CAILLEBOTTE        
CITE       HAAG                       
RUE        JULES HARDOUIN MANSARD     
RUE        HECTOR G FONTAINE          
AVENUE     HENRI BARBUSSE             
RUE        HENRI BERGSON              
RUE        HENRI MARTIN               
RUE        HENRI MOREAU               
RUE        HENRI PIGEON               
RUE        HENRI POINCARE             
MAR        HENRI POINCARE             
AVENUE     HENRI ROBERT               
VILLA      HENRIETTE                  
RUE        HENRI SAY                  
SQUARE     HEROULT                    
PASSAGE    HOMETTE                    
PLACE      DE L HOTEL DE VILLE        
AVENUE     IMBART LATOUR              
IMPASSE    DE L INDUSTRIE             
RUE        JACQUELINE AURIOL          
RUE        JACQUES DAVID              
IMPASSE    JACQUES DAVID              
RUE        DU JARDIN MODELE           
RUE        DES JARDINS                
AVENUE     JEAN BAPTISTE BAUDOIN      
VILLA      JEAN CHARLES               
PASSAGE    JEAN CHARLES               
VILLA      JEAN CHARLES               
RUE        JEAN DUSSOURD              
RUE        JEAN DUTILLOY              
RUE        JEAN JACQUES ROUSSEAU      
PLACE      JEAN JACQUES ROUSSEAU      
RUE        JEAN JAURES                
AVENUE     JEANNE                     
RUE        JEANNE D ARC               
SQUARE     JOFFRE                     
RUE        JOSEPH HEYMANN             
AVENUE     JULES DURAND               
RUE        JULES FERRY                
RUE        JULES GUESDE               
VILLA      LA LAUZIERE                
