20151101
45         LOIRET                        
LIEU-DIT   LES PETITES VIGNES         
LIEU-DIT   LES PETITS BERGERS         
LIEU-DIT   LES PETITS RICHES          
LIEU-DIT   LES PETRIERS               
LIEU-DIT   LES PHILIBERTS             
LIEU-DIT   LES PIARDS                 
LIEU-DIT   LES PIOLETS                
LIEU-DIT   LES POTINIERES             
LIEU-DIT   LA POULETIERE              
LIEU-DIT   PRES DE LA HULLERIE        
LIEU-DIT   PRES DES GOYARDS           
LIEU-DIT   PRES DES PHILLIBERTS       
LIEU-DIT   PRES DES VILLOTTES         
LIEU-DIT   LES QUARTIERS              
LIEU-DIT   LA ROUSELLERIE             
LIEU-DIT   LES SEPT ARPENS            
LIEU-DIT   LES SORNAUTS               
LIEU-DIT   TERRES DES GEVRILS         
LIEU-DIT   LES TERRES JAUNES          
LIEU-DIT   LES TREMBLAIS              
LIEU-DIT   LA TUILLERIE               
LIEU-DIT   LE VARGNAUD                
LIEU-DIT   LA VASELLIERE              
LIEU-DIT   CHAMP DES NOYERS           
           HAM HAM LE BERRY           
ROUTE      RTE DE FONTAINEJEAN        
ROUTE      RTE DE ROGNY               
           HAM LE BERRY               
ROUTE      DE FONTAINEJEAN            
ROUTE      DE ROGNY                   
RUE        DU BERRY                   
CHEMIN     DU BOIS DE LA BETE         
CHEMIN     DE LA HULLERIE             
ROUTE      DE CHAMPCEVRAIS            
CHEMIN     DE LA BENARDIERE           
IMPASSE    DE LA BENARDIERE           
           commune :     AMILLY                         departement : LOIRET                        
LOT        DES HAUTES FEUILLES        
ZI         ZONE INDUSTRIELLE          
LIEU-DIT   LES AMAURYS                
LIEU-DIT   L ARMOIRE                  
LIEU-DIT   L AUBERGE NEUVE            
LIEU-DIT   LES AULNES                 
LIEU-DIT   LES BARNABITES             
LIEU-DIT   LES BARRES                 
LIEU-DIT   LE BAS DU BUISSON          
LIEU-DIT   BAS DU GRAND CLOS          
LIEU-DIT   LES BASSES LOGES           
LIEU-DIT   LES BASSES VARENNES        
LIEU-DIT   LES BLARDS                 
LIEU-DIT   LES BODARDS                
LIEU-DIT   LE BOIS DE L ERABLE        
LIEU-DIT   LE BOIS DE LA BONDE        
LIEU-DIT   BOIS DE LA GOUSSERIE       
LIEU-DIT   LE BOIS DE LA LETHUMIERE   
LIEU-DIT   BOIS DE LA MAZURE          
LIEU-DIT   LE BOIS DE LA MOTHE        
LIEU-DIT   BOIS DE LA QUETINE         
LIEU-DIT   LES BOIS DE LA RUE CHEVRET 
LIEU-DIT   LE BOIS DE LA VALLEE DES R 
LIEU-DIT   BOIS DE VARENNE            
LIEU-DIT   BOIS DES AMAURYS           
LIEU-DIT   BOIS DES BILLONS           
LIEU-DIT   LE BOIS DES DAMES          
LIEU-DIT   BOIS DES POHUTS            
LIEU-DIT   LE BOIS DES PRES           
LIEU-DIT   LE BOIS DES SARADINS       
LIEU-DIT   LE BOIS DU CROT AUX RENARD 
LIEU-DIT   BOIS DU MARCHAIS FRINGUEUX 
