20151101
51         MARNE                         
LIEU-DIT   LES BANS                   
LIEU-DIT   LE BAS DU JOYER            
LIEU-DIT   LE BUISSON L EPINETTE      
LIEU-DIT   LE CHAMP L HUILIER         
LIEU-DIT   LE CHAMP LANGLOIS          
LIEU-DIT   LA CHAYERE                 
LIEU-DIT   LE CHEMIN DE CHALONS       
LIEU-DIT   LE CHEMIN DE CONDE         
LIEU-DIT   LE CHEMIN DE COUPE         
LIEU-DIT   LE CHEMIN DES BERGERS      
LIEU-DIT   LA COPITETTE               
LIEU-DIT   LES COTES D ISSE           
LIEU-DIT   LES COURT PRES             
LIEU-DIT   LES COURTS PRES            
LIEU-DIT   LA CROISETTE               
LIEU-DIT   LA CROYE                   
LIEU-DIT   LES CUIRS                  
LIEU-DIT   LA CULEE                   
LIEU-DIT   LA CUMIENNE                
LIEU-DIT   EN DESCENDANT LA CHEVRE    
LIEU-DIT   AU DESSOUS DE LA GLAYERE   
LIEU-DIT   L ECORCHE BOEUF            
LIEU-DIT   LE FAUX                    
LIEU-DIT   LES FRAICHATS              
LIEU-DIT   LA GLAYERE                 
LIEU-DIT   LA GRANDE CROIX            
LIEU-DIT   LA GRANDE NOUE L ABBE      
LIEU-DIT   LA GRANDE OSERAIE          
LIEU-DIT   LA GRANDE PATURE           
LIEU-DIT   LA GRAVELOTTE              
LIEU-DIT   LE GRAVIER NOTRE DAME      
LIEU-DIT   LE GROS BUISSON            
LIEU-DIT   LE HAUT DE LA CROYE        
LIEU-DIT   LA HAUTE BORNE             
LIEU-DIT   LE JUCHET                  
LIEU-DIT   LES LONGUES RAIES          
LIEU-DIT   LUSAIGNY                   
LIEU-DIT   LA MAIRIE                  
LIEU-DIT   LE MELIER                  
LIEU-DIT   LA MIRGALETTE              
LIEU-DIT   LE MONT                    
LIEU-DIT   LE MONT DE MARNE           
LIEU-DIT   LE MONT SAINT PIERRE       
LIEU-DIT   SUR NOUE                   
LIEU-DIT   LA NOUE DU PUITS           
LIEU-DIT   LA NOUE DU TUILET          
LIEU-DIT   LA NOUE L ABBE             
LIEU-DIT   LA PATURELLE               
LIEU-DIT   LE PETIT CHEMIN D ISSE     
LIEU-DIT   LA PETITE CROIX            
LIEU-DIT   LE PRE A L ECU             
LIEU-DIT   LE PRE DES MOINES          
LIEU-DIT   LE PRE SAINT PIERRE        
LIEU-DIT   LE PRE THUISY              
LIEU-DIT   LA QUEUE DU SERPENT        
LIEU-DIT   LA SAUSSAIE                
LIEU-DIT   TERME AUX DIENNES          
LIEU-DIT   TRAILLARDE                 
LIEU-DIT   LES TRAVERSINS             
LIEU-DIT   LE TUILET                  
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VOIE DE LA BONNE        
ROUTE      DE CHALONS                 
RUE        CHANZY                     
RUE        DE L EGLISE                
RUE        FAILLET                    
RUE        D ISSE                     
RUE        JOSEPH POULAIN GORET       
RUE        PASTEUR                    
RUE        NEUVE                      
PLACE      DE LA REPUBLIQUE           
RUE        DE LA REPUBLIQUE           
RUE        DE SUSAIGNY                
RUE        THIERS                     
RUE        SAINT ANTOINE              
CHEMIN     DE LA CHEVRE               
RUE        DE LA GRANDE CROIX         
ROUTE      DES GRANDES LOGES          
RUE        DE MADAGASCAR              
IMPASSE    DE LA NOUE                 
ALLEE      DES TEMPLIERS              
           commune :     ALLEMANCHE-LAUNAY-ET-SOYER     departement : MARNE                         
LIEU-DIT   DE L AUTRE COTE DU RU      
LIEU-DIT   LA BERNAGOUX               
LIEU-DIT   LES BOIS                   
LIEU-DIT   SUR LES BOIS               
LIEU-DIT   LES BOIS DE LAUNAY         
LIEU-DIT   BRAILLET                   
LIEU-DIT   LE CANAL DU MOULIN         
LIEU-DIT   LE CHAMP GATELOT           
LIEU-DIT   LE CHAMP LA BREBIS         
LIEU-DIT   LE CHAMP POTARD            
LIEU-DIT   LE CHAMP POTARD EST        
LIEU-DIT   LES CHAMPS DE BEURRE       
LIEU-DIT   LE CHANDELIER              
LIEU-DIT   LES CHARDONS               
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LA CHAUSSEE DE SAINT QUENT 
LIEU-DIT   LE CHEMIN BOUCHEROT        
LIEU-DIT   LE CHEMIN D ANGLURE        
LIEU-DIT   SUR LE CHEMIN DE LA CHAPEL 
LIEU-DIT   LE CHEMIN DE SAINT QUENTIN 
LIEU-DIT   LE CHEMIN DE SAUSSAIE      
LIEU-DIT   LE CHEMIN DES BOIS         
LIEU-DIT   LE CLOS                    
LIEU-DIT   LES COMMUNES               
LIEU-DIT   LA CORNEE                  
LIEU-DIT   LA CROIX DE LAUNAY         
LIEU-DIT   LE CUL DE VAL              
LIEU-DIT   DERRIERE L ALLEE           
LIEU-DIT   DERRIERE L EGLISE          
LIEU-DIT   DERRIERE SAUSSAIE          
LIEU-DIT   AU DESSUS DE SAUSSOIE      
LIEU-DIT   LA FERME DES BOIS          
LIEU-DIT   FERME DE SAUSSAIE          
LIEU-DIT   LA FONTAINE DE SAUSSAIE NO 
LIEU-DIT   LA FOSSE ARGENTIER         
LIEU-DIT   LA FOSSE AUX LADRES        
LIEU-DIT   LA FOSSE DAME JEANNE       
LIEU-DIT   LA FOSSE DE BRAILLET       
LIEU-DIT   LA FOSSE DU GRAND LEU      
LIEU-DIT   LA GARENNE DE SAUSSAIE     
LIEU-DIT   LE GRAND LEU               
LIEU-DIT   LE GRAND MARAIS            
LIEU-DIT   LA GRANDE CONTREE          
LIEU-DIT   LA GRANGE AUX MOINES       
LIEU-DIT   LE GUE DE MALLEBRANCHE     
LIEU-DIT   LE HAUT DE LA RIDE         
LIEU-DIT   LE HAUT DE SAUSSAIE        
LIEU-DIT   LE HAUT DES PONTS          
LIEU-DIT   LES ILES                   
LIEU-DIT   LE JARDINOT                
LIEU-DIT   LA JUSTICE                 
LIEU-DIT   LAUNAY                     
LIEU-DIT   LAUNAY HAMEAU              
LIEU-DIT   LE LIERRE                  
LIEU-DIT   LE LIERRE REMEMBRE         
LIEU-DIT   LE MARAIS COMMUN           
LIEU-DIT   LE MARAIS DE MORT D ADAM   
LIEU-DIT   LE MARAIS DES COMMUNES     
LIEU-DIT   LE MARAIS DU DESSECHEMENT  
LIEU-DIT   LES MARDELLES              
LIEU-DIT   LE MAZEAU PRIEUR           
LIEU-DIT   L ORME A LA PUCELLE        
LIEU-DIT   L ORME JEAN MENARD         
LIEU-DIT   LES OUCHES                 
LIEU-DIT   LA PATURE AU SABLE         
LIEU-DIT   LA PIECE DE L HOTEL DIEU   
LIEU-DIT   LES PLANCHES               
LIEU-DIT   LE PONT DES NOUES          
LIEU-DIT   LE PRESBYTERE              
LIEU-DIT   LES QUATRE BORNES          
LIEU-DIT   LES QUATRE CHEMINS         
LIEU-DIT   LA REMISE                  
LIEU-DIT   LA RESERVE                 
LIEU-DIT   SUR LA RESERVE             
LIEU-DIT   LA RIDE                    
LIEU-DIT   LA RUELLE                  
LIEU-DIT   LA RUELLE D ANGLURE        
LIEU-DIT   SAINT LAMBERT              
LIEU-DIT   LA SAUSSAIE                
LIEU-DIT   SAUSSAIE                   
LIEU-DIT   SOUS LA CROIX DE LAUNAY    
LIEU-DIT   SOYER HAMEAU               
LIEU-DIT   LE TILLARD AUX LOUPS       
LIEU-DIT   LES VALENCES               
LIEU-DIT   LE VALLOT                  
LIEU-DIT   LA VIGNE                   
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA COMMANDERIE             
LIEU-DIT   LA SAUSSOIE                
LIEU-DIT   LE LONG DE LA LIGNE        
LIEU-DIT   LE BUISSON QUINCET         
LIEU-DIT   LA FONTAINE AUX PRETRES    
LIEU-DIT   LE MARAIS DU SAULE         
LIEU-DIT   LE CHEM DE SAUSSAIE OUEST  
RUE        DU JARDINOT                
RUE        BERTHELIN                  
RUE        DU BOURDET                 
RUE        DE LA FOSSE ARGENTIER      
RUELLE     JULIEN                     
RUE        PORTOTE                    
RUELLE     ROUSSAT                    
RUE        DES TILLEULS               
           commune :     ALLEMANT                       departement : MARNE                         
LIEU-DIT   LES ALISIERS               
LIEU-DIT   LES AUGES                  
LIEU-DIT   BARABAN                    
LIEU-DIT   LA BARRE                   
LIEU-DIT   LE BAS DE CHALMONT         
LIEU-DIT   BAS RUYER                  
LIEU-DIT   BEAU REGARD                
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   BEAUSSIVAT                 
LIEU-DIT   LE BEL HERIEUX             
LIEU-DIT   BELVAS                     
LIEU-DIT   BEZUTELLE                  
LIEU-DIT   BOIS D ALLEMANT            
LIEU-DIT   BOIS DE BAILLY             
LIEU-DIT   BOIS DE VERGER             
LIEU-DIT   BOIS DU HAUT DEGRAIS       
LIEU-DIT   LES BOUCHOTS               
LIEU-DIT   BOY                        
LIEU-DIT   LE BUISSON MASSIAS         
LIEU-DIT   LE CARFOUR                 
LIEU-DIT   CHALMONT                   
LIEU-DIT   CHAMP BONNET               
LIEU-DIT   CHAMP COUSSIN              
LIEU-DIT   CHAMP DOYEN                
LIEU-DIT   LE CHAMP RENARD            
LIEU-DIT   CHAMPENOT                  
LIEU-DIT   CHARBUT                    
LIEU-DIT   LA CHARDRONNIERE           
LIEU-DIT   LA CHARME                  
LIEU-DIT   LES CHATAIGNIERS           
LIEU-DIT   CHATELET                   
