20151101
32         GERS                          
AVENUE     DE L'ARMAGNAC              
RUE        DES ARTS                   
RUE        DU BATAILLON DE L'ARMAGNAC 
CHEMIN     DE BLANIN                  
CHEMIN     DU BOIS                    
RUE        DU DUC DE BOUILLON         
PLACE      DU BOURGUET                
ROUTE      DE CASTELNAVET             
CHEMIN     DU CAROY                   
RUE        DES CASTORS                
RUE        DU CENTRE                  
CHEMIN     DE LA COUDETTE             
PLACE      DU COLONEL PARISOT         
RUE        DU DIX NEUF MARS 1962      
AVENUE     DU DOCTEUR DOUSSET         
ROUTE      D EAUZE                    
IMPASSE    DES ECOLES                 
RUE        DE L EGLISE                
RUE        DU FOIRAIL                 
RUE        DE LA GENDARMERIE          
RUE        GUILLAUME VITAL            
RUE        DE L HOTEL                 
RUE        DES JARDINS                
RUE        JULES FONTAN               
CHEMIN     DE LABOURDETTE             
CHEMIN     DE LASBERDESQUES           
CITE       DE LASBERDESQUES           
AVENUE     DE LA LIBERATION           
CHEMIN     DE NAOUCROUTS              
AVENUE     DE NAVARRE                 
CHEMIN     DU PERDIGAT                
IMPASSE    DE LA PISCINE              
ROUTE      DE PLAISANCE               
RUE        DU PRESBYTERE              
AVENUE     DES PYRENEES               
RUE        DE LA RAMPE                
ROUTE      DE RISCLE                  
RUE        SAINT SATURNIN             
IMPASSE    DU SOULAN                  
RUE        DE LA TOUR                 
CHEMIN     DE LA TUILERIE             
ROUTE      DE L USINE                 
RUE        DU VERGER                  
           commune :     ANSAN                          departement : GERS                          
LIEU-DIT   AU BIGOURDAN               
LIEU-DIT   AU BOIS                    
LIEU-DIT   A BORDE BLANCHE            
LIEU-DIT   A BORDENEUVE               
LIEU-DIT   AUX BOUSQUETS              
LIEU-DIT   A LA BRANE                 
LIEU-DIT   AU CAP DU BOSC             
LIEU-DIT   A ENBAUQUIER               
LIEU-DIT   A ENBENTARO                
LIEU-DIT   A ENCARRETE                
LIEU-DIT   ENCOUET                    
LIEU-DIT   AU GASCON                  
LIEU-DIT   AUX GAVAGES                
LIEU-DIT   AU HAQUET                  
LIEU-DIT   AU MAILLET                 
LIEU-DIT   A MESPLE                   
LIEU-DIT   A NOTAIRE                  
LIEU-DIT   AU PADOUEN                 
LIEU-DIT   A LA PAGUERE DES GAVAGES   
LIEU-DIT   A LA PAILLE                
LIEU-DIT   A PEREGAYRE                
LIEU-DIT   A LA RIBERE                
LIEU-DIT   A SAINT AGNAN              
LIEU-DIT   AU SOULAN                  
