20151101
01         AIN                           
LIEU-DIT   LES FONTANELLES            
LIEU-DIT   LES FONTANETTES            
LIEU-DIT   LES FRAICHES               
LIEU-DIT   LA GOUTTE                  
LIEU-DIT   LA GOUTTE FROIDE           
LIEU-DIT   CHEZ GOYET                 
LIEU-DIT   LES GRANDS ESSARTS         
LIEU-DIT   GRANGE MAILLET             
LIEU-DIT   AU GRANGEON                
LIEU-DIT   LES GRANGES                
LIEU-DIT   GROS NOYER                 
LIEU-DIT   GROUBE NOIRE               
LIEU-DIT   AUX GUICHARDIERES          
LIEU-DIT   EN LATARDON                
LIEU-DIT   A LA LAUZANNE              
LIEU-DIT   A LA LECHE                 
LIEU-DIT   LONGEMAUD                  
LIEU-DIT   MONT DE VAREY              
LIEU-DIT   SUR LA MOUETTA             
LIEU-DIT   SUR LE MOULIN              
LIEU-DIT   SUR LE MURET               
LIEU-DIT   DERRIERE PERRARAY          
LIEU-DIT   SOUS CHEZ PERROD           
LIEU-DIT   LA PERROSE                 
LIEU-DIT   SOUS PICOLLET              
LIEU-DIT   AU POIRIER BLANC           
LIEU-DIT   EN PRACHEL                 
LIEU-DIT   EN PRAZ MORE               
LIEU-DIT   PRECHAGNEBOUX              
LIEU-DIT   AUX PRES MONIN             
LIEU-DIT   A RATELIER                 
LIEU-DIT   A LA REFINAZ               
LIEU-DIT   SUR LE REPLAT              
LIEU-DIT   SUR REVORIAT               
LIEU-DIT   SUR LES ROUTES             
LIEU-DIT   LES SABLIERES              
LIEU-DIT   AU SANGUIGNOLLET           
LIEU-DIT   EN SASSU                   
LIEU-DIT   AUX TAILLIS DE LUIRE       
LIEU-DIT   EN TENEA                   
LIEU-DIT   SOUS TENEA                 
LIEU-DIT   SUR TENEA                  
LIEU-DIT   SOUS LA TOUR               
LIEU-DIT   SOUS LE TOUVET             
LIEU-DIT   AU TREMBLE                 
LIEU-DIT   AU VERGER                  
LIEU-DIT   AUX VIGNES BERARD          
LIEU-DIT   SOUS LA VIORBE             
LIEU-DIT   AUX VERNETTES              
LIEU-DIT   PRE LION                   
           commune :     AMBERIEU-EN-BUGEY              departement : 01         AIN                           
LOT        LA BARBOTIERE              
LOT        CARRE JEAN CLAUDE          
LOT        EN MARMOERAIN              
LOT        DU BEAU FAYARD             
LOT        LE CLOS DU GRANGEON        
LOT        LE CLOS LAMY               
LOT        LE CLOS LONGERAY           
LOT        LE CLOS DE LA FONTAINE     
LOT        LE PARC DE LA TOUR         
LOT        LE PARC DE LA PANICIERE    
LOT        LE PRE MURAT               
LOT        LES PRES DU TIRET          
LOT        EN POINT BOEUF             
LOT        LE PUBLE                   
LOT        VALLON DE LA JACINIERE     
CITE       H L M RUE RESISTANCE       
LIEU-DIT   AUX ABBEANCHES             
LIEU-DIT   LES ALLYMES                
LIEU-DIT   AMBERIEU VILLE             
LIEU-DIT   LES ARAIGNEES              
LIEU-DIT   AUX AREINES                
LIEU-DIT   L AVIATION                 
LIEU-DIT   AUX AVRESSINS              
LIEU-DIT   LES BALMES                 
LIEU-DIT   LES BALMETTES NORD         
LIEU-DIT   LES BALMETTES SUD          
LIEU-DIT   LA BARATIERE               
LIEU-DIT   LA BARBOTIERE              
LIEU-DIT   LES BARMOZ                 
LIEU-DIT   LA BARRE                   
LIEU-DIT   LA BATISSE                 
LIEU-DIT   AUX BATOLIERES             
LIEU-DIT   LES BEFONNIERES            
LIEU-DIT   BELLIEVRE                  
LIEU-DIT   AU BELLONAZ                
LIEU-DIT   LE BEUBLE                  
LIEU-DIT   BOIS CANAIT                
LIEU-DIT   BOIS DE JUIN               
LIEU-DIT   BOIS DE JUY                
LIEU-DIT   BOIS DE LA ROCHETTE        
LIEU-DIT   BOIS DE RESERVE            
LIEU-DIT   BOIS DE VANT               
LIEU-DIT   BOIS JEANPAS               
LIEU-DIT   LA BOISSIERE               
LIEU-DIT   BONNE CHERE                
LIEU-DIT   EN BOURBOUILLON            
LIEU-DIT   BREDEVENT                  
LIEU-DIT   LA BRETONIERE              
LIEU-DIT   LA BRILLATTE               
LIEU-DIT   AU BRODET                  
LIEU-DIT   LA BROSSE                  
LIEU-DIT   AUX BROSSES                
LIEU-DIT   AU BUISSON                 
LIEU-DIT   BUISSON COLLOMB            
LIEU-DIT   LA CALLIATIERE             
LIEU-DIT   CARRE BAUDIN               
LIEU-DIT   CARRE JOBERT               
LIEU-DIT   CARRE MONIN                
LIEU-DIT   CARRE PETRAT               
LIEU-DIT   CARRE ROCHER               
LIEU-DIT   CARRE SIRAND               
LIEU-DIT   LA CARRIERE                
LIEU-DIT   CARRONNIERE                
LIEU-DIT   LA CARRONNIERE EST         
LIEU-DIT   LA CHABODE                 
LIEU-DIT   AUX CHAFFEAUX              
LIEU-DIT   CHAGNEUX                   
LIEU-DIT   LE CHAMP                   
LIEU-DIT   CHAMP DARMY                
LIEU-DIT   CHAMP DE LA CROIX          
LIEU-DIT   AU CHAMP DE LA FONTAINE    
LIEU-DIT   AU CHAMP DE LA FONTAINE SU 
LIEU-DIT   CHAMP DE SAUSE             
LIEU-DIT   CHAMP FOURRIER             
LIEU-DIT   CHAMP PERRAY               
LIEU-DIT   CHAMPACHANAZ               
LIEU-DIT   CHAMPO                     
LIEU-DIT   A CHAMPO                   
LIEU-DIT   A CHANVES                  
LIEU-DIT   AUX CHAPELIERES            
LIEU-DIT   CHARVET                    
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   CHATEAU DES ECHELLES       
LIEU-DIT   LA CHATELAINE              
LIEU-DIT   AUX CHAZEAUX               
LIEU-DIT   LES CHENEVIERES            
LIEU-DIT   CHEZ GRANGE                
LIEU-DIT   CHEZ PERRAUDET             
LIEU-DIT   CHEZ PERRET                
LIEU-DIT   CHEZ SADET                 
LIEU-DIT   LA CHINTRE                 
LIEU-DIT   LA CITADELLE               
LIEU-DIT   AU CLODOZ                  
LIEU-DIT   AU CLOS                    
LIEU-DIT   CLOS DE TIRET              
LIEU-DIT   CLOS DE TRICAUD            
LIEU-DIT   LE CLOS MOLARD             
LIEU-DIT   LA COMBE A SADET           
LIEU-DIT   COMBE BERT                 
LIEU-DIT   COMBE FOURNIER             
LIEU-DIT   LA COMBETTE                
LIEU-DIT   LA COMBETTE CENTRE         
LIEU-DIT   LA COMBETTE NORD           
LIEU-DIT   AUX COMBETTES              
LIEU-DIT   LA COTE                    
LIEU-DIT   AU COTERON                 
LIEU-DIT   COTES BION                 
LIEU-DIT   COTES DANIEL               
LIEU-DIT   LES COTES DE GIS           
LIEU-DIT   COTES DE PARAVIS           
LIEU-DIT   COTES DU CHATEAU           
LIEU-DIT   EN COUR                    
LIEU-DIT   LES COURBES                
LIEU-DIT   LA COURTE PRAYE            
LIEU-DIT   EN CRACONNOD               
LIEU-DIT   AU CRETET                  
LIEU-DIT   LE CRUIT                   
LIEU-DIT   CUSSET                     
LIEU-DIT   DAREZE                     
LIEU-DIT   LA DAUFINE                 
LIEU-DIT   DERRIERE FOURRIER          
LIEU-DIT   DERRIERE LES GRANGES       
LIEU-DIT   SUR LA DHUIT               
LIEU-DIT   LA DHUIT                   
LIEU-DIT   AUX DOREES                 
LIEU-DIT   LA DRAY                    
LIEU-DIT   L ECARTELEE                
LIEU-DIT   A L ESCALIER               
LIEU-DIT   FABRIQUE                   
LIEU-DIT   LA FANDOUZE                
LIEU-DIT   FONTALINE                  
LIEU-DIT   LA FORET                   
LIEU-DIT   EN FOSSARD                 
LIEU-DIT   LA GARE                    
LIEU-DIT   AUX GOUTTES                
LIEU-DIT   LES GOUVIERES              
LIEU-DIT   SUR GRACIEUX               
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   LES GRANDES ILES           
LIEU-DIT   GRANDES SEILLIERES         
LIEU-DIT   GRANGEON DIEU              
LIEU-DIT   AU GRANGEON QUARAS         
LIEU-DIT   LES GREMODIERES            
LIEU-DIT   LA GRIFFONIERE             
LIEU-DIT   LA GROELATTE               
LIEU-DIT   AUX GROLLELLEX             
LIEU-DIT   AU GUILLERME               
LIEU-DIT   LA GUILLOTIERE             
LIEU-DIT   LA GUINGUETTE              
LIEU-DIT   HAUT VAREILLES             
LIEU-DIT   EN HORTIERE                
LIEU-DIT   JEAN DE PARIS              
LIEU-DIT   AUX JOURNELONS             
LIEU-DIT   LALLUMET                   
LIEU-DIT   LALLUMET DE BREDEVENT      
LIEU-DIT   AU LAQUET                  
LIEU-DIT   AUX LARDELIERES            
LIEU-DIT   LARRETTE                   
LIEU-DIT   AUX LATTES                 
LIEU-DIT   LAYAT                      
LIEU-DIT   LA LECHERE                 
LIEU-DIT   LA LECHERE EST             
LIEU-DIT   EN LESSARD                 
LIEU-DIT   LETANCHE                   
LIEU-DIT   LA LIACIERE                
LIEU-DIT   LA LONGE RAY               
LIEU-DIT   LONGE RAY NORD             
LIEU-DIT   LONGEFOND                  
LIEU-DIT   LES MACHARDES              
LIEU-DIT   LA MALADIERE               
LIEU-DIT   MALATRET                   
LIEU-DIT   A MANTOBAN                 
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LA MARE GRAND              
LIEU-DIT   EN MARMOERAIN              
LIEU-DIT   EN MARMORAIN               
LIEU-DIT   EN MARTEL                  
LIEU-DIT   LE MAUVAIS PAS             
LIEU-DIT   LE MOLARD                  
LIEU-DIT   AU MOLLARD                 
LIEU-DIT   EN MOLLARD JOLY            
LIEU-DIT   SUR MOLLON                 
LIEU-DIT   MONT A PLAN                
LIEU-DIT   MONT CAHIER                
LIEU-DIT   MORELON                    
LIEU-DIT   MOULIN D EN HAUT           
LIEU-DIT   A LA MULE                  
LIEU-DIT   LE NAN                     
LIEU-DIT   SUR NANTET                 
LIEU-DIT   AU NAVET EST               
LIEU-DIT   AU NAVET OUEST             
LIEU-DIT   EN PAILLETANT              
LIEU-DIT   LA PANICIERE               
LIEU-DIT   LA PANISSETTE              
LIEU-DIT   EN PARAVIS                 
LIEU-DIT   AUX PARFATIERES            
LIEU-DIT   LA PELIERE                 
LIEU-DIT   PENDANT EST                
LIEU-DIT   EN PENDANT OUEST           
LIEU-DIT   EN PERABOZ                 
LIEU-DIT   LA PEROUSE                 
LIEU-DIT   LA PEROUSE EST             
LIEU-DIT   LA PEROUSE NORD            
LIEU-DIT   LA PEROUSE OUEST           
LIEU-DIT   LA PEROUSE SUD             
LIEU-DIT   SUR PERRET                 
LIEU-DIT   AU PERRIER RIOM EST        
LIEU-DIT   AU PERRIER RIOM OUEST      
LIEU-DIT   LA PETITE BARRE            
LIEU-DIT   PIERRE A SEIN              
LIEU-DIT   PIERRE TAILLEE             
LIEU-DIT   LE PLAN                    
LIEU-DIT   LES PLANTEES DE LA MALADIE 
LIEU-DIT   AU PLAT BRULE              
LIEU-DIT   LE PLAT DE LA CROZE        
LIEU-DIT   AU PLAT NORD               
LIEU-DIT   AU PLAT SUD                
LIEU-DIT   LE PLATRE                  
LIEU-DIT   LES PLATTES                
LIEU-DIT   LA POEPE                   
LIEU-DIT   LA POEPE NORD              
LIEU-DIT   LA POEPE SUD               
LIEU-DIT   EN POINT BOEUF             
LIEU-DIT   EN PORRAY                  
LIEU-DIT   EN PRAGNAT NORD            
LIEU-DIT   EN PRAGNAT SUD             
LIEU-DIT   PRE BRONDEL                
LIEU-DIT   PRE DAGNAT                 
LIEU-DIT   AU PRE DE LA BOFFE         
LIEU-DIT   AU PRE DE LA CHAPELLE      
LIEU-DIT   AU PRE DES ILES            
LIEU-DIT   PRE MARBOZ                 
LIEU-DIT   PRE MILLET                 
LIEU-DIT   PRE ROUSSET                
LIEU-DIT   PRE SANGOUX                
LIEU-DIT   PRES COCHARD               
LIEU-DIT   PRES DE CHAGNEUX           
LIEU-DIT   PRES DE NANTET             
LIEU-DIT   PRES DU FOUR               
