20151101
70         HAUTE SAONE                   
RUE        DES VERGERS                
RUE        DE LA VIERGE               
RUE        DE VILLERS                 
RUE        DE LA GRANDE VOYE          
RUE        DE LA CHARME               
           commune :     ABONCOURT-GESINCOURT           departement : HAUTE SAONE                   
LIEU-DIT   AUX AIGES                  
LIEU-DIT   LES AIGROLLES              
LIEU-DIT   EN BAUDIREUX               
LIEU-DIT   LE BOIS DE GESINCOURT      
LIEU-DIT   BOIS DE LA LEUT            
LIEU-DIT   BOIS DU CHANOIS            
LIEU-DIT   LA BRANCARDE               
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LE BREUILLOT 1ER CANTON    
LIEU-DIT   LE BREUILLOT 2EME CANTON   
LIEU-DIT   LES BREULEUX               
LIEU-DIT   LA BREVASSE                
LIEU-DIT   EN BRISEVATEY ET LA COTE   
LIEU-DIT   BROSSE MORCHIE OU BOIS BER 
LIEU-DIT   BUISSON DES VERNES         
LIEU-DIT   LE CHAMPLOT                
LIEU-DIT   CHAMPS DES MOUREY          
LIEU-DIT   CHAMPS JALLANS             
LIEU-DIT   CHAMPS LANOIR              
LIEU-DIT   CHAMPS VALLONS             
LIEU-DIT   EN CHANEY                  
LIEU-DIT   CHENE AUBRY                
LIEU-DIT   LE CHENE AUBRY             
LIEU-DIT   LES COMBES                 
LIEU-DIT   LES CORVEES                
LIEU-DIT   COTE RABEUX                
LIEU-DIT   EN COURBEY                 
LIEU-DIT   DERRIERE LE CHANOIS        
LIEU-DIT   DERRIERE LES VERGERS       
LIEU-DIT   AU DESSUS DE LA MOTTE      
LIEU-DIT   AU DESSUS DES VIGNES DE LU 
LIEU-DIT   AU DESSUS DES VIGNES DE ME 
LIEU-DIT   AU DESSUS DES VIGNES 1E CA 
LIEU-DIT   AU DESSUS DES VIGNES 2E CA 
LIEU-DIT   L ENSEINGE DES PREIS       
LIEU-DIT   L ENSEINGE 1ER CANTON      
LIEU-DIT   L ENSEINGE 2EME CANTON     
LIEU-DIT   EN L EPENEUX               
LIEU-DIT   LES ESSARDS                
LIEU-DIT   AUX ESSARTS                
LIEU-DIT   EN LA FEUILLE RENVERSEE    
LIEU-DIT   LE GRAND SORBIER           
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LA GROSSE BORNE            
LIEU-DIT   LA LIMACE                  
LIEU-DIT   EN MAITRE BILLON           
LIEU-DIT   EN MENIGOZ                 
LIEU-DIT   LES MONTANTS               
LIEU-DIT   LA MOTTE                   
LIEU-DIT   EN NARPEAUX                
LIEU-DIT   LA NOUE 1ER CANTON         
LIEU-DIT   LA NOUE 2EME CANTON        
LIEU-DIT   EN L OGNON                 
LIEU-DIT   EN LA PAULE                
LIEU-DIT   EN PEZERIS                 
LIEU-DIT   AUX PIECES                 
LIEU-DIT   EN PLATEY                  
LIEU-DIT   EN PLEINEY                 
LIEU-DIT   LA POMMERAIE               
LIEU-DIT   PRE JACQUARD               
LIEU-DIT   PRE MOLLOT                 
LIEU-DIT   SUR PRE MOLLOT             
LIEU-DIT   PRES DE LA COUAUX          
LIEU-DIT   PRES DE LA LEUT            
LIEU-DIT   PRES SOUS LE CHANOIS       
LIEU-DIT   EN RAPERMA                 
LIEU-DIT   REVERS DE PLEINEY          
LIEU-DIT   RONDES PLANCHES            
LIEU-DIT   EN ROUSSEMENT              
LIEU-DIT   EN SCEVA                   
LIEU-DIT   LA SEMELLE                 
LIEU-DIT   EN LA SENOTTE              
LIEU-DIT   SOUS LE CHANOIS            
LIEU-DIT   EN TONNEY                  
LIEU-DIT   LES TREMBLOIS 1ER CANTON   
LIEU-DIT   LES TREMBLOIS 2EME CANTON  
LIEU-DIT   AUX TUPES                  
LIEU-DIT   VIGNES DE LA LUDORE        
LIEU-DIT   VIGNES DE MENUE            
LIEU-DIT   VIGNES DU CROT             
LIEU-DIT   LE VILLAGE D ABONCOURT     
LIEU-DIT   LE VILLAGE DE GESINCOURT   
LIEU-DIT   SOUS LA SENOTTE            
LIEU-DIT   SUR LES AIGES              
LIEU-DIT   SUR LA BREVASSE            
LIEU-DIT   LE BREUILLOT               
LIEU-DIT   CHAMPS BARMONT             
LIEU-DIT   SUR LES GRANDS CHAMPS      
LIEU-DIT   SUR LES PRES CAUTINS       
LIEU-DIT   SUR LA SEMELLE             
LIEU-DIT   SUR LES TREMBLOIS          
LIEU-DIT   SUR LES TUPES              
RUE        DE BAULAY                  
CHEMIN     DU BLAIREAU                
RUE        DU BREUIL                  
RUE        DES CHENEVIERES            
RUE        DU CHANEY                  
RUE        DE LA LEUT                 
RUE        DES CORVEES                
ROUTE      DE FOUCHECOURT             
PLACE      DE  LA MAIRIE              
RUE        DES MONTANTS               
