20151101
78         YVELINES                      
RUE        ROBERT SCHUMAN             
RUE        DE ROCHEFORT               
RUE        DES SOEURS DE SAINT PAUL   
GR         GDE RUE                    
CHEMIN     CR 14                      
RUE        DE LA TOUR                 
RUE        DE LA TOURELLE DU COQ      
RUE        DU TRAITE DE ROME          
RUE        DES TROIS MOULINS          
RUE        DU VIEUX CHEM DE PARIS     
IMPASSE    VICTOR HUGO                
RUE        VICTOR SCHOELCHER          
CHEMIN     VICINAL 5                  
CHEMIN     DES VIGNES                 
CHEMIN     DU VIEUX CHATEAU           
RUE        DE WENDELSHEIM             
RUE        DES YVELINES               
           commune :     ACHERES                        departement : YVELINES                      
RESIDENCE  L OREE DU BOIS             
RESIDENCE  PLANTES D  ENNEMONT        
CITE       DES SINISTRES              
CITE       D URGENCE                  
RESIDENCE  CHAMPS DE VILLARS          
RESIDENCE  DU CLOS DES VIGNES         
RESIDENCE  RESIDENCE LA BARRICADE     
CENTRE     COMMERCIAL D ENNEMONT      
CENTRE     COMMERCIAL CORAIL          
LIEU-DIT   L ACUL DE CONFLANS         
LIEU-DIT   L ACUL DES PIEUX           
LIEU-DIT   L AMBLEVILLE               
LIEU-DIT   LA BARRICADE               
LIEU-DIT   LES BASSES PLAINES         
LIEU-DIT   LES BAUCHES                
LIEU-DIT   LE BOUT DES TERRES D ENNEM 
LIEU-DIT   LE CHAMP DE VILLARD SUD    
LIEU-DIT   LE CHAMP MILLET            
LIEU-DIT   LES CHAMPS DE VILLARS      
LIEU-DIT   CHAMPTIER DU CLOCHER       
LIEU-DIT   LE CHENE FEUILLU           
LIEU-DIT   LE CLOS A MARTIN LE ROI    
LIEU-DIT   LE CLOS DES VIGNES NORD    
LIEU-DIT   LE CLOS DES VIGNES SUD     
LIEU-DIT   LE CLOS DU SEIGNEUR        
LIEU-DIT   LES COMMUNES               
LIEU-DIT   DEVANT LE MAGASIN          
LIEU-DIT   ENTRE LES DEUX CHEMINS     
LIEU-DIT   ENTRE LES DEUX CHEMINS NOR 
LIEU-DIT   EN FACE DU PORT AUX BICHES 
LIEU-DIT   EN FACE DU PORT D HERBLAY  
LIEU-DIT   FERME DE LA GARENNE        
LIEU-DIT   LES FONCEAUX               
LIEU-DIT   LES FONDS NORD             
LIEU-DIT   LES FONDS SUD              
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LA FOSSE BIDAN             
LIEU-DIT   LES GENIERES               
LIEU-DIT   LES GROSSES PIERRES        
LIEU-DIT   LES HAUTES PLAINES         
LIEU-DIT   LE LONG BOYAU              
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LA MARE AUX CANES OUEST    
LIEU-DIT   LA MARE AUX CANNES         
LIEU-DIT   LES MARMOUZETS             
LIEU-DIT   LE MONT SOURIS             
LIEU-DIT   LA PETITE ARCHE            
LIEU-DIT   PIECE DE LA GRANDE ARCHE   
LIEU-DIT   LES PLANTES D ENNEMONT     
LIEU-DIT   ROCOURT                    
LIEU-DIT   LES RUINES                 
LIEU-DIT   LE SAINT ANGE              
LIEU-DIT   LA SENTE D EN BAS          
LIEU-DIT   LES SOUCHES                
LIEU-DIT   LE TROU DU MILIEU          
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES 16 ARPENTS             
LIEU-DIT   LES 18 ARPENTS             
LIEU-DIT   LES 60 ARPENTS             
LIEU-DIT   LA GARE                    
LIEU-DIT   LES PLANTES D'ENNEMONT EST 
LIEU-DIT   PAVILLON DE LA GARENNE     
RESIDENCE  PAVILLON DES FONCEAUX      
           LIMITES ADMINISTRATIVES    
           LIGNES SNCF                
           LA SEINE                   
RUE        ACHILLE LEONARD            
RUE        AIME BONNA                 
VOIE       ALBIN DESMAZES             
RUE        ALFRED KASTLER             
AVENUE     ALICE                      
IMPASSE    DES ALLIES                 
ALLEE      DES ALOUETTES              
           LIEUDIT D AMBLEVILLE       
ALLEE      ANDRE CHENIER              
ALLEE      ANDRE MALRAUX              
CHEMIN     D ANDRESY                  
PLACE      ANNE FRANK                 
RUE        ANTOINE DE CONDORCET       
ALLEE      ARLETY                     
ALLEE      DES BOUVIERS               
RUE        BERNARD BLIER              
RUE        DES BAUCHES                
CHEMIN     DES BASSES PLAINES         
CHEMIN     DES BAUCHES                
RUE        BASSE                      
ALLEE      DES BOUVREUILS             
ALLEE      DES BRUYERES               
PLACE      DES BRUYERES               
ALLEE      DES BLEUETS                
ALLEE      BORIS VIAN                 
RUE        CAMILLE ET LUCILE DESMOULI 
RUE        CARNOT                     
ALLEE      CARMAGNOLE                 
RUE        DES CARRIERES              
ALLEE      DU  CELERI                 
COUR       MARTINE CAROL              
