20151101
54         MEURTHE ET MOSELLE            
LIEU-DIT   LE FOUILLOT                
LIEU-DIT   FRAHAUT                    
LIEU-DIT   AU GAYOIR                  
LIEU-DIT   GRAND BREUIL               
LIEU-DIT   GRAND TOILLIER             
LIEU-DIT   GRANDE CIRE                
LIEU-DIT   GRANDES GOUTTES            
LIEU-DIT   GRIVELE                    
LIEU-DIT   AUX HAIES                  
LIEU-DIT   HAUT DU FOSSIEUX           
LIEU-DIT   JARBURE                    
LIEU-DIT   JARDINS DU GENDARME        
LIEU-DIT   LA JUSTICE                 
LIEU-DIT   LONGUES PIECES             
LIEU-DIT   LE MALPERTUIS              
LIEU-DIT   MALVAY                     
LIEU-DIT   MASSERIE                   
LIEU-DIT   LE MENUS BOIS              
LIEU-DIT   MOITRAN FONTAINE           
LIEU-DIT   MOITRE                     
LIEU-DIT   LE PAQUIS                  
LIEU-DIT   PAQUIS DE FRENOT           
LIEU-DIT   PAQUIS DEVANT L OSIERE     
LIEU-DIT   PAQUIS DEVANT LUCON        
LIEU-DIT   PETITE CIRE                
LIEU-DIT   PRE CHEBAS                 
LIEU-DIT   PRECLE                     
LIEU-DIT   PRES DE BALHAYE            
LIEU-DIT   PRES DE NAVIONRUX          
LIEU-DIT   PUGET                      
LIEU-DIT   RETOMBOIS                  
LIEU-DIT   LE ROUOT                   
LIEU-DIT   RUCHARD                    
LIEU-DIT   RUCHARD DEVANT L OSIERE    
LIEU-DIT   RUE BASSE                  
LIEU-DIT   SAINT PIERRE PRE           
LIEU-DIT   SAUVREUIL                  
LIEU-DIT   SOULATE                    
LIEU-DIT   SOUS LE JARD               
LIEU-DIT   TAILLEBAUDE                
LIEU-DIT   TOURNANT SUR LA TAILLEBAND 
LIEU-DIT   TOURNIERE DU MONTEL        
LIEU-DIT   AUX TREMBLES               
LIEU-DIT   LA TUILERIE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   VINOFFE                    
LIEU-DIT   CITE DES TUILERIES         
LIEU-DIT   PERNOISE                   
LIEU-DIT   NOIRCHAMP                  
LIEU-DIT   RENFOSSE                   
RUE        BASSE                      
RUE        DE BEUVEZIN                
RUE        DU CIMETIERE               
ROUTE      DE GRIMONVILLER            
RUE        HAUTE                      
RUE        DE ROSE                    
RUE        DE SAINT PIERRE PRE        
RUE        DES ROSES                  
RUE        DU MONT                    
RUE        DU PAQUIS                  
RUE        DU PATIS                   
RUE        DES ROSES                  
RUE        DES ROSES                  
RUE        DE SAINT PIERRE PRE        
           commune :     AFFLEVILLE                     departement : MEURTHE ET MOSELLE            
LIEU-DIT   LES AUNOYS                 
LIEU-DIT   BAYONVILLE                 
LIEU-DIT   BOIS MENUSEILLE            
LIEU-DIT   BOUL RENARD                
LIEU-DIT   LA CAURE                   
LIEU-DIT   LES CERCLES                
LIEU-DIT   CHEM DU VIEUX BOIS         
LIEU-DIT   CHP COQUIN                 
LIEU-DIT   CHP HECHE                  
LIEU-DIT   LA CONFRERY                
LIEU-DIT   CONROYE                    
LIEU-DIT   CORNAUX                    
LIEU-DIT   CORNEZ MORAIN              
LIEU-DIT   LA COUILLERE               
LIEU-DIT   COULE BATARD               
LIEU-DIT   CREVE                      
LIEU-DIT   LA CRX D AIX               
LIEU-DIT   DEVANT MONTAUBAN           
LIEU-DIT   DSO SIEGE                  
LIEU-DIT   L EPINETTE                 
LIEU-DIT   SUR LES ETANGS             
LIEU-DIT   LES ETANGS                 
LIEU-DIT   LES FOIREUSES              
LIEU-DIT   FOND DE GUINVAUX           
LIEU-DIT   FOND DU JA                 
LIEU-DIT   FOSSE DE POTIER            
LIEU-DIT   LES FOURNAUX               
LIEU-DIT   GD ARCHIBOIS               
LIEU-DIT   LE GD BREUILLE             
LIEU-DIT   GD SOEURY                  
LIEU-DIT   GDE HUILE                  
LIEU-DIT   LA GENEVE                  
LIEU-DIT   GUINVAUX                   
LIEU-DIT   HERBECHAMP                 
LIEU-DIT   HERLOTE                    
LIEU-DIT   HT DE CONROYE              
LIEU-DIT   HT DES HUIPPES             
LIEU-DIT   LA HUTTE                   
LIEU-DIT   LE JARDINET                
LIEU-DIT   LES JILLONS                
LIEU-DIT   LA LANGUE DE BOEUF         
LIEU-DIT   LAPCHIERE                  
LIEU-DIT   LONGS JOURS                
LIEU-DIT   LA LOUVIERE                
LIEU-DIT   LES MAILLES                
LIEU-DIT   LA MALADRY                 
LIEU-DIT   SUR MAXIERE                
LIEU-DIT   MAXIERE                    
LIEU-DIT   MESIRE ROBERT              
LIEU-DIT   MONT DES FAYEES            
LIEU-DIT   MONTAUBAN                  
LIEU-DIT   MONTEZ                     
LIEU-DIT   MUZERY                     
LIEU-DIT   AUX PENDUS                 
LIEU-DIT   PETREMINY                  
LIEU-DIT   POERILLONS                 
LIEU-DIT   PONT D OTHAIN              
LIEU-DIT   PRE AU CHENE               
LIEU-DIT   PRE DIEU                   
LIEU-DIT   PRE LE PRETRE              
LIEU-DIT   PREDIDOT                   
LIEU-DIT   PT ARCHIBOIS               
LIEU-DIT   LA PTE VIGNE               
LIEU-DIT   RAYEU LA DAME              
LIEU-DIT   SARY FONTAINE              
LIEU-DIT   LA SAUCOTTE                
LIEU-DIT   TERRES BLANCHES            
LIEU-DIT   LA THUILERIE               
LIEU-DIT   TRAVERSANT CHEM DU VIEUX B 
LIEU-DIT   VARYPRE                    
LIEU-DIT   VIEUX TOCQ                 
LIEU-DIT   LE VLG                     
LIEU-DIT   SORE                       
RUE        DU BOIS                    
RUE        DU CHATEAU                 
RUE        MONTAUBAN                  
RUE        DES ECOLES                 
GR         GRAND RUE                  
RUE        MONTAUBAN                  
RUE        DU VIEUX MOULIN            
           commune :     AFFRACOURT                     departement : MEURTHE ET MOSELLE            
LIEU-DIT   LA BELLE HAOUI             
LIEU-DIT   BOIS D ARBURES             
LIEU-DIT   LES CHAUFOURS              
LIEU-DIT   CHEMIN DE SION             
LIEU-DIT   CHENAMONT                  
LIEU-DIT   LA COTE                    
LIEU-DIT   CROIX MARTIN               
LIEU-DIT   SUR DELOUZE                
LIEU-DIT   FONTENELLES                
LIEU-DIT   FROUEMONT                  
LIEU-DIT   GRAND BOIS                 
LIEU-DIT   GRAND BREUIL               
LIEU-DIT   GRANDE CHOVE               
LIEU-DIT   GRANDES SALIERES           
LIEU-DIT   GRANDS BOIS                
LIEU-DIT   GRANDS JARDINS             
LIEU-DIT   HAIE LE LOUP               
LIEU-DIT   HAIE VOIRA                 
LIEU-DIT   LA HAIE VOIRA              
LIEU-DIT   LE HAN                     
LIEU-DIT   HAUT DES VIGNES            
LIEU-DIT   LE MADIANT                 
LIEU-DIT   LES MORCES                 
LIEU-DIT   LES MORSES                 
LIEU-DIT   LES NOUES                  
LIEU-DIT   PAQUIS DE FOLLE            
LIEU-DIT   SUR LE PAQUIS DE FOLLE     
LIEU-DIT   PAQUIS DE LA MAZIERE       
LIEU-DIT   PAQUIS LA BORDE            
LIEU-DIT   PETIT VIGNOBLE             
LIEU-DIT   LA PETITE FIN              
LIEU-DIT   PETITE SALIERE             
LIEU-DIT   LA POUILLERIE              
LIEU-DIT   LE PRAYEL                  
LIEU-DIT   LES QUEUES DE CHATS        
LIEU-DIT   LES RAYEUX                 
LIEU-DIT   SUR ROLAND                 
LIEU-DIT   LES ROUAUX                 
LIEU-DIT   SOUS MORELOUP              
LIEU-DIT   SOUS VRAINCOTE             
LIEU-DIT   TILLOMBOIS                 
LIEU-DIT   VERS ARBURES               
LIEU-DIT   LE VIEUX RUPT              
LIEU-DIT   VIGNES DE NABONCOURT       
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE FER A CHEVAL            
RUE        BASSE                      
RUE        DE LA BRULEE               
RUELLE     DE L EGLISE                
GR         GRANDE RUE                 
RUE        DE XIROCOURT               
ROUTE      D HAROUE                   
RUE        DE LA MAZIERE              
RUE        DE SION                    
RUE        PRINCIPALE                 
RUE        SOUS MONVAUX               
           commune :     AGINCOURT                      departement : MEURTHE ET MOSELLE            
LIEU-DIT   LES ALLANTES               
LIEU-DIT   BAN DE LAYE                
LIEU-DIT   BAN DE VILLERS             
LIEU-DIT   BAS PRIEUX                 
LIEU-DIT   LA BATLURE                 
LIEU-DIT   BELLES FILLES              
LIEU-DIT   LA BERNETTE                
LIEU-DIT   BERTANO                    
LIEU-DIT   BERTANO SUR LE CHEM D EULM 
LIEU-DIT   LA BIZIERE                 
LIEU-DIT   EN BONNE EAU               
LIEU-DIT   BONS MALADES               
LIEU-DIT   LA BORDE                   
LIEU-DIT   BOUT DE MAI                
LIEU-DIT   LE BREUIL                  
LIEU-DIT   CHAMP FERRY                
LIEU-DIT   CHAMPS SALMONT             
LIEU-DIT   CHEMIN DU CHENE            
LIEU-DIT   SUR LE CHEMIN FERRE        
LIEU-DIT   LA CHIMPRE                 
LIEU-DIT   CORNE DE CHEVRE SUR CHEM F 
LIEU-DIT   CROIX ROUGE                
LIEU-DIT   AU DEHOT                   
LIEU-DIT   DERRIERE LA CROIX          
LIEU-DIT   DERRIERE LES COSSONS       
LIEU-DIT   AU DESSUS DE LA HAIE DE NA 
LIEU-DIT   DEVANT LA CROIX            
LIEU-DIT   LA GOUTTE                  
LIEU-DIT   LA GOUTTE SUR LE CHEM DE N 
LIEU-DIT   GRAFFIN                    
LIEU-DIT   GRAND PRE                  
LIEU-DIT   GRANDES QUEUES             
LIEU-DIT   GRANDES QUEUES SUR LE CHEM 
LIEU-DIT   GRANDES VIGNES             
LIEU-DIT   EN GROUINES                
LIEU-DIT   LE HAN                     
LIEU-DIT   HAUT DE LA GOUTTE          
LIEU-DIT   HAUT DE PRELLE             
LIEU-DIT   HAUT DE THEME              
LIEU-DIT   HAUT DU BOUZOT             
LIEU-DIT   HAUT DU MONT               
LIEU-DIT   HAUT PRIEUX                
LIEU-DIT   HAUTS CHEVAUX              
LIEU-DIT   HEMAUCHAMP                 
LIEU-DIT   JARDINS D AMANCE           
LIEU-DIT   JONCHERE                   
