20151101
LIEU-DIT   BOSTHAL                    
LIEU-DIT   LE BOUT DU BALTZ           
LIEU-DIT   CANCELEY                   
LIEU-DIT   CANTON DE L ECLUSE         
LIEU-DIT   CHAMP DE REIMER            
LIEU-DIT   CHAMP DU BOIS              
LIEU-DIT   CHAMP DU BOIS SUR LAGUENOT 
LIEU-DIT   CHAMP DU FALLA             
LIEU-DIT   LES CHAMPS RAMPANTS        
LIEU-DIT   LE CHAUFFOUR               
LIEU-DIT   LA CULEE                   
LIEU-DIT   LE MOULIN                  
LIEU-DIT   AU DESSUS DE LA PAPETERIE  
LIEU-DIT   AU DESSUS DU MOULIN        
LIEU-DIT   LES DIMES                  
LIEU-DIT   DOMESTAL                   
LIEU-DIT   L ETANG                    
LIEU-DIT   LA FORGE                   
LIEU-DIT   FOSSELACH                  
LIEU-DIT   GLANDMONT                  
LIEU-DIT   GORGE AUX SANGLIERS        
LIEU-DIT   GRAND JARDIN               
LIEU-DIT   GRAND ROMELSTEIN           
LIEU-DIT   GRAND SOLDAT               
LIEU-DIT   GRAND WOLFSBERG            
LIEU-DIT   GROS MANN                  
LIEU-DIT   HAUT DE LA CULEE           
LIEU-DIT   HAUT DE LA WOLFSTAL        
LIEU-DIT   HAUT ROGNOLE               
LIEU-DIT   LA HAUTE VALETTE           
LIEU-DIT   JARDIN DE VITCHE           
LIEU-DIT   LANGUENOTTE                
LIEU-DIT   LASSERT                    
LIEU-DIT   LINENBERG                  
LIEU-DIT   LOSSERT                    
LIEU-DIT   MEISTAL                    
LIEU-DIT   MONIAT                     
LIEU-DIT   NEUFS CHAMPS               
LIEU-DIT   NOLL                       
LIEU-DIT   LA PAPETERIE               
LIEU-DIT   LES PAQUIETS               
LIEU-DIT   PARC AUX BOEUFS            
LIEU-DIT   PENCHANT DES PETITS PRES   
LIEU-DIT   SUR LE PETIT BOIS          
LIEU-DIT   PETIT BOIS DE LA VALETTE   
LIEU-DIT   PETIT MANN                 
LIEU-DIT   PETIT WOLFSBERG            
LIEU-DIT   LA BASSE VALETTE           
LIEU-DIT   PRE FRANTZ                 
LIEU-DIT   PRES DU BOIS DE BARVILLE   
LIEU-DIT   QUENOUILLE                 
LIEU-DIT   RIVIERE MAIRE              
LIEU-DIT   RODMONT                    
LIEU-DIT   LES RONDS CHAMPS           
LIEU-DIT   SENTIER DE HARTZVILLER     
LIEU-DIT   SUR LE SENTIER DE VOYER    
LIEU-DIT   STREITWALD                 
LIEU-DIT   VAL NOIR                   
LIEU-DIT   LA VIEILLE EGLISE          
LIEU-DIT   VILLAGE                    
LIEU-DIT   WASSERSOUPE                
LIEU-DIT   LE WOLFSBERG               
LIEU-DIT   BELLE POULE                
LIEU-DIT   LA PLACE                   
LIEU-DIT   DEUX RIVIERES              
LIEU-DIT   VALLEE DES LOUPS           
LIEU-DIT   LA VALETTE                 
LIEU-DIT   WOLFSTHAL                  
LIEU-DIT   CORNICHE DE SAINT LUC      
LIEU-DIT   LIGNE BARRY                
LIEU-DIT   MOULIN DE FRANCE           
CHEMIN     DES AUBEPINES              
RUE        BASSE DE LA MIEULE         
