20151101
43         HAUTE LOIRE                   
LIEU-DIT   PRE DE LA COSTE            
LIEU-DIT   PRE DE LA FOUANT           
LIEU-DIT   PRE DU BAS                 
LIEU-DIT   PRE DU PIN                 
LIEU-DIT   PRE PERAY                  
LIEU-DIT   LA PRISE                   
LIEU-DIT   QUAYRE BLANC               
LIEU-DIT   RABANEYRE                  
LIEU-DIT   LA RIBAVEYRE               
LIEU-DIT   LA RIBEYRE                 
LIEU-DIT   LA RILLADE                 
LIEU-DIT   LE RIOU                    
LIEU-DIT   LE ROC                     
LIEU-DIT   LES ROCHES                 
LIEU-DIT   ROUCHAUT                   
LIEU-DIT   ROUCHEYROUX                
LIEU-DIT   LA ROUDADE                 
LIEU-DIT   LA ROUTISSE                
LIEU-DIT   LES ROUTISSES              
LIEU-DIT   LA SAGNAT                  
LIEU-DIT   LE SAGNAT                  
LIEU-DIT   LE SAGNAT ET LA FOUANT     
LIEU-DIT   LES SAGNATS                
LIEU-DIT   LA SAGNE                   
LIEU-DIT   SARNIAGUET                 
LIEU-DIT   SARNIAT                    
LIEU-DIT   SARTEYRIN                  
LIEU-DIT   SAUVAGNAT                  
LIEU-DIT   LA SESTRE                  
LIEU-DIT   SOUS CHAMPRIVAT            
LIEU-DIT   SOUS LA PORTETTE           
LIEU-DIT   SOUS LE COUDERT            
LIEU-DIT   SOUS LE POMMIER            
LIEU-DIT   STACOUVET                  
LIEU-DIT   SUC DE LA MARTHE           
LIEU-DIT   SUC DE MORT                
LIEU-DIT   SUC DE PIRUT               
LIEU-DIT   SUC DE RENARD              
LIEU-DIT   LE SUC DE SAUVAGNAT        
LIEU-DIT   SUC DE THONNAT             
LIEU-DIT   LE SUC DE TRIDOULON        
LIEU-DIT   SUC DES NOYERS             
LIEU-DIT   LE SUC DES SOMMES          
LIEU-DIT   SUC DU CLOS                
LIEU-DIT   LE SUC ET L ESTRADE        
LIEU-DIT   LE SUC LA GARDE            
LIEU-DIT   LA TAILLADE                
LIEU-DIT   LA TAILLADE ET COMBEVERT   
LIEU-DIT   LA TASSE                   
LIEU-DIT   TRIDOULON                  
LIEU-DIT   L USUFRUIT                 
LIEU-DIT   LE VERDIER                 
LIEU-DIT   LE VERGER ET LA CAVE       
LIEU-DIT   VERNET                     
LIEU-DIT   LE VERSANT                 
LIEU-DIT   LE VERSEN                  
LIEU-DIT   VIGNAUD                    
LIEU-DIT   LA VIGNE ET LA COULAIRE    
LIEU-DIT   LA VIZADE                  
LIEU-DIT   LES YSSARDES               
LIEU-DIT   LE ZERO                    
LIEU-DIT   JARZAL                     
           commune :     AIGUILHE                       departement : HAUTE LOIRE                   
LOT        LES PLANCHES               
LOT        LES HAUTS DE CHOSSON       
LOT        PERCE NEIGE                
LIEU-DIT   AIGUILHE                   
LIEU-DIT   CHOSSON                    
LIEU-DIT   JALAVOUX                   
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LES PLANCHES               
LIEU-DIT   PONT DES TROIS LIARDS      
LIEU-DIT   RODERY                     
LIEU-DIT   LE SEMINAIRE               
LIEU-DIT   ST MARCEL                  
LIEU-DIT   CHEM DE BOUTHEZARD         
LIEU-DIT   CHEM DES CITES             
LIEU-DIT   CHEM DU COTEAU             
LIEU-DIT   CHEM DE GOUTHEYRON         
LIEU-DIT   CHEM DE LA PINEDE          
LIEU-DIT   CITE BONNET                
LIEU-DIT   CITE PAYS                  
LIEU-DIT   LES FRAISSES               
LIEU-DIT   IMP DES VIGNERONS          
LIEU-DIT   LOT CRESPE                 
LIEU-DIT   PLAINE DE ROME             
LIEU-DIT   PONT NEUF                  
LIEU-DIT   LE PONT VIEUX              
LIEU-DIT   ROULES BLANCHES            
LIEU-DIT   RTE DE POLIGNAC            
LIEU-DIT   LA BORIETTE                
LIEU-DIT   RES BEAU SOLEIL            
LIEU-DIT   LOT CLOS DES CEDRES        
LIEU-DIT   LES HAUTS DE CHOSSON       
LIEU-DIT   VAL DE BORNE               
RUE        BERNARD                    
CHEMIN     DE BOUTHEZARD              
           ALLEE DE LA CHAMBADE       
IMPASSE    DES CHAMBEES               
BOULEVARD  DOCTEUR CHANTEMESSE        
CHEMIN     DES CITES                  
RUE        DES CITES                  
ALLEE      ALLEE DE LA COMBE          
CHEMIN     DU COTEAU                  
RUE        CHOSSON                    
BOULEVARD  MONTFERRAND                
CHEMIN     DU FARON                   
RUE        DU FARON                   
IMPASSE    DES FRAISSES               
           ALLEE DE LA GARNASSE       
MTE        GOUTEYRON                  
CHEMIN     DE JALAVOUX                
IMPASSE    DE JALAVOUX                
RUE        DES JARDINS                
CHEMIN     DES JARDINS                
CITE       JULES VALLES               
ALLEE      DU LEVANT                  
CITE       PHILIBERT                  
AVENUE     D AIGUILHE                 
PLACE      DE LA MAIRIE               
CHEMIN     DE LA PASSERELLE           
ALLEE      DE LA RENOUEE              
AVENUE     DE RODERIE                 
ROUTE      DE RODERIE                 
IMPASSE    DE RODERIE                 
RUE        DE L ABBAYE                
RUE        ANTOINE DE ST VIDAL        
AVENUE     DE BONNEVILLE              
RUE        MARIE BORIE                
CHEMIN     DE LA BORIETTE             
IMPASSE    DE LA BORIETTE             
           MONTADE DE LA BORIETTE     
RUE        CENTRALE                   
RUE        CROZATIER                  
IMPASSE    ETIENNE CHAMBONNET         
RUE        ETIENNE CHAMBONNET         
IMPASSE    D ESTROUILHAS              
IMPASSE    DE LA FALAISE              
CHEMIN     DE LA FONTAINE CHOSSON     
CHEMIN     DE LA FONTAINE             
RUE        DU GOUR                    
RUE        JEAN JOULIAN               
ROUTE      DE LA METEO                
RUE        DES MOINES DE SEGURET      
RUE        NATIONALE                  
CHEMIN     DU PANORAMA NORD           
CHEMIN     DU PANORAMA SUD            
IMPASSE    DU PANORAMA                
RUE        PIERRE DE NOLHAC           
IMPASSE    DE LA PLAINE               
IMPASSE    LES PLANCHES               
RUE        DU PONT VIEUX              
ALLEE      ALLEE DU REGAIN            
RUE        DES RIVES                  
PLACE      ESPLANADE DU ROCHER        
RUE        DU ROCHER                  
RUE        DU CLOS SAINT CLAIR        
PLACE      SAINT CLAIR                
RUE        SAINT MICHEL               
MTE        DU SEMINAIRE               
RUE        DES TRAVAILLEURS           
RUE        JULES VALLES               
           ALLEE DES VIGNARDS         
           commune :     ALLEGRE                        departement : HAUTE LOIRE                   
LOT        LES NARCISSES              
LOT        FOND DE BAR                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES ASTIERS                
LIEU-DIT   BAR                        
LIEU-DIT   LES BARDS                  
LIEU-DIT   LA BATAILLE                
LIEU-DIT   BEAUROUSSEL                
LIEU-DIT   BESSES                     
LIEU-DIT   LES BEZEAUX                
LIEU-DIT   BLOT                       
LIEU-DIT   LES BOENES                 
LIEU-DIT   BOIS DE COUR               
LIEU-DIT   BOIS DE LOUP               
