20151101
42         LOIRE                         
LIEU-DIT   RUILLER                    
LIEU-DIT   LA SIPIERE                 
LIEU-DIT   TEISSONNIERE               
LIEU-DIT   TISSONNIERE                
LIEU-DIT   LES VERNES                 
LIEU-DIT   VIGNOL                     
LIEU-DIT   PANISSIERE                 
           commune :     AMBIERLE                       departement : LOIRE                         
LIEU-DIT   LES ALLIERS                
LIEU-DIT   L AMANDROUILLET            
LIEU-DIT   LES AMPANS                 
LIEU-DIT   LES ATIAUX                 
LIEU-DIT   L AUBERGE DU PONT          
LIEU-DIT   LES BANNIERES              
LIEU-DIT   LES BELINS                 
LIEU-DIT   LES BESSONS                
LIEU-DIT   BOIS BLANC                 
LIEU-DIT   BOIS DES SERVAJEANS        
LIEU-DIT   BOIS DU BRIERAT            
LIEU-DIT   BOIS JOLY                  
LIEU-DIT   BOIS VERNAY                
LIEU-DIT   LES BONICHONS              
LIEU-DIT   LES BOUISES                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOURNATS               
LIEU-DIT   BOUTELIER                  
LIEU-DIT   BOUTHRON                   
LIEU-DIT   LES BOUTIERS               
LIEU-DIT   LE BRIERAT                 
LIEU-DIT   LES BROSSES                
LIEU-DIT   LES BUFINANTS              
LIEU-DIT   LA CASTILLERE              
LIEU-DIT   CHANTEMILLAN               
LIEU-DIT   CHARPINOT                  
LIEU-DIT   CHATEAU GAILLARD           
LIEU-DIT   LE CHATELARD               
LIEU-DIT   CHATELUS                   
LIEU-DIT   CHEVALARD                  
LIEU-DIT   CHEZ BERGERON              
LIEU-DIT   CHEZ DELAUS                
LIEU-DIT   CHEZ POTIER                
LIEU-DIT   CHEZ ROBERT                
LIEU-DIT   LA COLLONGE                
LIEU-DIT   LES COURTAUDS              
LIEU-DIT   LA CROIX BLANCHE           
LIEU-DIT   LA CROIX DES MAURELLES     
LIEU-DIT   LA CROIX DU SUD            
LIEU-DIT   LA CROIX DU TREVE          
LIEU-DIT   LA CROIX NOAILLY           
LIEU-DIT   CUSIN                      
LIEU-DIT   LES EAUX                   
LIEU-DIT   FAVROZ                     
LIEU-DIT   LA FEUILLADE               
LIEU-DIT   FONTANIERE                 
LIEU-DIT   LA GENEVRE                 
LIEU-DIT   LES GEORGES                
LIEU-DIT   LA GOUTTE                  
LIEU-DIT   LE GRAND PIERNANT          
LIEU-DIT   LES GRANDS VILLARDS        
LIEU-DIT   GRANDE GRANGE              
LIEU-DIT   LE GRANGER                 
LIEU-DIT   LES GRILLETS               
LIEU-DIT   LA GRYE                    
LIEU-DIT   HAUTEVILLE                 
LIEU-DIT   LES ISSARTS                
LIEU-DIT   LES JACQUETS               
LIEU-DIT   LES JAUNARDS               
LIEU-DIT   LA KABELY                  
LIEU-DIT   LES LIGNERES               
LIEU-DIT   MACHEFOIN                  
LIEU-DIT   LA MALADIERE               
LIEU-DIT   MARINE                     
LIEU-DIT   LE MAROQUIN                
LIEU-DIT   LA MARTINIERE              
LIEU-DIT   MONTPLAISIR                
LIEU-DIT   LE MOULIN JUSTE            
LIEU-DIT   LE MOURIER                 
LIEU-DIT   LA MURETTE                 
LIEU-DIT   LES NOAILLYS               
LIEU-DIT   LA PERRIERE                
LIEU-DIT   LE PETIT PIERNANT          
LIEU-DIT   LES PETITS VILLARDS        
LIEU-DIT   PIERREFITTE                
LIEU-DIT   LES PLACES                 
LIEU-DIT   PONGIBAUD                  
LIEU-DIT   LE PONT ROUDILLON          
LIEU-DIT   LA RANCHE                  
LIEU-DIT   LES REGNIERS               
LIEU-DIT   LES REYNAUDS               
LIEU-DIT   ROC BEJOT                  
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LE RONDELET                
LIEU-DIT   ROUILLERE                  
LIEU-DIT   LA SENTINELLE              
LIEU-DIT   SERRURIER                  
LIEU-DIT   LES SERVAJEANS             
LIEU-DIT   SOFFERANT                  
LIEU-DIT   TAILLEFER                  
LIEU-DIT   LES TREMIERES              
LIEU-DIT   TREVELINS                  
LIEU-DIT   TROTELUS                   
LIEU-DIT   LES VERNAYS                
LIEU-DIT   VERNELUT                   
LIEU-DIT   LES VILLARDS               
LIEU-DIT   LA BERGERIE                
RUE        FERRACHAT                  
PLACE      LANCELOT                   
RUE        DE LA MAIRIE               
RUE        SAINTE ANNE                
RUE        DE L'EGLISE                
IMPASSE    DES AMIS                   
IMPASSE    ST CHARLES                 
IMPASSE    DE LA CHAUSSEE             
RUE        ST CLAUDE                  
RUE        DE FAIMES                  
GR         GRANDE RUE                 
RUE        DE LA GRYE                 
RUE        D'HAUTEVILLE               
RUE        DE L'HOPITAL               
SQUARE     DU HUIT MAI                
RUE        ST JACQUES                 
PLACE      ST MARTIN                  
RUE        ST MARTIN                  
PLACE      DES MARTYRS DE VINGRE      
PLACE      ST NIZIER                  
SQUARE     DE VERDUN                  
RUE        ST VINCENT                 
SQUARE     DE VERDUN                  
RUE        ST VINCENT                 
           commune :     AMIONS                         departement : LOIRE                         
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BROSSE                  
LIEU-DIT   LA BRUYERE                 
LIEU-DIT   A BUY                      
LIEU-DIT   CHEZ CHAVANNES             
LIEU-DIT   CHEZ CHEVALARD             
LIEU-DIT   CHEZ FRAGNE                
LIEU-DIT   CHEZ FURAND                
LIEU-DIT   CHEZ GAUTHIER              
LIEU-DIT   CHEZ GENEST                
LIEU-DIT   CHEZ MARGARON              
LIEU-DIT   CHEZ NOURISSON             
LIEU-DIT   CHEZ PAUL                  
LIEU-DIT   CHEZ PICARD                
LIEU-DIT   CHEZ PLACE                 
LIEU-DIT   CHEZ REYNAUD               
LIEU-DIT   CHEZ ROBERT                
LIEU-DIT   CHEZ ROCHE                 
LIEU-DIT   CHEZ TERRIER               
LIEU-DIT   LA COTE                    
LIEU-DIT   LES COTES                  
LIEU-DIT   A LA CROIX                 
LIEU-DIT   DIJON                      
LIEU-DIT   DOMAINE DES BOIS           
LIEU-DIT   FARGE                      
LIEU-DIT   LA FORET DE BAS            
LIEU-DIT   LA GARDE                   
LIEU-DIT   A LA GARE                  
LIEU-DIT   LE GOUTET                  
LIEU-DIT   LA GRANDE TERRE            
LIEU-DIT   LES GRANDES PIECES         
LIEU-DIT   HUMAIN                     
LIEU-DIT   JOUX                       
LIEU-DIT   MACHURON                   
LIEU-DIT   MAGNEUX                    
LIEU-DIT   MALAVEL                    
LIEU-DIT   PALLANCHE                  
LIEU-DIT   LE PATURAL                 
LIEU-DIT   AUX RIVES                  
LIEU-DIT   LES RIVIERES               
LIEU-DIT   AUX ROCHES                 
LIEU-DIT   SENOUCHE                   
LIEU-DIT   A SIGOT                    
LIEU-DIT   LA TUILERIE                
LIEU-DIT   A VALLARD                  
LIEU-DIT   LE VERDIER                 
LIEU-DIT   AUX VERDIERES              
LIEU-DIT   VERS LE CIMETIERE          
LIEU-DIT   VEZELIN                    
           commune :     ANDREZIEUX-BOUTHEON            departement : LOIRE                         
LOT        LES SEQUOIAS               
DOMAINE    DU TREYVE                  
LOT        LES CAMELIAS               
LOT        LE PETIT PRINCE            
ZI         CENTRE VIE                 
ZI         NORD                       
ZONE       DE LA CHAPELLE             
           ZA PLANCIEUX               
ZAC        L'ORME                     
LOT        LES FOINS                  
ZAC        DES MURONS                 
LOT        PLEIN SUD                  
LOT        HAMEAU DE LA POSTE         
LOT        LA MIGALIERE               
ZAC        DE MILIEUX                 
LOT        LES MURIERS                
LOT        LA VERCHERE                
ZAC        LES VOLLONS                
LIEU-DIT   ANDREZIEUX                 
LIEU-DIT   LA BARIOLE                 
LIEU-DIT   LA BARRIERE                
LIEU-DIT   LE BAS CHIRAT              
