20151101
15         CANTAL                        
LIEU-DIT   LES MARTRES                
LIEU-DIT   MATHONIERE                 
LIEU-DIT   LA MAUVE                   
LIEU-DIT   LA MAUVE EST               
LIEU-DIT   MONTAGNE                   
LIEU-DIT   MONTAGNE DE CHAVANON       
LIEU-DIT   MONTAGNE DE COMBALUT       
LIEU-DIT   MONTAGNE DE COUDOUR        
LIEU-DIT   MONTAGNE DE PIQUEMEULE     
LIEU-DIT   MONTAGNE DE SAINT HEREM    
LIEU-DIT   MONTAGNE DE SAINT ROCH     
LIEU-DIT   MONTAGNE DE SAINT ROCH SUD 
LIEU-DIT   MONTAGNE DE SAINTHERAN     
LIEU-DIT   MONTAGNE DU BALADOUR       
LIEU-DIT   MONTAGNE DU BALADOUR NORD  
LIEU-DIT   MONTAGNE DU BALADOUR SUD   
LIEU-DIT   MONTAGNE HAUTE             
LIEU-DIT   MONTAIROU                  
LIEU-DIT   MONTBERFONT                
LIEU-DIT   MONTBILIER                 
LIEU-DIT   MONTLONG                   
LIEU-DIT   LES MOULEDES               
LIEU-DIT   MOURCAIROL                 
LIEU-DIT   LE NERPE                   
LIEU-DIT   NEZEIRET                   
LIEU-DIT   NOZEROLLES                 
LIEU-DIT   OUTRELAYGUES               
LIEU-DIT   LE PARC                    
LIEU-DIT   LA PAUSE                   
LIEU-DIT   PEROLLE                    
LIEU-DIT   PEUCHOT                    
LIEU-DIT   PEUCHOT SUD                
LIEU-DIT   PEYRE FICHADE              
LIEU-DIT   PEYREBRUNE                 
LIEU-DIT   PIERRE GROSSE              
LIEU-DIT   PIERRE GROSSE SUD          
LIEU-DIT   PINATELLE DE MAILLARGUES   
LIEU-DIT   PINCHAY                    
LIEU-DIT   PLAINE DE L ARBRE          
LIEU-DIT   PLAINE DU CHAY             
LIEU-DIT   LA PLANCHE                 
LIEU-DIT   LA PLANCHE SUD             
LIEU-DIT   LA PLANE                   
LIEU-DIT   LES PLANES                 
LIEU-DIT   PONT VALAT                 
LIEU-DIT   PONTGIBET                  
LIEU-DIT   POUVEREYRE                 
LIEU-DIT   POUVRIERE                  
LIEU-DIT   PRADAOU                    
LIEU-DIT   PRANGIRAULT                
LIEU-DIT   PRE DE COUDOUR             
LIEU-DIT   PRE DE L EGLISE            
LIEU-DIT   PRE DES PAUVRES            
LIEU-DIT   PRE DU CURE                
LIEU-DIT   PRE DU RIEU                
LIEU-DIT   PRE GRAND                  
LIEU-DIT   PRE LONG                   
LIEU-DIT   PRE TORD                   
LIEU-DIT   PRES CLAUX                 
LIEU-DIT   LES PRES DE BONARME        
LIEU-DIT   LES PRES DE LA BUGE        
LIEU-DIT   PRES DU RIOU               
LIEU-DIT   REBONZOU                   
LIEU-DIT   REDON                      
LIEU-DIT   REDON OUEST                
LIEU-DIT   LA RIBEYRE                 
LIEU-DIT   LA RIBEYRE OUEST           
LIEU-DIT   LES RIVAUX                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   ROCHE BAS                  
LIEU-DIT   ROCHE GRANDE               
LIEU-DIT   ROCHE GRANDE EST           
LIEU-DIT   ROCHE HAUT                 
LIEU-DIT   ROCHE MARCHAL              
LIEU-DIT   ROCHE MARCHAL DU BAC       
LIEU-DIT   ROMANIARGUES               
LIEU-DIT   ROUCHY                     
LIEU-DIT   ROUCHY OUEST               
LIEU-DIT   SABATAIRE                  
LIEU-DIT   SACAUNAIRE                 
LIEU-DIT   SACOU                      
LIEU-DIT   SAGNES DE MOURCAIROL       
LIEU-DIT   SAGNETTE                   
LIEU-DIT   SAIGNALADE                 
LIEU-DIT   SAIGNALADE SUD             
LIEU-DIT   LES SAIGNES                
LIEU-DIT   SAIGNES LONGUES            
LIEU-DIT   SAIGNOLS                   
LIEU-DIT   SAINT JOSEPH               
LIEU-DIT   SALESSE                    
LIEU-DIT   SARRALIERE                 
LIEU-DIT   SARRUT                     
LIEU-DIT   SESTRIEUX                  
LIEU-DIT   SOLIGNAC                   
LIEU-DIT   SOUS LA ROCHE              
LIEU-DIT   SUC DE MOURCAIROL          
LIEU-DIT   LES TAILLADES              
LIEU-DIT   LES TAILLADES SUD          
LIEU-DIT   TALAISSES                  
LIEU-DIT   TERRE VERMEILLE            
LIEU-DIT   THERONDOU                  
LIEU-DIT   LE TRAPASSOU               
LIEU-DIT   LE TRAVE                   
LIEU-DIT   LE VEYSSET                 
LIEU-DIT   YARI                       
LIEU-DIT   BEL AIR                    
LIEU-DIT   MAISON FORESTIERE          
LIEU-DIT   CHANET                     
LIEU-DIT   ST HEREM                   
LIEU-DIT   PIQUEMEULE                 
LIEU-DIT   MF DE LA PISCICULTURE      
GR         GRANDE RUE ABBE DE PRADT   
PLACE      DU CEZALLIER               
RUE        DU CEZALLIER               
RUE        DU CHAMP DE FOIRE          
RUE        DU CHEY                    
           LOT COMMUNAL               
RUE        COURTE                     
RUE        DU DIX NEUF MARS 1962      
PLACE      DE L EGLISE                
RUE        DES FORGERONS              
PASSAGE    DES FORGERONS              
SENTIER    DES FORTIFICATIONS         
RUE        GEORGES POMPIDOU           
RUE        DU HUIT MAI                
AVENUE     JEAN MARIE ET RAYMOND ROUX 
PLACE      DU MARCHE                  
AVENUE     DE MATHONNIERE             
PASSAGE    DES MERCOEURS              
PLACE      DES MERCOEURS              
PLACE      D OUTRELAYGUE              
RUE        DE LA PIERRE GROSSE        
RUE        DU PONT CHAUVET            
RUE        DU PONT ROMAIN             
AVENUE     DU PUY MARY                
RUE        DES REMPARTS               
AVENUE     DU PROFESSEUR RENE ROLLIER 
ROUTE      DE LA ROCHE GRANDE         
AVENUE     DE LA ROCHE MARCHAL        
CHEMIN     DE LA ROCHE MARCHAL        
RUE        ST ELOI                    
AVENUE     DE ST FLOUR                
PASSAGE    ST JEAN                    
PLACE      ST JEAN                    
RUE        ST MICHEL                  
FG         DE LA TERRE VERMEILLE      
PASSAGE    DE LA TERRE VERMEILLE      
RUE        DU ONZE NOVEMBRE           
RUE        DE VALMONT                 
RUE        ZONE ARTISANALE            
           commune :     ALLEUZE                        departement : CANTAL                        
LIEU-DIT   LES ADRITS                 
LIEU-DIT   LES ARDIES                 
LIEU-DIT   LES ARMENIES               
LIEU-DIT   BADASAC                    
LIEU-DIT   LA BARGE                   
LIEU-DIT   LES BARNIS                 
LIEU-DIT   LA BARRINE                 
LIEU-DIT   LA BARRINE SUD             
LIEU-DIT   LE BARRUZ                  
LIEU-DIT   LE BARRY                   
LIEU-DIT   LES BARTIERS               
LIEU-DIT   LA BASTIDE                 
LIEU-DIT   LES BEISSEYRES             
LIEU-DIT   LE BES                     
LIEU-DIT   BESSATAIRE                 
LIEU-DIT   LES BESSEROLES             
LIEU-DIT   BESSOL                     
LIEU-DIT   BEUGERE GROSSE             
LIEU-DIT   LA BEYSSATEYRE             
LIEU-DIT   BILLIERE                   
LIEU-DIT   BOIS DU BARRY              
LIEU-DIT   LE BOIS DU LANDER          
LIEU-DIT   LE BOIS DU LEVERT          
LIEU-DIT   BOIS L EVEQUE              
LIEU-DIT   LES BOIS NOIRS             
LIEU-DIT   BOSCAR                     
LIEU-DIT   BOUDRIERE                  
LIEU-DIT   BOUTELONNE                 
LIEU-DIT   BRAMAFONT                  
LIEU-DIT   LES BUGES                  
LIEU-DIT   LES CARRETIERS             
LIEU-DIT   LA CHABANNE                
LIEU-DIT   CHABRIOL                   
LIEU-DIT   LES CHAILLASTRES           
LIEU-DIT   LA CHAMBARELLE             
LIEU-DIT   LA CHAMP                   
LIEU-DIT   CHAMP BERTRAND             
LIEU-DIT   CHAMP BUGE                 
LIEU-DIT   LE CHAMP DE COUDERC        
LIEU-DIT   LE CHAMP DE LA ROCHE       
LIEU-DIT   LE CHAMP DE LAFON          
LIEU-DIT   LE CHAMP DU BES            
LIEU-DIT   LE CHAMP GRAND             
LIEU-DIT   CHAMP GRAND DE NOUX        
LIEU-DIT   CHAMP LONGE                
LIEU-DIT   LE CHAMP POINTU            
LIEU-DIT   CHAMPAOULAT                
LIEU-DIT   CHAMPS DE LA COTE          
LIEU-DIT   LES CHAMPS GRANDS          
LIEU-DIT   LES CHASSANGS              
LIEU-DIT   LE CHATEAU D ALLEUZE       
LIEU-DIT   LES CHAUSSES               
LIEU-DIT   CLAPIERS                   
LIEU-DIT   LE CLAU                    
LIEU-DIT   LES CLAUSES                
