20151101
38         ISERE                         
LIEU-DIT   LES FOURNACHES             
LIEU-DIT   GADA                       
LIEU-DIT   LES GRANDES CRAUSES        
LIEU-DIT   LES GRANGES                
LIEU-DIT   LA GRANGETTA               
LIEU-DIT   LA GUEILLY                 
LIEU-DIT   LES JANOLIES               
LIEU-DIT   LADRA                      
LIEU-DIT   LE LAUTARET                
LIEU-DIT   LE METIN                   
LIEU-DIT   LES MOILLARDS              
LIEU-DIT   MONTAGNE D OUDI OU MURI PI 
LIEU-DIT   MONTAGNE DE BEDINA         
LIEU-DIT   MONTAGNE DE LA JASSE       
LIEU-DIT   MONTBARRAL                 
LIEU-DIT   MONTCHARVET                
LIEU-DIT   MONTREGARD                 
LIEU-DIT   LA MOULE                   
LIEU-DIT   LA MURE DES MOLLES         
LIEU-DIT   LA NIERAY                  
LIEU-DIT   PARADAN                    
LIEU-DIT   PERRA                      
LIEU-DIT   LA PITROUSE                
LIEU-DIT   LE PIVOT                   
LIEU-DIT   LES PLANCHES               
LIEU-DIT   LA PLANTA                  
LIEU-DIT   PLENA                      
LIEU-DIT   LA POMMARIA                
LIEU-DIT   LE POUTAS                  
LIEU-DIT   PRE BOUQUET                
LIEU-DIT   PRE DE VAUJANNE            
LIEU-DIT   PRE DES LAVANCHES          
LIEU-DIT   PRE DU BOUTEY              
LIEU-DIT   PRE TARDY                  
LIEU-DIT   PRE VIEUX ET FOURNACHES    
LIEU-DIT   LES RAMAYES                
LIEU-DIT   RIVOIRE DES FOURCHES       
LIEU-DIT   RODESSE                    
LIEU-DIT   LA SAUZY                   
LIEU-DIT   LA SEYA                    
LIEU-DIT   LE SUET                    
LIEU-DIT   LE TREMOUX                 
LIEU-DIT   VILLARD BERNARD            
LIEU-DIT   VILLARD CHATEAU            
LIEU-DIT   VILLE DE GARGA             
LIEU-DIT   PRAPOUTEL                  
LIEU-DIT   LES BRUNS                  
LIEU-DIT   LE CARDELET                
LIEU-DIT   LE LANAT                   
LIEU-DIT   PRES COMMUNAUX             
LIEU-DIT   LE RUISSEAU                
           commune :     AGNIN                          departement : ISERE                         
LOT        LES ACACIAS                
LOT        LES ALOUETTES              
LOT        BELLELIEGUE                
LOT        CARTELLIER                 
LOT        LES CHENES                 
LOT        LE CLOS DU VILLAGE         
LOT        LES FLORES                 
LOT        LES JONQUILLES             
LOT        LES OUCHES                 
LOT        LES SABLES                 
