20151101
RUE        DES AUBEPINES              
RUE        D AUVERGNE                 
RUE        D AVIGNON                  
RUE        BABOS                      
AVENUE     DE LA BAIE DE SOMME        
PASSAGE    BARBAFUST                  
CHEMIN     DE BAS A L HEURE           
RUE        DU BAS MESNIL              
RUE        BASSE DE LA BOUVAQUE       
RUE        BASSE DES MOULINS          
RUE        BEAUVARLET                 
RUELLE     DU BEFFROI                 
RUE        ROSE BERTIN                
           CAVEE BIZET                
CHEMIN     DE BLANGY                  
RUE        DU BOCQUET                 
CHS        DU BOIS                    
IMPASSE    DU SOLEIL COUCHANT         
CHEMIN     DU BOIS DE CAMPANELLE      
VOIE       DU BOIS LAURETTE           
PLACE      BONAPARTE                  
RUE        A BOREL                    
RUE        BOUCHER DE PERTHES         
SQUARE     BOUCHER DE PERTHES         
PASSAGE    DE LA BOUCHERIE            
RUE        DES BOULEAUX               
RUE        DU BOURG DU VIMEU          
RUE        DE BOURGOGNE               
IMPASSE    DE BRETAGNE                
RUE        DE LA BRIOLERIE            
RUE        BRUMAIRE                   
SENTIER    DU CALVAIRE                
RUE        DU CANAL TRANSIT           
CHEMIN     DES CANOTIERS              
RUE        CANTERAINE                 
RUE        GEORGES CANTIN             
RUE        DES CAPUCINS               
RUE        DES CARMES                 
RUE        DE LA CASERNE              
RUE        DE LA CAVEE DE VAUCHELLES  
RUE        128E REGIMENT D'INFANTERIE 
RUE        DES CERISIERS              
RUE        CHABAILLE                  
RUE        DE CHAMPAGNE               
CHEMIN     DU CHAMP DE COURSES        
AVENUE     DU CHAMP DE FOIRE          
PTR        PETITE RUE CHAMP DE MARS   
RUE        DU CHAMP DE MARS           
AVENUE     DE LA CHAPELLE             
AVENUE     CHARLES BIGNON             
RUE        CHARLET                    
IMPASSE    DES CHARMES                
RUE        DES CHARTREUX              
GR         GDE RUE DES CHARTREUX      
RUE        CHASSERATS                 
IMPASSE    VICTOR HUGO                
RUE        DU CHATEAU D EAU           
IMPASSE    DU CHAUFOUR                
RUE        DU CHAUFOUR                
PASSAGE    DE LA CHEVALERIE           
RUE        DU CHEVALIER LA BARRE      
RUE        DE LA CITE LEDAY           
PLACE      CLEMENCEAU                 
RUE        DES COLLEGES               
IMPASSE    COLLIER                    
RUE        DU COLOMBIER               
RUE        DES COLVERTS               
IMPASSE    DE LA COMMANDERIE          
VOIE       DU COMMERCE                
IMPASSE    DU COQ HERU                
RUE        DES CORDELIERS             
RUE        DE LA COUR PONTHIEU        
RUE        CREPIN                     
RUE        DE LA CRESSONNIERE         
IMPASSE    DU CRINQUET                
IMPASSE    DE LA CROIX                
RUE        DES CYTISES                
RUELLE     DAILLY                     
RUE        DU DAUPHINE                
VOIE       MICHEL DEBRAY              
CD         N0 901                     
CHEMIN     DEPARTEMENTAL N 928        
ROUTE      DEPARTEMENTALE 925         
PLACE      DES DEPORTES ET INTERNES   
ROUTE      DE DOULLENS                
RUE        RENE DINGEON               
RUE        DES DRAPIERS               
CRS        DIT ANC CHEM DE DRUCAT     
ROUTE      DE DRUCAT                  
RUE        DUCHESNE DE LAMOTTE        
RUE        DUMONT                     
RUE        DE L EAUETTE               
RUE        EDOUARD BRANLY             
IMPASSE    DE L EGLISE                
RUE        DE L EGLISE                
RUELLE     D EN BAS                   
IMPASSE    D ENFER                    
RUE        DE L EPOUSEE               
RUE        DES ERABLES                
IMPASSE    DE L ERMITAGE              
RUE        DE L ERMITAGE              
RUE        ERNEST PRAROND             
RUE        FERDINAND BUISSON          
RUE        DES FILEUSES               
RUE        FIRMIN DE TOUVOYON         
RUE        DE FLANDRE                 
RUE        FLOREAL                    
IMPASSE    DE LA FONTAINE             
RUE        DES FOULONS                
RUE        FRANCOIS DEPOILLY          
RUE        DES FOULONS                
PLACE      FRANCOIS MITTERAND         
RUE        DES FRERES CAUDRON         
RUE        FRUCTIDOR                  
PLACE      DE LA GARE                 
AVENUE     DE LA GARE                 
RUE        DE GASCOGNE                
RUE        GASTON DUFRESNE            
PLACE      DU GENERAL DE GAULLE       
AVENUE     DU GENERAL LECLERC         
RUE        DU 13E REGIMENT DU GENIE   
RUE        GEORGES DERAY              
RUE        GERMINAL                   
RUE        GONTIER PATIN              
CHEMIN     DU GRAND MARAIS            
RUE        DU GRAND MARAIS            
PLACE      DU GRAND MARCHE            
RUE        DES GRANDES ECOLES         
VC         LE GUINDAL                 
SQUARE     LE GUINDAL                 
RUE        DE GUYANE                  
CHEMIN     DU HALAGE                  
RUE        DU HANGAR                  
PASSAGE    DE LA HARANGUERIE          
RUE        DE L HARMONIE              
RUE        DE HAUT                    
RUE        DE LA HAUTE FUMEE          
RUE        DU HAUT MESNIL             
RUE        DES HAUTS DE LA BOUVAQUE   
RUE        HECQUET                    
RUE        HENRI PICQUET              
RUE        HENRI DUNANT               
RUE        HENRI SELLIER              
ROUTE      D'HESDIN                   
CHS        D'HOCQUET                  
RUE        D'ESTIENNE-D'ORVES         
PLACE      MAX LEJEUNE                
RUE        DE L HOTEL DIEU            
ALLEE      DU 8 MAI 1945              
PLACE      MAURICE HURE               
RUE        D ILE DE FRANCE            
VOIE       DE L INDUSTRIE             
IMPASSE    DES IRIS                   
RUE        DE L ISLE                  
PASSAGE    DES JACOBINS               
PLACE      DES JACOBINS               
PLACE      JACQUES BECQ               
CAR        DE LA JARDINIERE           
CHEMIN     DES JARDINIERS             
IMPASSE    JEAN BERQUIN               
RUE        JEAN JAURES                
RUE        JEAN MACE                  
RUE        JEAN MENNESSON             
RUE        JEAN MOULIN                
RUE        JEAN DE PONTHIEU           
RUE        JEANNE D ARC               
IMPASSE    DES JONCS                  
RUE        JOSSE VAN ROBAIS           
RUE        JULES MAGNIER              
COTE       DE LA JUSTICE              
CHEMIN     A LAINE                    
RUE        DU LANGUEDOC               
RUE        LAURENT TRAULLE            
RUE        LEDAY                      
RUE        LEDIEN                     
RUE        LEFEBURE DE CERISY         
RUE        LESUEUR                    
PLACE      DE LA LIBERATION           
RUE        DU LIEUTENANT CARON        
PTR        PTE RUE DU LILLIER         
RUE        DU LILLIER                 
PASSAGE    DU LIMACON                 
RUE        DES LINGERS                
RUE        DE LORRAINE                
RUE        LOUANDRE                   
RUE        MACQUERON                  
RUE        DU 20 MAI 1940             
VOY        DU MARAIS                  
CHEMIN     DU MARAIS DE MENCHECOURT   
RUE        DU MARAIS MALICORNE        
RUE        DU MARAIS SAINT PAUL       
CHS        MARCADE                    
PASSAGE    DU MARCHE AUX HERBES       
RUE        MARECHAL FOCH              
PLACE      DE LA MARNE                
CAR        DU 19 MARS 1962            
RUE        MAURICE MARLIERE           
CHEMIN     DE MAUTORT A CAUBERT       
RUE        DE MAUTORT                 
RUE        DE LA MAYE                 
RUE        MELLAN                     
RUE        DE MENCHECOURT             
IMPASSE    DES MERCIERS               
RUE        MESSIDOR                   
RUE        MILLEVOYE                  
RUE        DES MINIMES                
RUE        DES MOINES                 
RUE        DES MOULINS DE MENCHECOURT 
RUE        DU MOULIN DU FOUR          
RUE        DU MOULIN QUIGNON          
RUE        DU MOULIN RICHEBOURG       
RUE        DES MOULINS                
ROUTE      DE MOYENNEVILLE            
RUE        AUX MULETS                 
N          1                          
RUE        DES NATTIERS               
RUE        NAU                        
RUE        DES NENUPHARS              
IMPASSE    NESTOR LETELLIER           
RUE        NESTOR LETELLIER           
ROUTE      DE NEUFCHATEL              
RUE        DE NORMANDIE               
PTR        PTE RUE NOTRE DAME         
