20151101
27         EURE                          
LIEU-DIT   LE GRAND CAMP              
LIEU-DIT   LE GRAND MERISIER          
LIEU-DIT   LA GRAND NOE               
LIEU-DIT   LES GRANDES RUELLES        
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS VAUX            
LIEU-DIT   LA GROSSE BORNE            
LIEU-DIT   HAMEAU DE BEC D AL         
LIEU-DIT   HAMEAU DES PLANCHES        
LIEU-DIT   LE HAMET                   
LIEU-DIT   LA LEVRIERE                
LIEU-DIT   LA LONDE                   
LIEU-DIT   LES LONGS CHAMPS           
LIEU-DIT   LA MAL AISEE               
LIEU-DIT   LES MARIONNETTES           
LIEU-DIT   LE MAUVAIS PAS             
LIEU-DIT   MOULIN DES PLIS            
LIEU-DIT   LE MOULIN POSTEL           
LIEU-DIT   LA NAURAIE                 
LIEU-DIT   LA NOE                     
LIEU-DIT   L ONGLAIS                  
LIEU-DIT   LES PATIS                  
LIEU-DIT   LES PETITS SABLONS         
LIEU-DIT   LA PILLERAIE               
LIEU-DIT   LA PLANCHE JOBET           
LIEU-DIT   LES PRATS                  
LIEU-DIT   LES PRES DE L ONGLAIS      
LIEU-DIT   LES PRES MASSIEU           
LIEU-DIT   LA RANGEE                  
LIEU-DIT   LES REGALES                
LIEU-DIT   SAINT LAMBERT              
LIEU-DIT   SAINT MEAUXE               
LIEU-DIT   LA SENTE HERPIN            
LIEU-DIT   LA SENTE SAINT LEONARD     
LIEU-DIT   LE SOUILLET                
LIEU-DIT   LES TREVATS                
LIEU-DIT   LE TROU MICHAUT            
LIEU-DIT   LE VAL NOEL                
LIEU-DIT   LE VALAUMONT               
LIEU-DIT   LES VALLEES                
LIEU-DIT   LES VALLOTS                
LIEU-DIT   LES VAUGENS                
LIEU-DIT   LA VENTE AUX HOMMES        
LIEU-DIT   LA VIGNETTE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VOIE MONNEUSE           
IMPASSE    DE L ANCIEN FOUR           
RUE        DU DOC PAUL BOBAY          
RUE        ARGILLIERE                 
RUE        ARISTIDE BRIAND            
RUE        DE LA BAUQUE               
RUE        DES BERGERONNETTES         
CHEMIN     DE CAMBREMONT              
RUE        CAUTISON                   
RUE        DES CHARMILLES             
SENTIER    CHEMIN VERT                
RUE        DE LA CHRISTOPHERIE        
SENTIER    DES ECOLIERS               
RUE        DE L EGLISE                
RUE        D EVREUX                   
SENTIER    DES FAULX                  
RUE        DE GAILLON                 
PLACE      DE LA GARE                 
RUELLE     GUERIN                     
RUE        DE LA GOURMANDISE          
RUE        DE LA GARE                 
RUE        DES GRANDES RUELLES        
RUE        DE LOUVIERS                
RUE        JEANNE D ARC               
RUE        DES JONCS                  
SENTIER    DU HAUT DES FRICHES        
RUE        MAUBUISSON SELLE           
RUE        DES MESANGES               
IMPASSE    DU MOULIN POTEL            
RUE        DU MOULIN POTEL            
RUE        DU NEUBOURG                
IMPASSE    DU NEUBOURG                
RUE        DE PACY                    
RUE        SAINT MAUXE                
SENTIER    DE DESSOUS LES BOIS        
SENTIER    DE LA SOURCE               
RUE        DES SABLONS                
IMPASSE    DES SABLONS                
CHEMIN     DE SAINT LAMBERT           
RUE        DE SURVILLE                
SENTIER    DES VALLEES                
RUE        VERDUN                     
CHEMIN     DE LA VIGNETTE             
ALLEE      JARDIN D'EDOUARD           
IMPASSE    DES TOURTERELLES           
RUE        EDOUARD THEYSSET           
           commune :     AIGLEVILLE                     departement : EURE                          
LIEU-DIT   LE BORD DU BOIS            
LIEU-DIT   LA CARRIERE                
LIEU-DIT   LE CHAMPART                
LIEU-DIT   LE CHEMIN DES FERETS       
LIEU-DIT   LES COTES                  
LIEU-DIT   LES DEVIDEAUX              
LIEU-DIT   LE FARDON                  
LIEU-DIT   LA FERME D AIGLEVILLE      
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LES FORTS                  
LIEU-DIT   LE HAUT FREMONT            
LIEU-DIT   LA RANGEE                  
LIEU-DIT   LES SABLONS                
LIEU-DIT   LE VAL FREMONT             
LIEU-DIT   LES VIGNES DE CHAIGNES     
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VILLES DE CHAIGNES     
RUE        ANDRE ROUILLE              
RUE        BOULAIN                    
ROUTE      DE CHAIGNES                
ROUTE      DE CHAMBINES               
RUE        DOUCET                     
RUE        FERNAND MAUVIARD           
RUE        FONTAINE                   
RUE        QUELVEE                    
ROUTE      NATIONALE 13               
RUE        SAMSON                     
RUE        DE VILLEGATS               
RUE        VOLTAIRE PIN               
           commune :     AILLY                          departement : EURE                          
LIEU-DIT   AILLY                      
LIEU-DIT   LES AULNES                 
LIEU-DIT   LE BEC D ERANT             
LIEU-DIT   BOIS D ETIENNE MARRE       
LIEU-DIT   BOIS DES BOBETTES          
LIEU-DIT   LE BOIS DES LONDES         
LIEU-DIT   LE BOIS DES SABLONS        
LIEU-DIT   BOIS DU VAL RENOULT        
LIEU-DIT   LE BOIS PIPON              
LIEU-DIT   BOIS QUEMIN                
LIEU-DIT   BOIS SAINT PIERRE          
LIEU-DIT   LES BONNITONNES            
LIEU-DIT   BOUT DE VETZ               
LIEU-DIT   LA BRIQUETERIE             
LIEU-DIT   LA BUCAILLE                
LIEU-DIT   LE CAILLOU MULOT           
LIEU-DIT   LE CAMP DE LOT             
LIEU-DIT   CAMP DU FRESNE             
LIEU-DIT   LE CANHANDO                
LIEU-DIT   LES CARREAUX               
LIEU-DIT   LES CATELLIERS             
LIEU-DIT   CHEMIN DE HAUT             
LIEU-DIT   LE CLOS VALLEE             
LIEU-DIT   LES COLONGEAIS             
LIEU-DIT   LA CORVEE DES HAUTES TERRE 
LIEU-DIT   COTE DU VAL RENOULT        
LIEU-DIT   COTES DES BOBETTES         
LIEU-DIT   COTES DU CAMP ROUVERT      
LIEU-DIT   L EPINE DES RUYAUX         
LIEU-DIT   L ERABLE                   
LIEU-DIT   LA FERME DU BEC            
LIEU-DIT   LA FOLIE MUSE              
LIEU-DIT   LE FOND DES MARETTES       
LIEU-DIT   LES FORRIERES DE GRUCHET   
LIEU-DIT   FORRIERES DE LA BUCAILLE   
LIEU-DIT   FORRIERES DE MAL PALUT     
LIEU-DIT   LES FORRIERES DU BOUTDEVEZ 
LIEU-DIT   LA FOSSE VOYER             
LIEU-DIT   LES FOSSES BOZAUNES        
LIEU-DIT   LES FOSSES DAVID           
LIEU-DIT   LES FRAMBOISIERS           
LIEU-DIT   FRICHE MOLET               
LIEU-DIT   LE GENIEVRE                
